rank	username	minecraft:picked_up/minecraft:pink_stained_glass_pane
1	pintsizedrogue	256
2	El_Jalapeno	171
3	Freak_Genius	138
4	lordpipe	135
5	beeperbeeper5	80
6	jnp_gaming	64
7	EMC_	61
8	Steelynan	54
9	SaucyDark	48
10	Werbe	43
11	joethahobo	31
12	Onennon	28
13	SullyhS	25
14	HellsSponge	16
15	PigDab	15
16	CoffeeNoir	11
17	livingdaydreams	9
18	xxPipperDipperxx	6
19	noam464	5
20	CaptainDeadBread	4
20	LordSpeed37	4
22	Dedalus36	3
22	Mahoose	3
22	Billious	3
22	LexMakesHistory	3
26	jushykins	2
26	Spacewardharpy7	2
26	MakeHistory157	2
29	Groovy_MoonBird	1
29	Arceus1975	1
29	obzii	1
