rank	username	minecraft:picked_up/minecraft:slime_block
1	Hyp3rion_	165513
2	thewindmillman	139137
3	EcksD	68341
4	noam464	50351
5	joethahobo	19532
6	MyNameIsJobo	17102
7	Di_infiri	12743
8	oscminus	10302
9	eitanzaki	8935
10	Jackattack53	5801
11	mihimihimihi	5501
12	thescout7	5450
13	Yamdalorian	4841
14	Spacewardharpy7	4168
15	Werbe	3170
16	Sral7	3116
17	Blaiku	2656
18	IamCL4SSY	1822
19	PigDab	1687
20	500am	1615
21	beeperbeeper5	1446
22	HellsSponge	1377
23	WyngGoy	1328
24	Lord_Jord	1163
25	TheEnderMan548	1106
26	Lord_Zacler	1078
27	Kakolbus	1045
28	TheShyPig	942
29	lordpipe	916
30	PhantomBionic	786
31	Alteriity	734
32	FreddyFart	645
33	non089	636
34	Manaateee	610
35	obzii	590
36	TheSecondLord	570
37	SkateboardR6	565
38	RebytreGT	533
39	fffMike	520
40	eviltunix	513
41	FreakGenius	472
42	_Mythic____	443
43	Blu3beast	432
44	AlexxO_o	382
45	12Magner05	378
46	EMC_	331
47	Jimi7hits	324
48	KingMatthew506	319
49	Historical_Sand	317
49	Ezekson	317
51	Frozil20	313
52	diamondgolem35	288
53	kekhon	286
54	Fullut	281
55	YungMaki	280
55	Soplight	280
57	Mahoose	270
58	Kowcio_	262
59	skitzxo	256
60	vandmanden	254
61	Blackberry1310	242
61	MightyWertu	242
63	Inchef	235
64	annebolyn	218
65	ediballbearings	217
66	Inbefour	213
67	Warlord324	200
68	domagawha	199
69	PlasticOtari	180
70	pixelviolin	171
71	Kubeusz2010	167
72	ProfessorBee	162
72	Secret_Canary	162
74	PortlyPete69	156
75	Enderxz3	155
76	Maenara	146
77	Hiryu27	145
78	ECstardust	141
78	noodlepack	141
80	pintsizedrogue	136
81	GooseWithin	135
82	andy_rex	129
82	Eraxa	129
84	groofles	120
85	Jindong	118
85	Luminad3	118
87	Mr_Byzantine	116
88	Gryglu583	112
89	_Virify_	111
89	q_wq	111
91	The_slideV3	105
92	claivin	101
93	PhantomsGhost_	98
93	Eczbek	98
95	Eraza	96
95	r123moore	96
