rank	username	minecraft:picked_up/minecraft:light_blue_carpet
1	eitanzaki	576
2	HellsSponge	540
3	Spacewardharpy7	367
4	RebelAndroid	341
5	joethahobo	240
6	Legendosh	231
7	ayamefag	227
8	12Magner05	222
9	TheSecondLord	206
10	Swexti	188
11	beeperbeeper5	171
12	noam464	166
13	Blaiku	155
14	mwrty	128
15	kekhon	123
16	Ezekson	107
17	Smoke____	96
18	Inbefour	87
19	TheShyPig	83
20	pintsizedrogue	76
21	Mahoose	62
22	Hermanni__	60
23	Njensen7	38
24	Blackberry1310	37
25	MinttyFressh	35
26	Akoot_	34
26	Lord_Jord	34
28	YungMaki	30
29	Fullut	28
29	Rumpletaezer	28
31	xxPipperDipperxx	27
32	lcvezra	26
33	Negriuke	25
34	Merv__	24
35	RoskobiOne	23
35	Lez_	23
37	PlasticOtari	17
38	Eraxa	16
39	r123moore	15
40	LeauVox4921	14
40	pappaberg	14
40	Frozil12	14
43	_Dean_123	13
43	oxfordschool	13
45	_Karmaa	12
45	fluddd	12
45	TechnoNinja64	12
48	500am	11
48	2blox	11
50	slkiey	9
50	LilLizardWizard	9
52	pZygh0st	8
52	ShedJr_	8
52	InfernalMound	8
52	MakeHistory157	8
52	OnlyOfficial	8
57	thewindmillman	7
57	Segotep999	7
57	stahouo	7
57	erkada	7
57	Dr0xzy	7
62	nocturne78	6
62	Di_infiri	6
62	Werbe	6
62	NomadicRobin_	6
62	CalebDHawk	6
62	EcksD	6
68	Reamdin	5
68	Myszoaz	5
68	PeteO1995	5
68	Kowcio_	5
68	LeeMcGee30	5
73	SaucyDark	4
73	heckface	4
73	0nly_sn1per	4
73	Voxin2K	4
73	SSytex_X	4
73	KingMatthew506	4
73	00000000-0000-0000-0009-01f6557d802a	4
80	T045RTY	3
80	WarHammer3	3
80	rarrq	3
80	LoboTheLobster	3
80	pr33tu	3
80	audiocracked	3
80	lordpipe	3
87	Groovy_MoonBird	2
87	numbra	2
87	Sleek_Storm_721	2
87	titanlax	2
87	SoftSix	2
87	burbankbuilder28	2
87	FishyBoy3811	2
87	Jiminie	2
87	Racengan	2
87	KG1999	2
87	Soplight	2
87	EcksDofficial	2
99	Drlzyy	1
99	ImpavidArcher	1
99	hm947	1
99	hzs91	1
99	Historical_Sand	1
99	I_Moose	1
99	eclipseboi	1
99	Awyrlas	1
99	Jackattack53	1
99	Hiryu27	1
99	PigDab	1
99	HolyVenom	1
99	AuroraSkies	1
99	Quaintster	1
99	monky_irl	1
99	djancak	1
99	_Yonk_	1
99	Enderslayerxz3	1
99	MelodyGaysharks	1
