rank	username	minecraft:picked_up/minecraft:brown_stained_glass
1	Historical_Sand	581
2	Snowflowe	319
3	lordpipe	257
4	EMC_	214
5	m_be9	198
6	RoofTyler	66
7	Zythose	65
8	mwrty	64
9	Werbe	36
10	Onennon	35
11	KingMatthew506	24
12	Ezekson	22
13	SaintJosie	15
14	Lord_Jord	14
15	kekhon	13
16	pintsizedrogue	12
16	lcvezra	12
18	El_Jalapeno	8
19	_Dean_123	6
20	SullyhS	5
21	diamondgolem35	4
21	Rumpletaezer	4
21	ApophisNova	4
21	Akoot_	4
21	Jiminbub	4
21	ConnorDanky_	4
21	MyNamaSheff	4
28	Mahoose	3
29	Euclidoris	2
29	Blaiku	2
29	Dusk_95	2
29	IAmTheWalrus910	2
29	Quotary	2
34	SmashingPump	1
34	AuroraValkyrie	1
34	eitanzaki	1
34	Lez_	1
34	joethahobo	1
34	500am	1
34	noam464	1
34	Marbz_	1
34	Jackattack53	1
34	lillips	1
34	xzvu	1
34	PortlyPete69	1
