rank	username	minecraft:picked_up/minecraft:sculk
1	thewindmillman	6082
2	Enderxz3	5993
3	luseis	4845
4	TheSecondLord	4039
5	hanaryheatwave	4009
6	500am	3046
7	pintsizedrogue	2398
8	EMC_	1767
9	AdmiralSmoke	1760
10	Mr_Byzantine	1583
11	Apollo_993	1381
12	Kowcio_	1291
13	k_ce	1245
14	MineMaster0012	1144
15	Luminad3	727
16	Manaateee	675
17	Hyp3rion_	663
18	SyntheticSurgeon	609
19	EcksD	596
20	MrKrabOnCoke	524
21	12Magner05	523
22	Kakolbus	471
23	Segotep999	325
24	nattybears	278
25	Jackattack53	272
26	beeperbeeper5	209
27	Mahoose	170
28	Di_infiri	160
28	SvenskaHugo	160
30	Lez_	156
31	Soplight	148
32	Nicserso	134
33	AlexxO_o	132
34	Marbz_	111
34	Snowflowe	111
36	q_wq	107
37	TheDankPlatypus	100
38	Legendosh	96
39	Jimb0nat0r	89
40	Wowful	87
41	RatatJuice	77
42	joethahobo	75
43	MAns_44	73
44	wwwwinnebagoooo	70
45	Spacewardharpy7	69
46	SaphLaseer	64
46	ImpavidArcher	64
48	Rebytre	53
49	Sleepy_Time_	51
50	Krowuss	42
51	SoosAmongus	38
51	ECstardust	38
51	YungMaki	38
54	DinoDoctor_	36
55	LeonelSalamanca	34
56	CLG_Kata	22
57	Smashic	21
58	_Boipl_	20
59	excelsionprime	19
60	iSammael	18
61	corpsecity	13
62	Alteriity	11
63	SmashingPump	10
64	Skylord_Luke	8
64	Eczbek	8
64	00000000-0000-0000-0009-01ff0c3e5e4f	8
67	diamondgolem35	7
67	NATE_the_HALO	7
69	SvenskaSara	6
69	Mattesco	6
69	lordpipe	6
69	Iamthejo	6
73	StinkyDiplomat	5
74	Killercatty78	4
74	Hisiste	4
76	Da_Boss_Rani	3
76	Fuad_R	3
78	H0UNDFRMH3LL	2
78	Huwulling	2
78	jessewegottacook	2
78	Avocadogerms	2
82	Secret_Canary	1
82	noam464	1
82	shadowthemonkey	1
82	ItsDeltaMC	1
82	_Mythic____	1
82	UCP_TheKingK	1
