rank	username	minecraft:picked_up/minecraft:dark_oak_stairs
1	burbankbuilder28	5645
2	rarrq	3702
3	500am	2975
4	TheShyPig	2470
5	skitzxo	1726
6	luseis	1631
7	pintsizedrogue	1441
8	Mattesco	1399
9	Legendosh	1341
10	kekhon	1324
11	Eraxa	1305
12	tsitrawhy	1260
13	m_be9	1208
14	Ezekson	1203
15	El_Jalapeno	1177
16	beeperbeeper5	1176
17	EveryonesUncle	1155
18	Onennon	1140
19	FreakGenius	1129
20	CalebDHawk	1046
21	MyNameIsJobo	1020
22	Merv__	999
23	k_ce	911
24	Skippeh	785
25	Kakolbus	759
26	RatatJuice	720
27	PortlyPete69	717
28	Mr_Byzantine	700
29	Druid95	687
30	pixelviolin	684
31	TheSecondLord	654
32	Euclidoris	652
33	Manaateee	649
34	KarlKaek	647
35	ConnorDanky_	638
36	fragrantmonke444	634
37	RoskobiOne	618
38	Enderxz3	584
39	Frozil20	583
40	Winklepicker279	549
41	EMC_	536
42	QuiCreans	510
43	_Razaria	501
44	ImpavidArcher	496
45	crashomon	473
46	PlasticOtari	460
47	Huwulling	450
47	Stiar	450
49	joethahobo	436
50	Archsam	414
51	Lez_	408
52	HUNTERmaun	403
53	Blackberry1310	398
54	Meatlaugh	394
55	NieToksikpl	385
56	Inbefour	382
57	SvenskaHugo	375
58	U_Mos_	374
59	xxPipperDipperxx	373
60	Mahoose	366
61	miramyu	361
62	MattieHD	339
63	Reneedium	336
64	Tiberonus	334
65	fkGrim	333
66	Steelynan	319
67	oscminus	318
68	Jakobo1337	310
68	Russiancat1	310
70	Kkanot	309
71	Chromary	300
72	Kowcio_	299
73	Lord_Jord	296
74	Dakar_	294
74	Yamdalorian	294
76	Historical_Sand	292
77	Napoleonpancake	291
78	CliffEmAll	286
78	Zythose	286
80	thescout7	284
81	Bumpy419	276
82	AnnieBathory	275
83	LeauVox4921	271
84	Hahaa_0	261
85	Natty	260
86	Hydro___________	259
87	gcaisawesome	257
88	fluddd	252
89	CharlieButt	248
90	IamCL4SSY	247
91	TheDankPlatypus	239
92	WYFYoyo	238
93	Barlycorn	237
94	jacxhadow	232
95	Soplight	231
96	SpacesickPrism	230
97	Blu3beast	229
98	claivin	228
99	Tobinator_007	226
100	Pumpkin_P_Patch	210
101	PazinGaming	207
101	Eczbek	207
101	TechnoNinja64	207
104	DinoDoctor_	203
105	Di_infiri	202
106	dudcreeper	201
107	hermmm_	199
108	Smashic	197
108	Akoot_	197
110	tobinwilliams	195
111	AngalexikCZ	194
111	NomadicRobin_	194
113	Ssor69	193
113	TheWickedBird	193
115	dopplexd	188
116	_Dean_123	186
117	Inchef	184
117	CheifJumbo	184
117	YungMaki	184
120	CattSoup	181
121	xzvu	179
122	diamondgolem35	176
123	Fullut	170
123	sp00ky_ghost977	170
125	M_Patata	167
126	Spacewardharpy7	161
127	Ryan_GEMS	156
127	Werbe	156
129	lorywithay	149
129	EcksD	149
131	emrekn	148
132	Sral7	147
133	Alphanzt99	145
134	SaucyDark	142
134	NameGenerat0r	142
136	prizm_	138
137	SammiWolfGirl	136
138	TheOuterCore	135
139	bl1ss0	134
139	Deathkob	134
141	NoxxxxiS	133
141	Sorry_Arey	133
143	Alteriity	131
144	Groovy_MoonBird	129
144	lordpipe	129
144	Jimb0nat0r	129
147	Snowflowe	127
148	groofles	126
149	11Brewer	125
150	Leyna3	124
150	LexMakesHistory	124
152	Krowuss	123
152	selectrix	123
152	Segotep999	123
155	intropass	122
155	_Karmaa	122
157	Elastiq	121
158	paranoid_plant	118
159	Lutres_	117
160	MakeHistory157	115
161	thebaddruid	114
161	RebytreGT	114
163	blackeemperor	113
164	Bandito_Roamer	112
165	XxCookiequeenxX	108
166	jnp_gaming	106
167	pretty_pink_reno	105
167	MasterNueve	105
169	censorsheep	104
169	FiguraDei	104
171	_i_ERROR_i_	102
171	ZoomieZoomie	102
173	ProfessorBee	101
174	_Huge_Male_	100
174	6king6colt6	100
174	Prismyst	100
174	__tomato	100
178	Kijiki	98
179	r123moore	97
180	BlankityMcBlank	94
181	Notta	91
182	PhantomsGhost_	90
182	royal_2	90
184	fffMike	89
184	JayToe	89
186	ARandomHedge	88
186	Deguns123	88
186	taengoos	88
189	ThePoliteG	87
189	SellyZ	87
189	SuperPooch06	87
189	Ze_BaronKrigler	87
193	Cowison	85
193	ROY4LE	85
193	TheKingK_	85
196	RobotMinion101	84
196	emreknugrlu	84
198	titanlax	83
198	Skylord_Luke	83
200	abdomera	80
201	Rumpletaezer	79
202	SOA1RR	78
202	Olib3ar	78
202	AlphaWolfPlaysMC	78
202	Xclax101	78
206	ApophisNova	77
206	MyNamaSheff	77
208	yulgur1	76
209	Biites	75
210	Dragonfest	73
210	thgrocks	73
212	eitanzaki	72
212	07shiny	72
214	MonitorLizards	71
215	Nach0Bear	69
215	parodypatient	69
215	queenalina123	69
215	EtherealEspresso	69
219	12Magner05	67
220	ratglock	66
220	Mikael_Kuningas	66
222	gren_ben	65
222	Malorn_Aetherius	65
224	Shogunite	64
224	TheMiddayMoon	64
226	CornOnTheCobalt	61
226	Kyrum2169	61
226	Dreamdbr14	61
229	MinttyFressh	59
229	LordSpeed37	59
231	Saucepeh	58
231	1442	58
233	Awyrlas	56
233	Motsaro	56
233	thewindmillman	56
233	DC_XII	56
237	Megarboh	55
237	noam464	55
237	theofiel	55
237	ChocolatePepsi	55
241	Avocadogerms	54
241	KingMatthew506	54
243	dartwaffle	52
243	Smiguli_	52
245	olliebollie48	51
245	Aavermu	51
245	QuesoCrusaderIII	51
248	CoffeeNoir	50
248	AlexxO_o	50
250	SmashingPump	49
250	Incinere	49
250	RebelAndroid	49
250	Nicky_H225	49
250	seramalen	49
255	JETrotter	48
256	Zlatovlas	47
257	LeeMcGee30	46
257	HesDemonPants	46
259	mimbo1211	45
259	FishyBoy3811	45
261	livingdaydreams	44
261	Toriankel	44
263	Cruncy_	43
263	Optiprimus	43
265	Felenov	41
265	KowcioJr	41
265	Y_A_N_N_I	41
268	Cryptacity	40
268	orxngejuice	40
270	ooga47	39
270	KlausVonStiglitz	39
272	Crowman1	38
272	StinkyDiplomat	38
274	h2p_emrld	37
275	ECstardust	36
275	Sleek_Storm_721	36
275	Gamergirl420628	36
278	DarkS0L	35
279	Cortexia	34
279	Jackattack53	34
281	MuffinManzz	33
281	Skomo	33
283	Myszoaz	32
283	catandmoose	32
283	Kynigito	32
283	Karbl	32
283	Nicserso	32
288	teslawolf38	31
288	Sleepy_Time_	31
290	lorpus	30
290	wezzzi	30
292	ADEXTV	29
292	Zetsey	29
292	laron58	29
295	yheece	28
296	hm947	27
296	eviltunix	27
296	Fuad_R	27
296	TheOnlyRake	27
296	_Dri_	27
