rank	username	minecraft:picked_up/minecraft:light_blue_banner
1	Kowcio_	193
2	Lez_	114
2	Akoot_	114
4	beeperbeeper5	106
5	rarrq	80
6	_Dean_123	75
7	PlasticOtari	67
8	kekhon	65
9	Mahoose	61
10	12Magner05	55
11	SmashingPump	42
12	pintsizedrogue	41
13	Ezekson	40
14	luseis	26
15	Huwulling	22
15	500am	22
15	Werbe	22
18	Blackberry1310	21
19	ShedJr_	19
20	Arceus1975	17
20	jnp_gaming	17
22	m_be9	16
23	diamondgolem35	15
23	YungMaki	15
25	poopybh	14
25	pixelviolin	14
25	xolstoi	14
28	joethahobo	13
29	AdmiralSmoke	12
30	LexMakesHistory	11
30	Steelynan	11
32	ROY4LE	10
32	Eraxa	10
34	Fullut	9
34	noam464	9
36	Enderxz3	8
37	ECstardust	7
37	Mattesco	7
37	xzvu	7
40	CoffeeNoir	6
40	Snowflowe	6
40	Zythose	6
43	Di_infiri	5
43	lillips	5
43	SammiWolfGirl	5
43	ConnorDanky_	5
43	h2p_emrld	5
48	Groovy_MoonBird	4
48	Mr_Byzantine	4
48	Historical_Sand	4
48	Inchef	4
48	Soplight	4
48	EcksD	4
54	k_ce	3
54	Frozil20	3
54	BlueishDEV	3
54	eitanzaki	3
54	Natty	3
54	Euclidoris	3
54	CarltheCuck	3
54	_Boipl_	3
54	EveryonesUncle	3
63	ImpavidArcher	2
63	Incinere	2
63	MattieHD	2
63	CrateOfBoxes	2
63	oscminus	2
63	TheShyPig	2
63	Manaateee	2
63	claivin	2
63	JoCoLi	2
63	Spacewardharpy7	2
63	carbo_bro	2
63	Legendosh	2
63	JayToe	2
76	Merv__	1
76	I_Am_Mushkin	1
76	CompAir	1
76	TheSecondLord	1
76	boog4loo	1
76	Masssonnn	1
76	xXxSebastianLxXx	1
76	IforgotCS_Source	1
76	xxPipperDipperxx	1
76	r123moore	1
76	M_Patata	1
76	yheece	1
76	Jackattack53	1
76	Charmyboi	1
76	pappaberg	1
76	ApophisNova	1
76	F_Uhre	1
76	Deathkob	1
76	HellsSponge	1
76	NameGenerat0r	1
76	Blu3beast	1
76	fluddd	1
76	Blaiku	1
76	MasterNueve	1
76	SSytex_X	1
76	_TCARREIRA_	1
76	jcool7	1
76	MilleGrug	1
76	MyNamaSheff	1
