rank	username	minecraft:picked_up/minecraft:polished_basalt
1	thewindmillman	6712
2	rarrq	2822
3	noam464	2000
4	Legendosh	1371
5	beeperbeeper5	1154
6	Werbe	1033
7	lizardfightclub	947
8	joethahobo	946
9	Spacewardharpy7	932
10	eitanzaki	812
11	Kakolbus	708
12	pintsizedrogue	638
13	mihimihimihi	615
14	Optiprimus	583
15	Skylord_Luke	492
16	Mahoose	477
17	jacxhadow	471
18	LoboTheLobster	467
19	luseis	452
20	FreakGenius	444
21	Deathkob	393
22	Shogunite	386
22	lordpipe	386
24	m_be9	381
25	weabis	364
26	ogoa	361
27	Smoke____	357
28	Blackberry1310	350
29	Eraxa	338
30	Mr_Byzantine	325
30	00000000-0000-0000-0009-01ff0c3e5e4f	325
32	LeauVox4921	322
33	Cowison	309
34	YungMaki	299
35	kekhon	282
36	ZoomieZoomie	265
37	TheSecondLord	260
38	Hermanni__	244
39	r123moore	242
40	Hyp3rion_	234
41	ImpavidArcher	229
41	Akoot_	229
43	CalebDHawk	227
44	EMC_	224
45	EveryonesUncle	219
46	Kamflame10	218
47	set67	216
48	MissCeleste7	209
49	djancak	208
50	Winklepicker279	205
51	xolstoi	194
52	ConnorDanky_	158
53	Enderxz3	144
54	Chromary	128
55	PortlyPete69	125
56	IvarEXE	123
57	Blaiku	121
58	sp00ky_ghost977	117
59	NatalieTW	109
59	Jonafrog99	109
61	StinkyDiplomat	105
62	XboxPanda	103
63	Kubeusz2010	99
64	4774	93
65	Ze_BaronKrigler	92
65	Biites	92
67	Maenara	87
68	Snowflowe	83
69	Vorlice	79
70	Fullut	77
71	PlasticOtari	75
72	eclipseboi	73
73	Racengan	69
74	AuroraValkyrie	65
74	Lord_Jord	65
76	dragonsleger	59
77	Arceus1975	55
78	eli_tschki	54
79	Jindong	53
80	ShedJr_	50
81	drunkeeez	39
82	TheShyPig	38
83	SvenskaHugo	36
84	CoffeeNoir	33
84	Dusk_95	33
86	King_Pancake1	29
87	Frozil20	25
87	himak1	25
89	DanTheBuilderino	22
90	6king6colt6	21
90	Huwulling	21
90	XxCookiequeenxX	21
90	ProfessorDiaper	21
94	Crowman1	19
94	KliBeast21	19
94	Sheldor097	19
97	Hpdinosaur	18
98	obzii	16
99	iSammael	14
99	pixelviolin	14
101	MinttyFressh	13
102	12Magner05	12
102	F_Uhre	12
104	PegLegPete93	11
104	Jeteight	11
104	lillips	11
104	anbbang	11
108	KarlKaek	10
108	Jakobo1337	10
108	Ardennes	10
108	Moofyman	10
108	ChronoSounds	10
113	Paint	9
113	PigDab	9
113	gusstationwerker	9
116	chipklip	8
116	diamondgolem35	8
116	Historical_Sand	8
116	Di_infiri	8
116	TheWildMateo	8
121	T045RTY	7
121	CarltheCuck	7
121	jnp_gaming	7
124	bigstankyy	6
124	gren_ben	6
124	shrimp_flips	6
124	monky_irl	6
128	teslawolf38	5
128	livingdaydreams	5
128	Sleepy_Time_	5
128	gustarlep	5
128	Steelynan	5
133	q_wq	4
133	ITDV	4
133	titanlax	4
133	gcaisawesome	4
133	RIPB0ZO	4
133	burbankbuilder28	4
133	NomadicRobin_	4
133	Fuad_R	4
133	Njensen7	4
142	RebelAndroid	3
142	SyntheticSurgeon	3
142	RoBe__	3
142	MineMaster0012	3
142	Soplight	3
142	KingMatthew506	3
148	Swexti	2
148	NotTrixi	2
148	Jackattack53	2
148	masskedman	2
148	Syropatathe	2
148	HellsSponge	2
148	NameGenerat0r	2
148	Decaying_Lotus	2
148	Ezekson	2
148	2bolx_	2
158	Merv__	1
158	AgressiveEggdog	1
158	Esme_1	1
158	ExtraDumb	1
158	DinoDoctor_	1
158	Myrlewen	1
158	tramizu	1
158	MrExplorer	1
158	mwrty	1
158	Awyrlas	1
158	Mookle96	1
158	breadbowlgamer	1
158	whoaluv	1
158	Chuvacevedo	1
158	ApophisNova	1
158	TheCordicus	1
158	CuzIm2Kev	1
158	thedreadeddream	1
158	Kowcio_	1
158	Luigipunch989	1
158	_Yonk_	1
158	Eczbek	1
158	Skippeh	1
158	EcksD	1
158	MyNamaSheff	1
158	trexgb	1
