rank	username	minecraft:picked_up/minecraft:dark_oak_log
1	Spacewardharpy7	49903
2	Blackberry1310	32310
3	EveryonesUncle	31918
4	Euclidoris	31518
5	burbankbuilder28	28673
6	TheShyPig	26909
7	Smoke____	26045
8	Freak_Genius	22163
9	500am	17824
10	joethahobo	16836
11	m_be9	16062
12	gcaisawesome	15004
13	pintsizedrogue	13898
14	thewindmillman	13061
15	HellsSponge	13026
16	Frozil12	11826
17	Werbe	11165
18	beeperbeeper5	10474
19	ImpavidArcher	10382
20	Jiminie	10086
21	stahouo	10053
22	El_Jalapeno	9840
23	Ezekson	8340
24	kekhon	8197
25	EMC_	8005
26	teslawolf38	7616
27	TechnoNinja64	7571
28	Snowflowe	7537
29	TheSecondLord	7260
30	RatatJuice	6934
31	Arceus1975	6638
32	eitanzaki	6613
33	Di_infiri	6502
34	NomadicRobin_	6420
35	rarrq	6332
36	MyNameIsJobo	5963
37	M_Patata	5846
38	2Stout	5817
39	paranoid_plant	5656
40	Mahoose	5463
41	PigDab	5459
42	EcksD	5411
43	RebelAndroid	5363
44	Hisiste	5359
45	MasterNueve	5051
46	ROY4LE	5048
47	Enderslayerxz3	4971
48	anbbang	4967
49	Akoot_	4757
50	Russiancat1	4755
51	Merv__	4548
52	Legendosh	4173
53	Hiryu27	4150
54	wezzzi	4012
55	Fullut	4009
56	Zythose	3901
57	SammiWolfGirl	3789
58	CollinMH06	3757
59	Notta	3675
60	Skippeh	3560
61	Deguns123	3529
62	GingerNeutron	3487
63	Bandito_Roamer	3438
64	DarlaMeow	3416
65	Kowcio_	3282
66	Winklepicker279	3179
67	stuy9	3169
68	Awyrlas	3166
69	oxfordschool	3126
70	Darkgon	3092
71	Eraxa	3081
72	thescout7	3020
73	SuperPooch06	2982
74	EcksDofficial	2924
75	Inbefour	2920
76	RodSerlingCringe	2895
77	Sky_light_KING	2883
78	Segotep999	2862
79	SpaceGrenadier	2812
80	Touched_Bread	2799
81	YoshikageBites	2791
82	FishyBoy3811	2768
83	TheDankPlatypus	2705
84	XxCookiequeenxX	2698
85	HesDemonPants	2570
86	Soplight	2514
87	Kakolbus	2512
88	_Cloverbelle_	2470
89	Quotary	2461
90	BlancoFlaco	2432
91	r123moore	2398
91	RobotMinion101	2398
93	noam464	2387
94	_NieToksikpl_	2360
95	AngalexikCZ	2346
96	censorsheep	2338
97	selectrix	2329
98	RoskobiOne	2328
99	xxPipperDipperxx	2314
100	SvenskaHugo	2297
101	Hermanni__	2191
102	LeeMcGee30	2111
103	Tobinator_007	2101
104	Kubeusz2010	2064
105	Steelynan	2062
106	Deathkob	2032
107	Paintz	2030
108	NameGenerat0r	2029
109	ExtraDumb	2021
110	Nicky_H225	2009
111	CharlieButt	2004
112	beeleg	1966
113	Barlycorn	1948
114	PlasticOtari	1942
115	Maenara	1934
116	eviltunix	1925
117	Cowison	1840
118	fluddd	1802
119	MustaLoordi	1796
120	set67	1763
121	ImDisconnected_	1749
122	Blu3beast	1733
123	lcvezra	1727
124	Onennon	1723
125	Lord_Jord	1706
126	audiocracked	1693
127	Groovy_MoonBird	1661
128	AnnieBathory	1656
129	__tomato	1655
130	Dusk_95	1650
131	Racengan	1644
131	YungMaki	1644
133	Hoid_the_Roamer	1629
134	DTwenty	1609
135	AuroraValkyrie	1589
136	Nycteus_	1585
137	avalan64	1568
