rank	username	minecraft:picked_up/minecraft:birch_pressure_plate
1	Hyp3rion_	357
2	500am	165
3	Werbe	71
4	KarlKaek	66
5	Kakolbus	64
6	YungMaki	43
7	Fullut	37
8	joethahobo	32
8	MelodyGaysharks	32
10	Rebytre	30
10	cichy096	30
12	kekhon	25
13	MakeHistory157	23
14	Kubeusz2010	21
15	El_Jalapeno	18
16	TheShyPig	17
16	Ezekson	17
18	IAmTheWalrus910	16
19	legal_tax_evader	11
19	PlasticOtari	11
21	rarrq	10
21	Cellcorgi649	10
23	pintsizedrogue	9
23	Mahoose	9
23	heckface	9
23	LexMakesHistory	9
23	EcksD	9
23	xolstoi	9
29	Lez_	8
29	mwrty	8
29	DermeinUser	8
29	Smoke____	8
33	crying_wolf_13	7
33	xxPipperDipperxx	7
35	diamondgolem35	6
35	SuperPooch06	6
35	Snowflowe	6
35	Eraxa	6
39	Esme_1	5
39	eitanzaki	5
39	TheSecondLord	5
39	Jokerman369	5
39	thewindmillman	5
39	Smussa	5
39	Onennon	5
39	Gryglu583	5
47	EMC_	4
47	ImpavidArcher	4
47	thescout7	4
47	MyNameIsJobo	4
47	spellmre	4
47	Meatlaugh	4
47	Blu3beast	4
47	Optiprimus	4
47	UCP_TheKingK	4
56	CoffeeNoir	3
56	ShedJr_	3
56	Inchef	3
56	noam464	3
56	Arceus1975	3
56	KlausVonStiglitz	3
56	FreakGenius	3
56	BumbleBeever	3
56	AssFullaCum	3
56	BlankityMcBlank	3
56	djancak	3
56	ediballbearings	3
56	ConnorDanky_	3
56	Mr_Teddiursa_K	3
56	Enderxz3	3
71	dudcreeper	2
71	Tommhh	2
71	Wooptey	2
71	T045RTY	2
71	Blackberry1310	2
71	stopfive	2
71	emrekn	2
71	Zythose	2
71	F_Uhre	2
71	dezxalo	2
71	ADEXTV	2
71	EveryonesUncle	2
71	Nicserso	2
71	00000000-0000-0000-0009-01f073f37a91	2
85	PhantomsGhost_	1
85	Sleek_Storm_721	1
85	jimintyy	1
85	TheDiamondCG	1
85	Dali1465	1
85	Jackattack53	1
85	WET_WET_WET	1
85	Bumpy419	1
85	RobotMinion101	1
85	jewbacaman	1
85	sxc_	1
85	IamCL4SSY	1
85	AlexChristian	1
85	The_Quack_Dealer	1
85	KermitTheKripple	1
85	claivin	1
85	fluddd	1
85	Blaiku	1
85	Groundler	1
85	Spacewardharpy7	1
85	ayamefag	1
85	AltnumberF4	1
