rank	username	minecraft:picked_up/minecraft:stripped_acacia_wood
1	beeperbeeper5	120
2	noam464	113
3	Manaateee	98
4	MattieHD	93
5	Mattesco	46
6	Mr_Byzantine	40
6	Yamdalorian	40
8	_Huge_Male_	32
9	TheSecondLord	27
10	Merv__	15
10	MyNameIsJobo	15
12	Nicserso	14
13	luseis	10
14	lordpipe	8
15	Jimb0nat0r	7
16	Soplight	6
17	Megarboh	5
18	Groovy_MoonBird	4
18	fkGrim	4
20	Groundler	3
21	thatbeanyboi	2
21	TheShyPig	2
21	pixelviolin	2
21	Kowcio_	2
21	Mikael_Kuningas	2
26	Mahoose	1
26	bl1ss0	1
26	Winklepicker279	1
26	hanaryheatwave	1
26	TheALV	1
26	skitzxo	1
