rank	username	minecraft:picked_up/minecraft:stone_pickaxe
1	Saucepeh	60
2	Yamdalorian	57
3	FreakGenius	55
4	himak1	46
5	Mahoose	42
6	Akoot_	40
7	ChampPog_	29
7	PlasticOtari	29
9	SteveCraftBlocks	26
10	BumbleBeever	21
11	TheWildMateo	20
12	Hyp3rion_	17
12	OreTheBear	17
14	Jackattack53	15
15	noam464	14
15	luseis	14
15	Toriankel	14
15	xzvu	14
19	H0UNDFRMH3LL	13
19	Kferno	13
21	lorywithay	12
21	tonyth3tiger	12
23	diamondgolem35	10
23	Touched_Bread	10
23	weabis	10
26	DirtyDalle	9
26	BreadFruggis	9
26	lizardfightclub	9
26	Warlord324	9
30	ExtraDumb	8
30	beeperbeeper5	8
30	Whiterooster001	8
30	Betaz	8
30	shrimp_flips	8
30	E775	8
30	Faart	8
37	6king6colt6	7
37	JMK208	7
37	SirMeowsMucho	7
37	mariominejedi	7
37	Windo_licker	7
37	Di_infiri	7
37	ogoa	7
37	420BreadLizard	7
37	lordpipe	7
37	Juh1s	7
47	PhantomsGhost_	6
47	titanlax	6
47	Smashic	6
47	Cambo5000	6
47	gcaisawesome	6
47	Chromary	6
47	Tyrannosplart	6
47	Universz	6
47	GravitySaint	6
47	Eraxa	6
47	Celeste_121	6
47	obzii	6
47	jnp_gaming	6
60	soundad	5
60	ewsophie	5
60	Historical_Sand	5
60	Blackberry1310	5
60	Mookle96	5
60	breadbowlgamer	5
60	Parcc	5
60	Skylord_Luke	5
60	TheShyPig	5
60	Lord_Zacler	5
60	rotten_mango	5
60	El_Jalapeno	5
60	Blaiku	5
60	bluemage31	5
60	bndo	5
60	LordSpeed37	5
60	KingMatthew506	5
60	Ezekson	5
60	Wolverine4302	5
79	Groovy_MoonBird	4
79	Hpdinosaur	4
79	eitanzaki	4
79	joethahobo	4
79	FirsTimeGamingTV	4
79	InfernalMound	4
79	Ravenbie	4
79	FennYuzuna	4
79	AJplaysMC_	4
79	SvenskaSara	4
79	cedric72	4
79	CaptainAvenger7	4
79	Austinizzle	4
79	ILoveCarrot	4
79	Hahaa_0	4
79	EdGalbraith	4
79	Leithz6	4
79	_Yonk_	4
79	BreadBacon	4
79	Legendosh	4
99	pintsizedrogue	3
99	RoseLilyTV	3
99	Alteriity	3
99	MoistMicrowave	3
99	musique99	3
99	12Magner05	3
99	Tiberonus	3
99	kekhon	3
99	paranoid_plant	3
99	Nach0Bear	3
99	mwrty	3
99	thescout7	3
99	xxPipperDipperxx	3
99	Covalents	3
99	ARandomHedge	3
99	BlueZabu	3
99	fr_ser	3
99	yaboo88	3
99	Snowflowe	3
99	Reneedium	3
99	thebaddruid	3
99	F_Uhre	3
99	AlexxO_o	3
99	Jonte0599	3
99	brycepants	3
99	aldplaysmc	3
99	ori0le	3
99	PartyPhoenix	3
99	Nateman1000	3
99	JESS_THE_RERE	3
99	HellsSponge	3
99	frankosgf	3
99	StinkyDiplomat	3
99	splatterhawk	3
99	fluddd	3
99	Vorlice	3
99	Factoroni	3
99	OG_Songsee	3
99	sp00ky_ghost977	3
99	CACTUSLAD	3
99	DittoProbably	3
99	__tomato	3
99	PortlyPete69	3
99	CalebDHawk	3
99	FlagsAreBad	3
99	youarefrench_	3
99	ConnorDanky_	3
99	TechnoNinja64	3
147	Mitchasnipe	2
147	Batoser	2
147	k_ce	2
147	SyK7	2
147	TooPure2	2
147	papagheede	2
147	CloroxBleach385	2
147	Killswitch_RW	2
147	ImNotYuqii	2
147	77Holly7	2
147	ImpavidArcher	2
147	Allchemy	2
147	Seyaboy	2
147	lotarp	2
147	HazenBlazin	2
147	FjordVPN	2
147	elmer1234	2
147	teqilas	2
147	Ssor69	2
147	TinMaster	2
147	dopplexd	2
147	Miroryk	2
147	shdesolt	2
147	TheSecondLord	2
147	Comma__	2
147	ABUSNA1996	2
147	MrExplorer	2
147	jjsadler	2
