rank	username	minecraft:picked_up/minecraft:weathered_copper
1	Marbz_	366
2	Manaateee	66
3	pintsizedrogue	61
4	bearlystraight	51
5	luseis	42
6	weabis	18
7	sp00ky_ghost977	17
7	PlasticOtari	17
9	Nicserso	16
10	Apollo_993	10
10	jessewegottacook	10
10	500am	10
13	iSammael	9
14	MineMaster0012	8
14	AdmiralSmoke	8
16	YungMaki	7
17	EMC_	6
18	ZoomieZoomie	5
19	shrimp_flips	4
20	mihimihimihi	3
20	Kowcio_	3
20	Enderxz3	3
23	drunkeeez	2
23	Jimb0nat0r	2
25	SmashingPump	1
25	joethahobo	1
25	Mr_Sun15	1
25	SpacesickPrism	1
25	MNMann44	1
25	mobunni	1
