rank	username	minecraft:picked_up/minecraft:yellow_bed
1	PigDab	153
2	HellsSponge	104
3	pintsizedrogue	97
4	EMC_	48
4	Freak_Genius	48
6	kekhon	36
7	Zoeyfortnite	35
8	YungMaki	34
9	Dan_Scha	28
10	Bandito_Roamer	24
11	Jackattack53	22
12	Alteriity	21
12	Xclax101	21
14	Di_infiri	18
15	BlancoFlaco	17
15	Legendosh	17
17	JosephCW	15
18	Louiis123	13
18	Frxnkz	13
18	CharlieButt	13
18	IdeallyGrey	13
22	claivin	12
22	El_Jalapeno	12
22	PlasticOtari	12
25	NomadicRobin_	11
25	Smoke____	11
27	PegLegPete93	10
27	Akoot_	10
27	DanTheBuilderino	10
27	Luigipunch989	10
27	diggydog67	10
32	500am	9
32	ROY4LE	9
32	sp00ky_ghost977	9
35	Vizzoid	8
35	thescout7	8
35	Vetral1	8
35	EveryonesUncle	8
35	Blaiku	8
35	lcvezra	8
41	Myrlewen	7
41	Hyp3rion_	7
41	Hoid_the_Roamer	7
41	BlossomOwO	7
45	beeperbeeper5	6
45	MyNameIsDakar	6
47	Groovy_MoonBird	5
47	Mahoose	5
47	benediktine1	5
47	gabriels543	5
47	KeruNatsema	5
47	RodSerlingCringe	5
47	djancak	5
54	PhantomsGhost_	4
54	ImpavidArcher	4
54	uhm__okay	4
54	set67	4
54	eviltunix	4
54	mimbo1211	4
54	TableTim	4
54	Freeman666	4
54	AJplaysMC_	4
54	thewindmillman	4
54	burbankbuilder28	4
54	Rebytre	4
54	Meepcraft	4
54	Spacewardharpy7	4
54	Enderslayerxz3	4
69	lwyl	3
69	chlorinex	3
69	aikabot	3
69	Notta	3
69	Lumien_	3
69	TerraVl	3
69	Tmb1	3
69	Inchef	3
69	Ecplosive	3
69	swag_bro2004	3
69	whoaluv	3
69	TheShyPig	3
69	Benjii05	3
69	LilLizardWizard	3
69	Kim_Jong_eel	3
69	dezxalo	3
69	EfficientC52	3
69	Vorlice	3
69	Kyrum2169	3
69	mawileite	3
69	Kubeusz2010	3
69	blimpeey	3
69	EcksD	3
69	jnp_gaming	3
93	JohnnyFyes	2
93	soundad	2
93	Merv__	2
93	bigstankyy	2
93	IronArshXS	2
93	Qalech	2
93	ExtraDumb	2
93	joethahobo	2
93	4383	2
93	bloodbiter	2
93	SteveCraftBlocks	2
93	Smashic	2
93	Awyrlas	2
93	Billeison	2
93	ImDisconnected_	2
93	Avermu	2
93	Queen_Jalapeno	2
93	happy_mileo	2
93	Skylord_Luke	2
93	AlexxO_o	2
93	Loraxonlyfans	2
93	YahooScreen9000	2
93	lizardfightclub	2
93	Maenara	2
93	Wowful	2
93	ogoa	2
93	420BreadLizard	2
93	NoobSlayerPro	2
93	Blu3beast	2
93	Frozil12	2
93	splatterhawk	2
93	MightyWertu	2
93	LordAurum	2
93	pixelviolin	2
93	Kowcio_	2
93	UCP_TheKingK	2
93	Soplight	2
93	Spenduh	2
93	Poppy235	2
93	Dogcorn69420	2
93	ProjectKernel	2
93	MissCeleste7	2
93	anbbang	2
93	Ezekson	2
93	BreadBacon	2
93	HesDemonPants	2
93	FishisTTV	2
140	MunkaKris	1
140	SaltineDream	1
140	Jalvajar	1
140	Mowelan	1
140	Nucket	1
140	SlavBylat	1
140	hm947	1
140	Tolhart	1
140	T045RTY	1
140	Dipjol	1
140	Ao_Ken	1
140	SpaceGrenadier	1
140	SquadMonster	1
140	rarrq	1
140	Stynxy	1
140	picardred	1
140	titanlax	1
140	Blackberry1310	1
140	Chickenchaser2	1
140	Albertalo	1
140	MattieHD	1
140	Guillemet	1
140	_Magdo_	1
140	TylerDupree	1
140	LitoDelvito	1
140	Kakolbus	1
140	loveseeker	1
140	V2Loon	1
140	_Boipl_	1
140	Werbe	1
140	bee_gorl	1
140	CruncyIsTaken	1
140	fred870d	1
140	Shiirazuku	1
140	Dragonlfw	1
140	jewbacaman	1
140	victorLIE	1
140	ToastedGamingYT	1
140	Klerick	1
140	Leonidas2k17	1
140	TheTrueClipse	1
140	AuroraSkies	1
140	audiocracked	1
140	masskedman	1
140	Gryglu583	1
140	AlexChristian	1
140	ydad	1
140	LexMakesHistory	1
140	Lutres_Torane	1
140	chipklip	1
140	UnThinkable2110	1
140	NameGenerat0r	1
140	Leeeegend	1
140	Nycteus_	1
140	VilsSwag	1
140	ZoharGoldMine	1
140	07shiny	1
140	Segotep999	1
140	__tomato	1
140	SammiWolfGirl	1
140	ARCTICxLORD	1
140	APS_Dan	1
140	GlitchyPlate810	1
140	HAruSAme14	1
140	jcool7	1
140	Eczbek	1
140	oxfordschool	1
140	cichy096	1
140	JungeSchnauzer	1
140	Lowjinx	1
140	2blox	1
140	TechnoNinja64	1
140	Sral7	1
140	kinas45y5	1
