rank	username	minecraft:picked_up/minecraft:white_stained_glass
1	noam464	44338
2	Hyp3rion_	36823
3	Jackattack53	18523
4	Spacewardharpy7	11457
5	eitanzaki	6827
6	pintsizedrogue	6696
7	XboxPanda	3304
8	lordpipe	3073
9	thewindmillman	2789
10	beeperbeeper5	2664
11	Di_infiri	2422
12	Smoke____	2368
13	Blaiku	2356
14	Racengan	2115
15	Mythic1130	1977
16	Snowflowe	1812
17	mihimihimihi	1709
18	jnp_gaming	1615
19	m_be9	1219
20	T045RTY	1036
21	kekhon	927
22	Enderxz3	801
23	emrekn	798
24	12Magner05	680
25	Masssonnn	637
26	obzii	622
27	Hpdinosaur	620
28	Mahoose	608
29	Arceus1975	601
30	PigDab	562
31	rarrq	556
32	ImpavidArcher	535
33	xolstoi	526
34	Chromary	521
35	Sloths_Ender	512
36	Groundler	509
37	stavgod	444
38	ApophisNova	427
38	MyNamaSheff	427
40	EcksD	410
41	Ezekson	393
42	AlexxO_o	390
43	BumbleBeever	375
44	MightyWertu	370
45	jimintyy	345
46	Soplight	337
47	livingdaydreams	330
48	YungMaki	326
49	Incinere	315
50	SmashingPump	314
51	ShedJr_	300
52	Blu3beast	290
53	r123moore	270
54	Xalithia	258
55	diamondgolem35	256
56	Kyrum2169	254
57	mwrty	241
58	FreakGenius	231
59	Alteriity	222
60	KartivGal	214
61	jcool7	209
62	Lord_Jord	195
63	Kowcio_	185
64	EMC_	181
65	Hoid_the_Roamer	173
66	Warlord324	172
67	Inbefour	171
68	Werbe	165
69	Mewar	161
70	MattieHD	160
71	IamCL4SSY	155
71	mawileite	155
73	EngagedGrub41	153
74	ssleepless	149
75	Frozil20	139
75	cog	139
77	Fuad_R	137
78	Akoot_	135
78	Steelynan	135
80	Blackberry1310	134
81	MakeHistory157	132
82	hm947	130
83	thescout7	120
84	_Virify_	118
84	joethahobo	118
86	__tomato	114
87	prizm_	112
88	Lez_	110
89	Skylord_Luke	104
90	Marbz_	103
91	Zoeyfortnite	98
92	500am	97
92	NotMeanttoChange	97
94	anbbang	96
95	Iamthejo	90
96	Elastiq	89
96	xDraggin	89
98	eiC_	87
99	TheShyPig	83
99	DanTheBuilderino	83
101	Yatitay	82
101	_Dean_123	82
103	Merv__	79
103	Eerini	79
105	ConnorDanky_	74
106	Afinnity	69
107	NameGenerat0r	65
108	CoffeeNoir	64
108	SpicyMeatballs	64
108	Smussa	64
108	AltnumberF4	64
108	Sral7	64
113	SpacesickPrism	61
114	gcaisawesome	58
115	Secret_Canary	57
115	Quincannon	57
117	SuperPooch06	53
118	Jeteight	51
119	Eraxa	49
120	NieToksikpl	42
120	Rumpletaezer	42
122	FazeObama69	41
122	LeEricc	41
122	Nicserso	41
125	alderban107	40
125	Skippeh	40
127	MyNameIsJobo	39
128	luseis	37
129	Iagoku	35
130	titanlax	34
130	Zorin_Blitz	34
132	Zythose	32
133	TheSecondLord	29
134	Jorrdi	28
134	Crowman1	28
136	TheWildMateo	26
136	weabis	26
138	Sheldor097	25
139	SellyZ	23
139	fffMike	23
139	h2p_emrld	23
142	Barlycorn	21
143	M_Patata	20
143	RoofTyler	20
143	MasterNueve	20
143	little_dUki	20
147	bladeefan2009	19
148	nocturne78	18
148	Fullut	18
148	DTwenty	18
148	PlasticOtari	18
152	lillips	17
152	El_Jalapeno	17
154	SaucyDark	16
154	RobotMinion101	16
154	Dogcorn69420	16
157	JESS_THE_RERE	14
158	Maenara	13
158	Legendosh	13
160	Huwulling	12
160	Rebytre	12
160	sp00ky_ghost977	12
160	UCP_TheKingK	12
164	Mr_Byzantine	11
164	TechnoNinja64	11
166	Eraza	10
166	fluddd	10
166	Dusk_95	10
166	CalebDHawk	10
170	Natty	8
170	CliffEmAll	8
170	set67	8
170	yaboo88	8
174	Smashic	7
174	ROY4LE	7
174	xxPipperDipperxx	7
174	claivin	7
178	MinttyFressh	6
178	wTXop	6
178	cedric72	6
178	Tyrannosplart	6
178	Cocoamallows	6
178	TheEnderMan548	6
178	jaimshae	6
178	GlitchyPlate810	6
178	Hermanni__	6
178	MirielThePastor	6
188	Winklepicker279	5
188	The_slideV3	5
188	CattSoup	5
188	Jimb0nat0r	5
188	FishisTTV	5
193	6king6colt6	4
193	SquadMonster	4
193	Ardennes	4
193	drunkeeez	4
193	whoaluv	4
193	Parcc	4
193	binman420	4
193	Optiprimus	4
193	Kubeusz2010	4
202	_stets	3
202	Firecracker320	3
202	SpaceGrenadier	3
202	mimbo1211	3
202	Lekol	3
202	Quaintster	3
208	PhantomsGhost_	2
208	q_wq	2
208	Tommhh	2
208	Rox_The_Box	2
208	ITDV	2
208	SteveCraftBlocks	2
208	RIPB0ZO	2
208	Azmodan_246	2
208	Waffleman258	2
208	zToasty69z	2
208	groofles	2
208	TheTrueClipse	2
208	Wowful	2
208	WyngGoy	2
208	SexcMf	2
208	xzvu	2
208	non089	2
208	Winston_Ingram	2
208	xorompole	2
208	Quotary	2
228	LeDuctTape	1
228	Da_Boss_Rani	1
228	oreee	1
228	himak1	1
228	Voxin2K	1
228	Onennon	1
228	Truckoss	1
228	F_Uhre	1
228	HyperCave	1
228	Aangezet	1
228	EveryonesUncle	1
228	Deathkob	1
228	DarlaMeow	1
228	_Karmaa	1
228	Nycteus_	1
228	GoofySilly	1
228	Hisiste	1
228	MovingFish7	1
228	SvenskaHugo	1
228	RealGroot	1
228	gusstationwerker	1
228	lcvezra	1
228	SammiWolfGirl	1
228	PortlyPete69	1
228	ItsJunoIGuess	1
228	TheALV	1
228	ThisUserIsStump	1
228	tartanboy	1
228	calamariclam_I	1
