rank	username	minecraft:picked_up/minecraft:charcoal
1	Hyp3rion_	1084101
2	Jackattack53	96834
3	EcksD	24126
4	noam464	14488
5	_Mythic____	14039
6	Spacewardharpy7	4883
7	El_Jalapeno	1496
8	Mr_Byzantine	1376
9	thewindmillman	746
10	Di_infiri	663
11	Yamdalorian	641
12	Heisenbberrg	564
13	Lez_	505
14	FreakGenius	501
15	blackeemperor	415
16	PhantomsGhost_	379
17	Pumpkin_P_Patch	311
18	EMC_	299
19	k_ce	281
20	Skylord_Luke	278
21	BPTY4618	249
22	groofles	192
23	SkateboardR6	191
24	Mahoose	182
25	TastyPorkchop	151
26	BlueZabu	146
27	2Stout	139
27	Teebone15	139
29	luseis	135
30	powercas_gamer	134
31	eitanzaki	120
31	Kakolbus	120
33	autisticcupcake	119
34	hijeatsdirt	98
35	pappaberg	97
36	kaiwill0w	92
37	beeperbeeper5	80
37	miramyu	80
39	PixelatedBoss	79
40	_Huge_Male_	75
41	Kowcio_	74
42	livingdaydreams	73
42	Morgf	73
44	fkGrim	70
44	PlasticOtari	70
46	pintsizedrogue	69
47	John6970	66
48	U_Mos_	65
48	KeruNatsema	65
50	_Dean_123	64
51	Jovaphobic	52
51	cubecutter124	52
51	OneLessChromosom	52
54	HellsSponge	50
55	ewpunk	48
55	MisfitsMike	48
57	Niklas20114552	47
57	KarlKaek	47
59	cuddlyMonster	46
60	Hormones	44
60	milltesco	44
62	Steelynan	43
63	SDMNAEK	42
63	taengoos	42
65	hm947	41
65	xxPipperDipperxx	41
67	H0UNDFRMH3LL	40
67	ECstardust	40
67	shineh10	40
67	fffMike	40
71	Merv__	39
72	hanaryheatwave	38
72	masskedman	38
74	Napoleonpancake	36
74	SuperPooch06	36
74	Meatlaugh	36
77	Historical_Sand	35
78	Sheldor097	34
79	Sleepy_Time_	33
79	Fullut	33
81	CliffEmAll	32
81	Matek_	32
81	Warlord324	32
84	eviltunix	31
84	thebaddruid	31
86	thescout7	30
86	Felenov	30
88	DTwenty	29
89	soundad	28
89	legal_tax_evader	28
89	TheShyPig	28
92	MSK__	27
92	SvenskaSara	27
94	Groovy_MoonBird	26
94	Kokeech	26
94	Y_A_N_N_I	26
94	EveryonesUncle	26
98	AltnumberF4	25
99	MunkaKris	24
99	TheDankPlatypus	24
