rank	username	minecraft:picked_up/minecraft:glass
1	joethahobo	248222
2	thewindmillman	130974
3	noam464	107799
4	lordpipe	65483
5	Spacewardharpy7	39443
6	Hyp3rion_	32778
7	EcksD	19405
8	Jackattack53	15907
9	HellsSponge	12455
10	Di_infiri	11313
11	jnp_gaming	10814
12	FreakGenius	10282
13	thescout7	10113
14	Smoke____	10110
15	ImpavidArcher	8671
16	gcaisawesome	8098
17	EngagedGrub41	7875
18	Nycteus_	7781
19	eitanzaki	7641
20	mwrty	7583
21	Blaiku	7147
22	pintsizedrogue	6754
23	Ezekson	5971
24	TechnoNinja64	5696
25	Werbe	5496
26	fffMike	5078
27	diamondgolem35	5070
28	YungMaki	4812
29	TheSecondLord	4444
30	Frozil20	4422
31	lillips	4370
32	cedric72	4094
33	Kakolbus	3812
34	NomadicRobin_	3773
35	PlasticOtari	3755
36	Bumpy419	3564
37	CliffEmAll	3547
38	ZeroKraken	3348
39	MightyWertu	3067
40	shrimp_flips	2799
41	Groundler	2754
42	_Karmaa	2664
43	mihimihimihi	2578
44	Snowflowe	2569
45	cog	2538
46	EMC_	2468
47	beeperbeeper5	2364
48	Mahoose	2343
49	MyNameIsJobo	2318
50	TheShyPig	2275
51	Blu3beast	2230
52	kekhon	2202
53	Njensen7	2082
54	ROY4LE	2075
55	F_Uhre	2035
56	Lez_	1922
57	Historical_Sand	1862
58	Deathkob	1846
59	Blackberry1310	1841
60	El_Jalapeno	1835
61	Legendosh	1762
62	Arceus1975	1743
63	Hiryu27	1676
64	Inbefour	1672
65	ApophisNova	1627
65	MyNamaSheff	1627
67	Jonafrog99	1625
68	Esme_1	1524
69	RebelAndroid	1486
70	Huwulling	1450
71	lizardfightclub	1428
72	Drewen24	1408
73	Lord_Jord	1378
74	Awyrlas	1340
75	Jovaphobic	1339
76	Soplight	1333
77	Powowowow	1302
78	rarrq	1294
79	Wooptey	1257
80	ConnorDanky_	1194
81	Skippeh	1183
82	Quotary	1179
83	PhantomsGhost_	1133
84	ougstur	1124
85	Akoot_	1110
86	500am	1084
87	UCP_TheKingK	1065
