rank	username	minecraft:picked_up/minecraft:weeping_vines
1	Jackattack53	3372
2	Hyp3rion_	1837
3	noam464	1107
4	shadowthemonkey	911
5	Snowflowe	723
6	Blackberry1310	603
7	Kakolbus	502
8	k_ce	469
9	_Dean_123	464
10	CliffEmAll	419
11	Blaiku	374
12	PazinGaming	334
13	Enderxz3	327
14	gcaisawesome	323
15	AdmiralSmoke	322
16	Akoot_	266
17	thewindmillman	257
18	6king6colt6	244
19	TheSecondLord	221
19	Winklepicker279	221
21	beeperbeeper5	213
22	PlasticOtari	210
23	Lutres_	198
24	djancak	180
25	joethahobo	172
26	Marbz_	159
27	DarlaMeow	155
28	eitanzaki	140
29	Steelynan	125
30	Jimb0nat0r	104
31	FreakGenius	103
32	weabis	99
33	YungMaki	98
34	HellsSponge	93
35	Fullut	91
36	ShedJr_	88
36	Lez_	88
38	lordpipe	80
39	pintsizedrogue	77
40	SammiWolfGirl	72
41	fffMike	71
42	RoskobiOne	69
42	Deathkob	69
44	_Mythic____	66
45	Historical_Sand	64
46	Lord_Jord	62
47	trexgb	60
48	Crowman1	59
49	ConnorDanky_	56
50	Yatitay	53
51	r123moore	52
52	Mahoose	51
52	BobDeBouwer1337	51
54	Cowison	50
55	Mr_Byzantine	48
55	RebelAndroid	48
55	livingdaydreams	48
55	MAns_44	48
59	Frozil20	45
60	Kowcio_	44
61	Awyrlas	41
61	lizardfightclub	41
61	monky_irl	41
64	luseis	40
65	Arceus1975	36
65	ooga47	36
65	00000000-0000-0000-0009-01ff0c3e5e4f	36
68	soundad	35
68	BlancoFlaco	35
70	12Magner05	32
71	ITDV	31
71	Luigipunch989	31
71	Kubeusz2010	31
74	Hermanni__	30
75	MineMaster0012	29
76	kekhon	28
76	lorpus	28
76	pixelviolin	28
76	jnp_gaming	28
80	Dakar_	27
81	jessewegottacook	26
81	Di_infiri	26
81	brofrickcheaters	26
84	olliebollie48	25
85	WyngGoy	24
86	Kubelz	23
86	KartivGal	23
86	AstreaTSS	23
86	Eczbek	23
90	RatatJuice	22
91	ApophisNova	21
91	MyNamaSheff	21
93	CoffeeNoir	20
94	TheWildMateo	19
94	Druid95	19
94	athereall	19
97	set67	18
97	PaperCanvas	18
97	Elastiq	18
97	masskedman	18
97	MilleGrug	18
102	Krowuss	17
102	Eraxa	17
102	TheEnderMan548	17
102	Segotep999	17
106	Huwulling	16
107	Chromary	15
107	BasedEphex	15
107	EcksD	15
107	Nicserso	15
111	EMC_	14
111	500am	14
111	Inchef	14
111	KeruNatsema	14
111	Manaateee	14
111	UltraZombie	14
111	Winston_Ingram	14
111	mobunni	14
119	whoaluv	13
119	SingedBread	13
119	Eon_57	13
122	Alteriity	12
122	burbankbuilder28	12
122	SpacesickPrism	12
125	tuckerdoodle	11
125	himak1	11
125	TheShyPig	11
125	diggydog67	11
129	Apollo_993	10
129	titanlax	10
129	sp00ky_ghost977	10
129	Soplight	10
129	Invintic	10
134	Merv__	9
134	KarlKaek	9
134	TheFlfthHorseman	9
134	Lumien_	9
134	crying_wolf_13	9
134	xxPipperDipperxx	9
134	Fuad_R	9
134	SkateboardR6	9
134	Legendosh	9
143	PhantomsGhost_	8
143	excelsionprime	8
143	TheDankPlatypus	8
143	0Vyp_	8
143	LeonelSalamanca	8
143	Gryglu583	8
149	Kokeech	7
149	NomadicRobin_	7
149	lillips	7
149	CuzIm2Kev	7
149	wwwwinnebagoooo	7
154	AuroraValkyrie	6
154	M_Patata	6
154	Zythose	6
154	Thomez_	6
154	Nycteus_	6
154	Sheldor097	6
154	anbbang	6
161	_Virify_	5
161	Hpdinosaur	5
161	Swexti	5
161	MightyWertu	5
161	SvenskaHugo	5
161	EngagedGrub41	5
161	CattSoup	5
168	j5ylim	4
168	I_Am_Mushkin	4
168	rarrq	4
168	Smashic	4
168	UncreativeArtist	4
168	ROY4LE	4
168	Hoxy	4
168	2extreeme	4
168	thebaddruid	4
168	PigDab	4
168	zToasty69z	4
168	EveryonesUncle	4
168	EfficientC52	4
168	Vegvisir	4
168	07shiny	4
168	PortlyPete69	4
168	cichy096	4
168	RadarHz	4
168	MirielThePastor	4
187	TooPure2	3
187	teslawolf38	3
187	Jindong	3
187	Ryan_GEMS	3
187	hm947	3
187	ratglock	3
187	jacxhadow	3
187	mimbo1211	3
187	breadbowlgamer	3
