rank	username	minecraft:picked_up/minecraft:gold_nugget
1	Hyp3rion_	26420515
2	thewindmillman	5678635
3	EcksD	4313582
4	Jackattack53	2374408
5	hanaryheatwave	2122376
6	noam464	1337085
7	mihimihimihi	429292
8	Blaiku	110716
9	Frozil20	102771
10	Hisiste	68316
11	Spacewardharpy7	52559
12	ImpavidArcher	33028
13	RadarHz	22641
14	PhantomsGhost_	22328
15	eitanzaki	19587
16	wwwwinnebagoooo	16841
17	PigDab	14743
18	AdmiralSmoke	13186
19	500am	11354
20	_Mythic____	9632
21	beeperbeeper5	9513
22	PazinGaming	8736
23	Ryan_GEMS	7872
24	FreakGenius	6633
25	shadowthemonkey	6279
26	Enderxz3	5753
27	NatalieTW	5004
28	fade_emerge78823	4567
29	kekhon	4432
30	Touched_Bread	3904
31	gcaisawesome	3868
32	pintsizedrogue	3787
33	Apollo_993	3661
34	shineh10	3610
35	HellsSponge	3606
36	DanTheBuilderino	3601
37	Fullut	3578
38	Di_infiri	3523
39	UncreativeArtist	3317
40	Deathkob	3166
41	Kowcio_	3132
42	Kakolbus	3056
43	Marbz_	3038
44	joethahobo	2909
45	Smashic	2903
46	Groovy_MoonBird	2783
47	yulgur1	2517
48	BlancoFlaco	2481
49	lillips	2411
50	CharlieButt	2382
51	set67	2331
52	Eraza	2248
53	SingedBread	2100
54	M_Patata	2079
54	MasterNueve	2079
56	thescout7	2076
57	djancak	2062
58	zToasty69z	2039
59	Luigipunch989	2018
60	CliffEmAll	1962
61	jacxhadow	1944
62	T045RTY	1934
63	00000000-0000-0000-0009-01ff0c3e5e4f	1915
64	fffMike	1911
65	Iamthejo	1862
66	MightyWertu	1841
67	bloodbiter	1823
68	excelsionprime	1802
69	Spenduh	1734
70	ROY4LE	1728
71	Yatitay	1702
71	RebelAndroid	1702
73	theonlymagikarp	1653
74	_i_ERROR_i_	1632
75	Lez_	1617
76	Legendosh	1614
77	Fuad_R	1586
78	Manaateee	1559
79	LeEricc	1519
80	MilleGrug	1516
81	Rebytre	1513
82	Groundler	1510
83	TheDankPlatypus	1489
84	NinjaKnifeKill	1468
85	_Virify_	1465
86	EveryonesUncle	1461
87	Winklepicker279	1441
88	striker90333	1427
89	coobert42	1401
90	remmisrat	1386
91	MineMaster0012	1371
92	Lord_Jord	1326
93	Samificator	1300
94	JohnnyFyes	1280
95	fanofbands101	1267
96	Cowison	1236
97	YungMaki	1142
98	Sleek_Storm_721	1135
99	diggydog67	1132
100	BobDeBouwer1337	1129
101	12Magner05	1111
102	CoffeeNoir	1109
103	r123moore	1108
104	NomadicRobin_	1105
105	whoaluv	1096
105	kalzor	1096
107	jushykins	1091
108	amkold	1087
109	Huwulling	1062
110	ConnorDanky_	1051
111	EngagedGrub41	1050
112	bigstankyy	1049
113	Xalithia	1032
114	masskedman	1023
115	LexMakesHistory	1022
116	Kferno	1017
117	The_Fulgurator	1011
118	himak1	993
119	Merv__	990
120	Nicserso	983
121	TechnoNinja64	965
122	LeonelSalamanca	943
123	trixterrx	942
124	pumpfonzo	941
125	TAKrules	933
126	lizardfightclub	925
127	Druid95	920
128	Werbe	919
129	hm947	905
130	Awyrlas	902
131	Avocadogerms	889
132	Leyna3	869
133	Mahoose	860
134	MAns_44	851
135	Saucepeh	839
136	oscminus	816
137	Strangemonkey71	815
138	Cocoamallows	805
139	Razzgriz	794
140	Badenbeele	786
141	luseis	739
142	Dogcorn69420	737
143	camerade	733
144	KeruNatsema	714
145	Segotep999	706
146	ITDV	690
147	trexgb	689
148	ShedJr_	684
149	ActualPatbaf	682
150	PortlyPete69	679
151	MattieHD	674
152	lunathelemon	668
153	Arceus1975	659
154	ganyuganyu	650
155	AltnumberF4	630
156	athereall	594
157	Kyrum2169	591
158	NieToksikpl	577
159	NameGenerat0r	573
160	corvidpartyfor6	570
161	claivin	568
162	Wolf_Mauler_73	567
163	k_ce	561
164	Racengan	558
165	SuperPooch06	557
166	livingdaydreams	553
167	Moofyman	546
168	censorsheep	545
169	lordpipe	543
170	UltraZombie	540
171	Vizzoid	533
172	PlasticOtari	530
173	Eraxa	524
174	Skylord_Luke	523
175	Wooptey	500
175	XboxPanda	500
177	xxPipperDipperxx	499
178	Soplight	496
179	Ryker	488
180	DarlaMeow	478
181	Silvo614	475
182	MovingFish7	472
183	CLG_Kata	469
184	CalebDHawk	468
185	Bandito_Roamer	453
186	mwrty	450
187	2blox_	432
188	TheShyPig	429
189	Myszoaz	421
190	Heisenbberrg	420
191	pixelviolin	417
192	EMC_	416
193	monky_irl	412
194	JitteryJared2	398
194	Dakar_	398
194	TheBananaKat	398
197	chimpmunker	389
198	mexicancharlie	388
199	Historical_Sand	385
199	rarrq	385
201	Decaying_Lotus	381
202	lorpus	372
203	Kubelz	371
204	MissCeleste7	361
205	sp00ky_ghost977	359
206	Kubeusz2010	358
207	SvenskaHugo	331
208	spellmre	328
208	Paguz01	328
210	Yahrto	327
211	KGTV	325
212	Blackberry1310	319
