rank	username	minecraft:picked_up/minecraft:blue_carpet
1	EcksD	3786
2	Xclax101	2982
3	joethahobo	1606
4	MattieHD	1233
5	beeperbeeper5	913
6	Archsam	850
7	Swexti	667
8	Huwulling	649
9	Njensen7	389
10	Lez_	376
11	YungMaki	354
12	buss081	302
13	Mahoose	292
14	h2p_emrld	264
15	Jackattack53	255
16	mwrty	218
17	Spacewardharpy7	186
18	luseis	156
19	Zoeyfortnite	150
20	Ezekson	144
21	HellsSponge	137
22	bloodbiter	135
23	Blackberry1310	134
24	Legendosh	125
25	fw3xy74	120
26	PlasticOtari	115
27	AdmiralSmoke	113
28	Skippeh	108
29	Di_infiri	102
30	Snowflowe	100
31	bruh072	98
32	500am	91
33	cedric72	80
34	Trixididntdie	78
34	Soplight	78
36	TheShyPig	70
37	ConnorDanky_	65
38	MoistMicrowave	58
39	pintsizedrogue	54
40	Mr_Byzantine	52
41	Werbe	51
41	Meatlaugh	51
43	Mr_Worthless	50
44	Segotep999	49
45	BumbleBeever	47
46	Rumpletaezer	46
47	xxPipperDipperxx	45
47	Kubeusz2010	45
49	Merv__	44
50	jcool7	41
51	NieToksikpl	40
52	eitanzaki	37
53	_Karmaa	35
53	CattSoup	35
55	kekhon	34
55	jnp_gaming	34
57	KarlKaek	33
58	fullyrawfuzz	32
59	Drewen24	31
60	impossibleteapot	30
60	The_Fulgurator	30
60	Manaateee	30
63	MinuteMira	29
64	FreakGenius	27
65	MandenR1	25
66	ImpavidArcher	24
67	Steelynan	23
68	Rich_Kat	22
68	noam464	22
70	Akoot_	20
71	CaptainBadKid	19
71	pappaberg	19
71	BRRRN179	19
71	cichy096	19
75	lcvezra	18
75	TechnoNinja64	18
77	rarrq	17
77	Jimi7hits	17
77	Dakar_	17
77	cringenaynaybaby	17
81	SmashingPump	16
81	PaperCanvas	16
81	Maenara	16
81	pixelviolin	16
81	Kowcio_	16
86	Dali1465	15
87	teslawolf38	14
88	Bandito_Roamer	13
88	MrExplorer	13
88	SSytex_X	13
88	xzvu	13
92	Crowman1	12
92	Smashic	12
92	oscminus	12
92	EveryonesUncle	12
92	Dr0xzy	12
97	SteveCraftBlocks	10
97	MethylRadical	10
97	wezzzi	10
97	Lunkuku	10
97	MakeHistory157	10
102	Kubelz	9
102	KingMatthew506	9
102	xolstoi	9
105	RebelAndroid	8
105	SvenskaSara	8
107	Wooptey	7
107	Bazongoman	7
107	Aezekial	7
107	Jimb0nat0r	7
111	Covalents	6
111	M_Patata	6
111	claivin	6
111	MasterNueve	6
115	Secret_Canary	5
115	thescout7	5
115	LexMakesHistory	5
115	DarlaMeow	5
115	Yahrto	5
120	Alteriity	4
120	ShedJr_	4
120	TheSecondLord	4
120	GLLogan2	4
120	Scathra	4
120	Mattesco	4
120	NomadicRobin_	4
120	Blaiku	4
120	lordpipe	4
120	layabout100	4
120	UCP_TheKingK	4
120	__tomato	4
120	Hermanni__	4
120	xorompole	4
134	PazinGaming	3
134	diamondgolem35	3
134	Sparky_KT	3
134	Laykon	3
134	r123moore	3
134	SuperPooch06	3
134	UMosDiesIrae	3
134	_Boipl_	3
134	ScootOfBoot	3
134	RobotMinion101	3
134	Blu3beast	3
134	Racengan	3
134	jewishnoselong	3
134	Kijiki	3
134	tsitrawhy	3
134	_i_ERROR_i_	3
134	Sheldor097	3
151	EMC_	2
151	jessewegottacook	2
151	IWorkAtIkea	2
151	NotKaden_	2
151	jedi_george	2
151	Hyp3rion_	2
151	OreTheBear	2
151	DAD_1996	2
151	LeonelSalamanca	2
151	camando92	2
161	_Huge_Male_	1
161	ItsColin11	1
161	ECstardust	1
161	Frozil20	1
161	Volttower	1
161	Flores991	1
161	ZaneABrain	1
161	tsohomie	1
161	titanlax	1
161	Z3braYTIL	1
161	Flapjacker687	1
161	Kazekage	1
161	Touched_Bread	1
161	benediktine1	1
161	prizm_	1
161	ZeroAbyssTTV	1
161	fallingemma	1
161	Karetoko	1
161	Ecplosive	1
161	Winklepicker279	1
161	fr_ser	1
161	wTXop	1
161	Krowuss	1
161	ApophisNova	1
161	420BreadLizard	1
161	Inbefour	1
161	duqboy	1
161	Syropatathe	1
161	The_slideV3	1
161	Danielmoe	1
161	ReflexCode	1
161	MovingFish7	1
161	aidanwest	1
161	MineMaster0012	1
161	Spenduh	1
161	xof_on_microwave	1
161	LagMass	1
161	TinyTheMelon	1
161	MyNamaSheff	1
161	Sral7	1
