rank	username	minecraft:picked_up/minecraft:mangrove_leaves
1	Yamdalorian	37111
2	Galactic_Badger	33299
3	corvidpartyfor6	22785
4	SpacesickPrism	20883
5	Mr_Byzantine	10382
6	luseis	9125
7	hanaryheatwave	6655
8	Pumpkin_P_Patch	4441
9	pintsizedrogue	4365
10	Enderxz3	4331
11	Mattesco	3010
12	EveryonesUncle	2947
13	k_ce	2691
14	beeperbeeper5	2502
15	Mahoose	1831
16	pixelviolin	1627
17	Steelynan	1577
18	Soplight	1137
19	hermmm_	951
20	j5ylim	894
21	TheSecondLord	740
22	500am	599
23	ECstardust	579
24	TheWickedBird	548
25	KarlKaek	536
26	Merv__	439
27	Jimb0nat0r	421
28	Lez_	320
29	Jackattack53	312
30	Fuad_R	298
31	U_Mos_	289
32	FiguraDei	255
33	Kakolbus	227
34	Manaateee	223
35	_Huge_Male_	204
36	PazinGaming	197
37	T045RTY	174
38	EMC_	164
39	Druid95	160
40	Touched_Bread	156
41	Krowuss	145
42	MattieHD	138
43	EngagedGrub41	129
44	PlasticOtari	102
45	mihimihimihi	74
46	Smashic	70
47	fragrantmonke444	65
48	crashomon	55
49	skroobiez	53
50	thewindmillman	42
51	Da_Boss_Rani	21
52	DinoDoctor_	19
52	Kowcio_	19
54	myaccountwasgone	17
54	Alteriity	17
56	NATE_the_HALO	16
57	philandr	9
57	TheKingK_	9
59	MrKrabOnCoke	8
60	Hyp3rion_	7
61	AlexxO_o	6
61	YungMaki	6
63	Nicserso	5
64	BeardBois	4
65	12Magner05	3
65	GooseWithin	3
65	CattSoup	3
68	CLG_Kata	2
68	shineh10	2
68	CaracolCxnt	2
68	noam464	2
68	Jonafrog99	2
68	Spacewardharpy7	2
74	SoosAmongus	1
74	catandmoose	1
74	ee_echo_oo	1
74	skitzxo	1
