rank	username	minecraft:picked_up/minecraft:target
1	500am	402
2	noam464	285
3	thewindmillman	241
4	Eczbek	146
5	Eczbox	140
6	AdmiralSmoke	42
7	Manaateee	37
8	EMC_	36
9	Fuad_R	31
10	T045RTY	23
10	Awyrlas	23
12	_Mythic____	20
13	Deathkob	19
13	Spacewardharpy7	19
15	12Magner05	18
16	Jimb0nat0r	16
17	PlasticOtari	15
18	AlexxO_o	14
19	Inchef	13
19	Jackattack53	13
19	FreakGenius	13
22	mihimihimihi	12
23	beeperbeeper5	11
23	r123moore	11
23	Eraxa	11
26	k_ce	10
26	Blackberry1310	10
26	M_Patata	10
26	Mattesco	10
26	MasterNueve	10
26	Kowcio_	10
32	Arceus1975	9
33	Historical_Sand	8
33	Hyp3rion_	8
33	YungMaki	8
33	Winston_Ingram	8
37	ImpavidArcher	7
37	kekhon	7
37	fluddd	7
37	MineMaster0012	7
41	q_wq	6
41	SteveCraftBlocks	6
41	Fullut	6
41	sp00ky_ghost977	6
41	EngagedGrub41	6
46	teslawolf38	5
47	Jindong	4
47	Mahoose	4
47	eli_tschki	4
47	Di_infiri	4
47	censorsheep	4
47	SvenskaHugo	4
47	tartanboy	4
54	tuckerdoodle	3
54	eitanzaki	3
54	mwrty	3
54	shadowthemonkey	3
54	lordpipe	3
54	pixelviolin	3
54	Spenduh	3
61	_Huge_Male_	2
61	RebelAndroid	2
61	pumpfonzo	2
61	Elastiq	2
61	Hisiste	2
61	EcksD	2
61	Enderxz3	2
61	HesDemonPants	2
69	pintsizedrogue	1
69	Mr_Byzantine	1
69	ECstardust	1
69	DinoDoctor_	1
69	CoffeeNoir	1
69	ITDV	1
69	joethahobo	1
69	Da_Boss_Rani	1
69	PigDab	1
69	LeonelSalamanca	1
69	EveryonesUncle	1
69	Nycteus_	1
69	djancak	1
69	fffMike	1
