rank	username	minecraft:picked_up/minecraft:waxed_cut_copper_slab
1	Mr_Byzantine	608
2	Mattesco	284
3	12Magner05	226
4	TheWickedBird	166
5	Lez_	111
6	beeperbeeper5	77
6	TheSecondLord	77
8	MAns_44	67
9	hanaryheatwave	52
10	Nicserso	36
11	pintsizedrogue	28
12	Merv__	26
13	thewindmillman	22
14	Solar_Power	13
15	SteveCraftBlocks	12
16	Spaghettatron	11
17	Huwulling	9
18	EMC_	6
18	KamFurnace	6
20	Eczbek	4
21	TheKingK_	3
22	Soplight	2
22	pizzarel_	2
24	Manaateee	1
24	Buuck_	1
24	Kowcio_	1
24	Jimb0nat0r	1
24	Yamdalorian	1
