rank	username	minecraft:picked_up/minecraft:waxed_cut_copper_stairs
1	Mattesco	498
2	Segotep999	278
3	Mr_Byzantine	251
4	TheSecondLord	188
5	thewindmillman	110
6	Lez_	94
7	PazinGaming	63
8	ScootOfBoot	59
9	Touched_Bread	50
10	EMC_	48
11	12Magner05	43
12	Jimb0nat0r	41
13	PlasticOtari	35
14	hanaryheatwave	26
15	Solar_Power	7
15	UCP_TheKingK	7
17	beeperbeeper5	6
17	AdmiralSmoke	6
19	Arceus1975	5
20	Smashic	4
20	Kowcio_	4
22	FreakGenius	3
22	fluddd	3
24	Merv__	2
24	Huwulling	2
24	Manaateee	2
24	MAns_44	2
24	YungMaki	2
29	Mahoose	1
29	Jackattack53	1
