rank	username	minecraft:picked_up/minecraft:polished_deepslate
1	thewindmillman	23711
2	titanlax	1265
3	iHuntWeeaboos	1065
4	Fuad_R	1044
5	RoskobiOne	921
6	500am	912
7	pintsizedrogue	655
8	StinkyDiplomat	653
9	TheWildMateo	617
10	fffMike	485
11	Da_Boss_Rani	348
12	groofles	270
13	Mookle96	250
14	Moofyman	189
15	Winklepicker279	187
16	Skylord_Luke	179
17	RebelAndroid	165
18	Hermanni__	154
19	EMC_	137
20	shrimp_flips	136
21	pixelviolin	133
22	Spenduh	132
23	fade_emerge78823	129
24	Sleepy_Time_	125
25	2blox	116
26	prizm_	105
27	Touched_Bread	91
28	drunkeeez	89
29	00000000-0000-0000-0009-01f898304150	78
30	Jiminie	68
30	00000000-0000-0000-0009-01ff0c3e5e4f	68
32	Spacewardharpy7	62
33	microcrisp	56
34	Mahoose	51
35	Kowcio_	49
36	ImpavidArcher	48
36	CuzIm2Kev	48
38	Huwulling	43
38	benediktine1	43
40	beeperbeeper5	41
40	Rebytre	41
42	NLKBuilder	38
43	jessemgaming	36
43	Wowful	36
45	Inchef	32
46	Legendosh	29
47	IdeallyGrey	26
47	PlasticOtari	26
49	MrKrabOnCoke	24
50	TAKrules	21
51	sp00ky_ghost977	20
52	Smashic	17
52	Gryglu583	17
54	Snowflowe	16
54	TJawesome09	16
56	MogusBussy69	15
57	MAns_44	14
58	hm947	13
58	JitteryJared2	13
60	PigDab	12
61	BiggieDawg	11
62	Ryker	10
62	Jeteight	10
64	Kubelz	9
64	Hyp3rion_	9
66	Mattesco	8
66	lordpipe	8
66	Steelynan	8
69	Lez_	7
69	Njensen7	7
71	Megarboh	6
71	UCP_TheKingK	6
71	mobunni	6
71	EcksD	6
75	RatatJuice	5
75	breadbowlgamer	5
75	Smoke____	5
78	Alteriity	4
78	Jackattack53	4
78	Sharkbyte0	4
78	Deathkob	4
78	RadarHz	4
78	Enderslayerxz3	4
84	TheSecondLord	3
84	lizardfightclub	3
84	Lord_Jord	3
84	CalebDHawk	3
88	SyntheticSurgeon	2
88	CoffeeNoir	2
88	joethahobo	2
88	crying_wolf_13	2
88	videogames_	2
88	Luminad3	2
88	EricAurum	2
88	AltnumberF4	2
96	Paradoxion	1
96	SquadMonster	1
96	LeauVox4921	1
96	Marbz_	1
96	_Boipl_	1
96	ApophisNova	1
96	binman420	1
96	Veillax135	1
96	wwwwinnebagoooo	1
96	iSammael	1
96	Segotep999	1
96	Ezekson	1
96	MyNamaSheff	1
