rank	username	minecraft:picked_up/minecraft:iron_pickaxe
1	Zythose	526
2	mimbo1211	56
2	El_Jalapeno	56
4	balin55	54
5	lotarp	34
6	masskedman	32
7	Hyp3rion_	31
8	Freak_Genius	30
9	tsohomie	29
10	cedric72	27
11	MousePlays	26
12	monky_irl	25
13	cowgirlkasia	24
13	KingMatthew506	24
15	soundad	23
16	Quaintster	21
17	Di_infiri	20
18	Toriankel	19
18	djancak	19
20	intropass	18
20	Kubeusz2010	18
22	Whiterooster001	17
22	bloodbiter	17
24	ThePoliteG	16
24	lizardfightclub	16
24	Legendosh	16
27	eitanzaki	15
27	sufjanlover	15
27	Ezekson	15
30	Hashinshin69	14
31	Mowelan	13
31	GingerNeutron	13
31	anbbang	13
34	SaucyDark	12
34	set67	12
34	Kubelz	12
34	AvaRosey	12
34	EcksDofficial	12
39	6king6colt6	11
39	tramizu	11
39	jnp_gaming	11
42	pZygh0st	10
42	CliffEmAll	10
42	TheSecondLord	10
42	Deodorante	10
42	Hermanni__	10
42	TechnoNinja64	10
48	FirsTimeGamingTV	9
48	kekhon	9
48	MattieHD	9
48	Nach0Bear	9
48	TheShyPig	9
48	sollyumber	9
48	Kferno	9
55	H72l9w	8
55	Historical_Sand	8
55	rarrq	8
55	jacxhadow	8
55	DermeinUser	8
55	gabriels543	8
55	wezzzi	8
55	Warlord324	8
55	Vorlice	8
55	Hisiste	8
55	Razzgriz	8
55	Seindi	8
55	Njensen7	8
55	VentiHilton	8
55	Miko_Fullbuster	8
55	cichy096	8
71	pintsizedrogue	7
71	bigstankyy	7
71	awesomeoneme	7
71	Ozixar	7
71	redikul	7
71	LotusProject	7
71	Bumpy419	7
71	Maenara	7
71	Akoot_	7
71	yulgur1	7
71	Jamstroxian	7
71	Blaiku	7
71	Kymarmalade	7
71	kinas45y5	7
85	Elprone266	6
85	Ilinca_Io	6
85	ExtraDumb	6
85	Malorn_Aetherius	6
85	_Dean_123	6
85	Kamflame10	6
85	mwrty	6
85	JMK208	6
85	Werbe	6
85	XeroByMyth	6
85	Lord_Jord	6
85	QueenShuvi	6
85	AssEatrAndLicker	6
85	bndo	6
85	Ze_BaronKrigler	6
85	hdtpm	6
85	SSytex_X	6
85	stahouo	6
85	fffMike	6
104	Jovaphobic	5
104	dabloons	5
104	BlancoFlaco	5
104	Wooptey	5
104	beeperbeeper5	5
104	Ssor69	5
104	Stynxy	5
104	Upstro10	5
104	ratglock	5
104	Boboczus	5
104	thescout7	5
104	__TheNorseMan__	5
104	TheDankPlatypus	5
104	Ecplosive	5
104	Orcus113	5
104	SuperPooch06	5
104	mick407	5
104	MaGro2010	5
104	Skylord_Luke	5
104	fred870d	5
104	BRRRN179	5
104	PigDab	5
104	Sky_light_KING	5
104	KlausVonStiglitz	5
104	DanTheBuilderino	5
104	NotMeowMix	5
104	Leithz6	5
104	OG_Songsee	5
104	Soul_Atreus	5
104	Decaying_Lotus	5
104	bloomkieren	5
104	BlankityMcBlank	5
104	Deguns123	5
104	EcksD	5
104	Nicserso	5
104	JasmineGK	5
104	Smoke____	5
141	doopiyo	4
141	T045RTY	4
141	Mahoose	4
141	ShedJr_	4
141	Hamsanders	4
141	Ardennes	4
141	eviltunix	4
141	Paintz	4
141	breadbowlgamer	4
141	valiSW	4
