rank	username	minecraft:picked_up/minecraft:netherite_shovel
1	eitanzaki	56
2	groofles	45
3	beeperbeeper5	32
4	Kowcio_	22
5	noam464	21
6	Blaiku	19
6	PlasticOtari	19
8	luseis	15
8	Smoke____	15
10	Mahoose	14
11	Smashic	13
11	SingedBread	13
11	Spacewardharpy7	13
14	fffMike	12
14	EcksD	12
16	Ezekson	11
17	TheSecondLord	10
17	Hyp3rion_	10
17	NomadicRobin_	10
20	pintsizedrogue	9
20	Blackberry1310	9
20	kekhon	9
20	Chromary	9
20	Enderxz3	9
25	thewindmillman	8
25	lordpipe	8
25	CattSoup	8
28	Esme_1	7
28	Crowman1	7
28	Di_infiri	7
28	YungMaki	7
28	MilleGrug	7
33	EMC_	6
33	Kakolbus	6
33	Jackattack53	6
33	Akoot_	6
33	SkateboardR6	6
33	Hermanni__	6
33	Jimb0nat0r	6
40	joethahobo	5
40	Historical_Sand	5
40	Fuad_R	5
40	_Karmaa	5
40	RealGroot	5
40	gusstationwerker	5
46	CadenSteele	4
46	teslawolf38	4
46	ImpavidArcher	4
46	T045RTY	4
46	Winklepicker279	4
46	Skylord_Luke	4
46	Werbe	4
46	lillips	4
46	RoofTyler	4
46	GlitchyPlate810	4
46	obzii	4
46	Iamthejo	4
46	diggydog67	4
59	RebelAndroid	3
59	Huwulling	3
59	Lez_	3
59	Myszoaz	3
59	ITDV	3
59	Swexti	3
59	set67	3
59	fade_emerge78823	3
59	Rebytre	3
59	ApophisNova	3
59	PigDab	3
59	LeGold	3
59	FishyBoy3811	3
59	fluddd	3
59	Racengan	3
59	Eraxa	3
59	tsitrawhy	3
59	LeEricc	3
59	MyNamaSheff	3
59	Biites	3
79	RoskobiOne	2
79	Cowison	2
79	Frozil20	2
79	gren_ben	2
79	ShedJr_	2
79	jessewegottacook	2
79	12Magner05	2
79	corvidpartyfor6	2
79	Secret_Canary	2
79	500am	2
79	Fullut	2
79	4774	2
79	paranoid_plant	2
79	Inchef	2
79	r123moore	2
79	Touched_Bread	2
79	XboxPanda	2
79	King_Pancake1	2
79	fw3xywashere	2
79	masskedman	2
79	EveryonesUncle	2
79	DarlaMeow	2
79	CatchmyGrenade28	2
79	Mythic1130	2
79	non089	2
79	jcool7	2
79	Steelynan	2
79	Eczbek	2
79	HesDemonPants	2
79	2bolx_	2
109	H0UNDFRMH3LL	1
109	MuffinManzz	1
109	NatalieTW	1
109	Mr_Byzantine	1
109	JohnnyFyes	1
109	ActivelyLogicalt	1
109	dimondking777	1
109	diamondgolem35	1
109	Creativebuilder2	1
109	ExtraDumb	1
109	BlancoFlaco	1
109	Wooptey	1
109	Alteriity	1
109	SpaceGrenadier	1
109	Da_Boss_Rani	1
109	NieToksikpl	1
109	CliffEmAll	1
109	catandmoose	1
109	MattieHD	1
109	SoftSix	1
109	lorpus	1
109	Xalithia	1
109	xxPipperDipperxx	1
109	olliebollie48	1
109	HoltGrim	1
109	CollinMH06	1
109	Marbz_	1
109	Snowflowe	1
109	Zythose	1
109	BronkerBrum	1
109	TheWildMateo	1
109	zToasty69z	1
109	Lord_Jord	1
109	NoChumpChange	1
109	Deathkob	1
109	LexMakesHistory	1
109	OverallConcept	1
109	NameGenerat0r	1
109	weabis	1
109	FreakGenius	1
109	501g	1
109	MightyWertu	1
109	the__Reaper4999	1
109	ChronoSounds	1
109	MS_Pryxx	1
109	THEKINGLyric10	1
109	Yahir091	1
109	mihimihimihi	1
109	Dusk_95	1
109	TheTommyGun63	1
109	WyngGoy	1
109	MineMaster0012	1
109	KujikawaRisechi	1
109	Soplight	1
109	SammiWolfGirl	1
109	SkinnyBois	1
109	ZoomieZoomie	1
109	anbbang	1
109	Quotary	1
109	AltnumberF4	1
109	jnp_gaming	1
109	MirielThePastor	1
109	xolstoi	1
