rank	username	minecraft:picked_up/minecraft:pink_terracotta
1	thewindmillman	76654
2	xxPipperDipperxx	1245
3	EMC_	513
4	Inbefour	484
5	Steelynan	436
6	pintsizedrogue	273
6	joethahobo	273
8	EveryonesUncle	227
9	AdmiralSmoke	178
10	MovingFish7	150
11	lordpipe	137
12	MakeHistory157	133
13	Kowcio_	126
14	beeperbeeper5	124
15	YungMaki	116
16	ProfessorBee	97
17	wobn	95
18	Huwulling	88
19	Werbe	87
20	Crowman1	82
21	Rumpletaezer	74
22	oscminus	69
23	xolstoi	61
24	mwrty	58
25	r123moore	54
26	FreakGenius	46
27	mobunni	41
28	Lez_	35
28	Manaateee	35
30	Sleek_Storm_721	31
31	KarlKaek	28
31	duqboy	28
33	pixelviolin	24
34	Hyp3rion_	23
34	Toriankel	23
36	TheSecondLord	21
37	eitanzaki	19
38	kekhon	18
38	luseis	18
38	Soplight	18
41	theonlymagikarp	17
42	Enderxz3	15
43	_Boipl_	14
44	Jimb0nat0r	13
45	lunathelemon	12
45	gcaisawesome	12
47	AuroraValkyrie	11
47	Blu3beast	11
49	Biites	8
50	ApophisNova	7
50	NameGenerat0r	7
50	ZoomieZoomie	7
50	MyNamaSheff	7
54	shineh10	6
54	Mahoose	6
54	noam464	6
54	mariominejedi	6
54	Kim_Jong_eel	6
59	Legendosh	5
60	ooga47	4
60	PlasticOtari	4
62	Krowuss	3
62	SvenskaHugo	3
62	MineMaster0012	3
62	jcool7	3
66	Bandito_Roamer	2
66	ZigzagLily43042	2
66	SteveCraftBlocks	2
66	ConnorDanky_	2
66	EcksD	2
66	Sral7	2
72	_HoneySlime_	1
72	Fullut	1
72	MeowMeowMcmuffin	1
72	Kakolbus	1
72	Marbz_	1
72	PigDab	1
72	sxc_	1
72	Nycteus_	1
72	ItsDeltaMC	1
72	VentiHilton	1
72	icim	1
72	00000000-0000-0000-0009-01ff0c3e5e4f	1
