rank	username	minecraft:picked_up/minecraft:pink_terracotta
1	thewindmillman	76654
2	xxPipperDipperxx	1245
3	EMC_	513
4	Inbefour	484
5	Steelynan	405
6	pintsizedrogue	273
6	joethahobo	273
8	EveryonesUncle	227
9	AdmiralSmoke	178
10	MovingFish7	150
11	lordpipe	137
12	MakeHistory157	133
13	Kowcio_	126
14	beeperbeeper5	124
15	YungMaki	116
16	ProfessorBee	97
17	wobn	95
18	Huwulling	88
19	Werbe	87
20	Crowman1	82
21	Rumpletaezer	74
22	oscminus	66
23	mwrty	58
24	r123moore	54
25	FreakGenius	46
26	mobunni	41
27	xolstoi	40
28	Lez_	35
29	Sleek_Storm_721	31
30	KarlKaek	28
30	duqboy	28
32	pixelviolin	24
33	Hyp3rion_	23
33	Toriankel	23
35	TheSecondLord	21
36	eitanzaki	19
37	kekhon	18
37	luseis	18
37	Soplight	18
40	theonlymagikarp	17
41	Enderxz3	15
42	_Boipl_	14
43	Jimb0nat0r	13
44	lunathelemon	12
44	gcaisawesome	12
44	Manaateee	12
47	AuroraValkyrie	11
47	Blu3beast	11
49	Biites	8
50	ApophisNova	7
50	NameGenerat0r	7
50	ZoomieZoomie	7
50	MyNamaSheff	7
54	Mahoose	6
54	noam464	6
54	mariominejedi	6
54	Kim_Jong_eel	6
58	Legendosh	5
59	ooga47	4
59	PlasticOtari	4
61	shineh10	3
61	SvenskaHugo	3
61	MineMaster0012	3
61	jcool7	3
65	Bandito_Roamer	2
65	ZigzagLily43042	2
65	SteveCraftBlocks	2
65	ConnorDanky_	2
65	EcksD	2
65	Sral7	2
71	_HoneySlime_	1
71	Fullut	1
71	MeowMeowMcmuffin	1
71	Kakolbus	1
71	Marbz_	1
71	Krowuss	1
71	PigDab	1
71	sxc_	1
71	Nycteus_	1
71	VentiHilton	1
71	icim	1
71	00000000-0000-0000-0009-01ff0c3e5e4f	1
