rank	username	minecraft:picked_up/minecraft:sunflower
1	joethahobo	3132
2	lordpipe	2651
3	noam464	2122
4	Jiminie	1815
5	Spacewardharpy7	1770
6	Marbz_	1666
7	beeperbeeper5	1323
8	gabriels543	1092
9	TheShyPig	1011
10	Groovy_MoonBird	964
11	YungMaki	886
12	Steelynan	767
13	lillips	766
14	Merv__	687
15	Hyp3rion_	603
16	thewindmillman	575
17	Freak_Genius	560
18	Frozil12	556
19	xxPipperDipperxx	534
20	HellsSponge	402
21	ApophisNova	385
21	MyNamaSheff	385
23	oxfordschool	367
24	Smoke____	359
25	Mahoose	348
26	Di_infiri	316
27	Legendosh	296
28	Bumpy419	230
29	kekhon	217
30	LordSpeed37	213
31	Fullut	202
32	AuroraSkies	200
33	SSytex_X	188
34	TheDankPlatypus	180
35	pintsizedrogue	175
36	jnp_gaming	172
37	laron58	170
38	KarlKaek	150
39	EMC_	144
39	IAmTheWalrus910	144
41	Kowcio_	135
42	_stets	134
42	500am	134
44	PhantomsGhost_	130
44	fr_ser	130
46	WYFYoyo	128
47	El_Jalapeno	124
47	TechnoNinja64	124
49	eitanzaki	121
50	Ezekson	120
51	sp00ky_ghost977	118
52	ROY4LE	116
53	stellarjay	114
54	Froste131	106
55	Hermanni__	105
56	Kakolbus	100
56	Rumpletaezer	100
58	LilLizardWizard	95
59	Moofyman	92
60	Rebytre	91
60	chipklip	91
62	livingdaydreams	89
62	CoffeeNoir	89
64	SaucyDark	83
65	Akoot_	82
66	NomadicRobin_	73
67	loveseeker	72
68	VentiHilton	68
69	Historical_Sand	66
70	T045RTY	65
71	Rasmanden	64
71	DarlaMeow	64
73	Deathkob	63
74	ExtraDumb	62
75	TastyPorkchop	60
76	BlancoFlaco	59
76	Werbe	59
78	OfficerAnvil	58
79	XxCookiequeenxX	56
79	00000000-0000-0000-0009-01f532a65833	56
81	OnlyOfficial	55
82	TheSeismicDuck	52
82	Lutres_Torane	52
84	Maenara	49
85	Kubelz	46
86	burbankbuilder28	45
86	Onennon	45
88	RadarHz	43
89	MyNameIsDakar	40
90	Windo_licker	38
90	Skippeh	38
92	ProbablyNick	37
92	RedcatVII	37
94	claivin	36
95	Bandito_Roamer	32
95	FishisTTV	32
95	00000000-0000-0000-0009-01ff0c3e5e4f	32
98	UncreativeArtist	31
98	The11thDoctor	31
98	AvaRosey	31
101	Awyrlas	30
101	The_SlideV5	30
103	Swexti	29
103	ratglock	29
103	Fildyr	29
103	diggydog67	29
107	jushykins	28
107	wezzzi	28
107	Vorlice	28
110	I_Am_Mushkin	27
110	picardred	27
110	ItzYaBoiPicard	27
110	ReyTheLegend	27
114	G1ldor	25
114	KartivGal	25
114	MovingFish7	25
117	_Razar	24
117	tuckerdoodle	24
117	Mattesco	24
117	Inbefour	24
117	MAns_44	24
117	Lord_Lollo	24
123	ShedJr_	23
123	BlueZabu	23
123	csendeslol	23
126	PortlyPete69	22
127	seramalen	21
127	dezxalo	21
129	Cocoamallows	20
129	__tomato	20
129	Enderslayerxz3	20
132	m_be9	19
132	Zaridey	19
132	SammiWolfGirl	19
135	Nesquiczek	18
135	jacxhadow	18
135	r123moore	18
135	Russiancat1	18
139	MyNameIsJobo	17
140	Enigma0251	16
140	Jeteight	16
140	_Bguette_	16
140	PlasticOtari	16
144	SteveCraftBlocks	15
144	Ecplosive	15
144	Kyrum2169	15
144	EtherealEspresso	15
144	Spenduh	15
149	lizardfightclub	14
149	Luigipunch989	14
151	SkirmishMUDKIP	13
151	orxngejuice	13
151	Typadopoulos	13
151	Soplight	13
155	NoxxxxiS	12
155	M_Patata	12
155	Snowflowe	12
155	CarryLine	12
155	Groundler	12
155	Lirael42	12
155	jaimshae	12
162	6king6colt6	11
162	roxycherry	11
162	theofiel	11
162	sufjanlover	11
162	MasterNueve	11
167	Prismyst	10
167	DarkFisto	10
167	CaptainDeadBread	10
167	LexMakesHistory	10
167	Deguns123	10
167	HuangMeiHua	10
173	teslawolf38	9
173	TheSecondLord	9
173	LeauVox4921	9
173	_Boipl_	9
173	garrykasparow	9
173	drumine	9
173	Dusk_95	9
173	lcvezra	9
181	Nach0Bear	8
