rank	username	minecraft:picked_up/minecraft:fire_coral_block
1	Enderxz3	1219
2	TheShyPig	580
3	ImpavidArcher	572
4	pintsizedrogue	521
5	500am	353
6	HellsSponge	326
7	_Dean_123	307
8	h2p_emrld	267
9	Jovaphobic	263
9	Onennon	263
11	Hyp3rion_	246
12	YungMaki	240
13	Kouridragon	195
14	Di_infiri	174
15	Kura2218	165
16	EcksD	139
17	RoskobiOne	131
18	Vetral1	128
19	Merv__	116
20	fffMike	96
21	Fullut	92
22	Mewar	90
23	Marbz_	89
24	Deathkob	87
25	AuroraValkyrie	86
26	emrekn	85
26	MyNameIsJobo	85
28	ApophisNova	83
28	MyNamaSheff	83
30	xDraggin	82
31	Inbefour	80
32	thewindmillman	77
33	lordpipe	76
34	Xalithia	75
35	burbankbuilder28	73
36	Ssor69	71
37	eitanzaki	69
37	12Magner05	69
39	MattieHD	65
40	livingdaydreams	64
40	xxPipperDipperxx	64
40	Xclax101	64
43	__tomato	51
44	Maenara	49
45	TheSeismicDuck	48
45	Legendosh	48
47	djancak	43
48	tsohomie	42
48	eiC_	42
48	Skylord_Luke	42
51	Noah_Bez	40
52	Kakolbus	38
53	r123moore	37
54	censorsheep	35
55	Eraxa	34
56	mihimihimihi	32
56	laron58	32
56	PlasticOtari	32
59	Karbl	31
60	ShedJr_	30
60	Inchef	30
62	Iagoku	29
62	NameGenerat0r	29
62	FreakGenius	29
65	urbeans	27
65	Werbe	27
67	Groovy_MoonBird	26
68	Rumpletaezer	25
68	PortlyPete69	25
70	dudcreeper	24
71	diamondgolem35	23
71	Rebytre	23
71	Dusk_95	23
74	aec9	22
75	kekhon	21
75	Jackattack53	21
77	TheDankPlatypus	19
77	F_Uhre	19
77	KingMatthew506	19
77	ConnorDanky_	19
77	Smoke____	19
82	CollinMH06	18
82	Eerini	18
82	gusstationwerker	18
85	Bandito_Roamer	17
85	Voxin2K	17
87	SaucyDark	16
88	joethahobo	15
88	Blaiku	15
90	surfinggiraffejp	14
91	Mahoose	13
91	_Karmaa	13
91	Typadopoulos	13
94	Fizznut909	12
94	jcool7	12
96	jnp_gaming	11
96	Sral7	11
98	RatatJuice	10
98	Arceus1975	10
98	Akoot_	10
98	binman420	10
102	shyshyannne	9
102	KeruNatsema	9
102	Powowowow	9
105	hm947	7
105	TheSecondLord	7
105	RobotMinion101	7
105	Jimi7hits	7
105	claivin	7
105	Kowcio_	7
111	KarlKaek	6
111	Historical_Sand	6
111	fw3xywashere	6
111	El_Jalapeno	6
111	lcvezra	6
111	BreadBacon	6
111	diggydog67	6
118	BodaciousCake	5
118	Prismyst	5
118	StinkyDiplomat	5
121	abramgray	4
121	Stynxy	4
121	luseis	4
121	weabis	4
121	LordSpeed37	4
126	Covalents	3
126	IAmTheWalrus910	3
126	erkada	3
129	Incinere	2
129	T045RTY	2
129	Lez_	2
129	noam464	2
129	IamCL4SSY	2
129	monky_irl	2
129	IdeallyGrey	2
129	SpacesickPrism	2
129	Steelynan	2
129	TechnoNinja64	2
139	beeperbeeper5	1
139	InfernalMound	1
139	ROY4LE	1
139	XboxPanda	1
139	groofles	1
139	fkGrim	1
139	Blu3beast	1
139	MightyWertu	1
139	SingedBread	1
139	stellarjay	1
