rank	username	minecraft:picked_up/minecraft:gold_ingot
1	Hyp3rion_	4557328
2	thewindmillman	1839165
3	EcksD	1794497
4	Jackattack53	982739
5	noam464	208456
6	mihimihimihi	173670
7	PigDab	93845
8	Mythic1130	90796
9	Spacewardharpy7	49483
10	ImpavidArcher	7923
11	Frozil20	7059
12	Blaiku	6333
13	eitanzaki	3415
14	lillips	3388
15	Creativebuilder2	3226
16	Di_infiri	3116
17	mwrty	3088
18	HellsSponge	2402
19	MightyWertu	1820
20	Huwulling	1716
21	GlitchyPlate810	1690
22	Kowcio_	1350
23	PhantomsGhost_	1278
24	YungMaki	1271
25	Groundler	1161
26	lordpipe	946
27	masskedman	931
28	Smoke____	902
29	Cowison	801
30	luseis	767
31	vandmanden	746
32	diggydog67	726
33	FreakGenius	665
34	beeperbeeper5	620
35	thescout7	601
36	ayamefag	597
37	12Magner05	495
38	Corbsman	479
39	Legendosh	457
40	MilleGrug	446
41	teslawolf38	439
42	Erinmor	432
43	ConnorDanky_	430
44	chipklip	422
44	TechnoNinja64	422
46	NATE_the_HALO	407
47	Lutres_Torane	397
48	bladeefan2009	385
49	cedric72	383
49	Eraxa	383
51	Kijiki	375
52	zToasty69z	372
53	Marbz_	370
53	fffMike	370
55	picardred	362
56	Sleepy_Time_	361
57	WyngGoy	346
58	lotarp	340
58	Werbe	340
60	Akoot_	332
61	YairZaki	331
62	TheSecondLord	328
63	MattieHD	316
64	MovingFish7	312
65	Yatitay	308
65	gusstationwerker	308
67	_Razaria	301
68	Tyrannosplart	295
68	AltnumberF4	295
70	kekhon	294
70	Ezekson	294
72	joethahobo	293
73	Winklepicker279	284
74	lorpus	282
75	starbits140	274
76	The_slideV3	269
77	Blackberry1310	266
78	Ev0luti0nz	260
79	Gundam_Steven	256
79	Whiterooster001	256
81	SvenskaHugo	254
82	set67	253
83	pintsizedrogue	248
83	Lord_Zacler	248
85	jewbacaman	240
86	Fullut	239
87	SlayerCrypto	238
87	Lord_Jord	238
89	Lez_	236
90	RefluxRatio	235
90	Racengan	235
92	_Virify_	229
93	jnp_gaming	228
94	TheDankPlatypus	219
95	wezzzi	211
96	Quotary	208
97	ApophisNova	206
97	yulgur1	206
97	MyNamaSheff	206
100	emrekn	201
100	NomadicRobin_	201
102	Groovy_MoonBird	199
102	rarrq	199
104	Guillemet	193
105	intropass	186
106	RoofTyler	185
107	NotMeanttoChange	183
107	SammiWolfGirl	183
109	RebelAndroid	180
110	r123moore	179
111	Cryptacity	177
112	El_Jalapeno	175
113	Huic_ostiarius	170
113	Luigipunch989	170
115	Jovaphobic	169
116	Smashic	164
117	Euclidoris	161
118	CadenSteele	157
119	DkansK	156
120	Xalithia	155
121	Elastiq	154
122	tuckerdoodle	151
123	Hisiste	149
124	RealGroot	148
125	Toriankel	145
126	Quaintster	143
127	xxPipperDipperxx	138
128	anbbang	135
129	Scathra	134
130	SaintJosie	130
131	shineh10	129
131	jcool7	129
133	Skomo	128
134	CliffEmAll	127
135	censorsheep	126
136	Kubelz	124
137	dudcreeper	121
137	hdtpm	121
139	Hoid_the_Roamer	119
139	Nicserso	119
141	surfinggiraffejp	118
142	Tolhart	117
142	MyNameIsJobo	117
144	Mahoose	116
144	Historical_Sand	116
146	Freeman666	115
147	ReverendSmith	114
147	Burge_r	114
149	Bandito_Roamer	113
150	ProfessorBee	112
151	Natty	110
152	Dogcorn69420	109
153	CollinMH06	106
153	WET_WET_WET	106
153	501g	106
153	laron58	106
157	TeenMomTom	104
158	Bumpy419	103
158	wwwwinnebagoooo	103
160	gcaisawesome	101
161	TheWildMateo	100
162	Slavisaa	99
163	Gryglu583	98
164	Saltymart	97
164	xzvu	97
166	EMC_	94
166	CoffeeNoir	94
166	whoaluv	94
166	Arceus1975	94
166	33sudo	94
171	Warlord324	93
171	Steelynan	93
173	thebaddruid	92
173	MyNameIsDakar	92
173	Powowowow	92
176	Maenara	91
176	claivin	91
178	NameGenerat0r	90
179	xPixelRainx	89
179	Rocco_Lane	89
181	diamondgolem35	87
181	Rich_Kat	87
181	andy_rex	87
181	h2p_emrld	87
185	hcb238	85
186	pappaberg	84
187	Flores991	83
187	LazySupport00	83
187	Kyrum2169	83
190	Skylord_Luke	82
190	BigCronkin	82
190	MakeHistory157	82
193	legal_tax_evader	81
193	gabriels543	81
193	Iamthejo	81
196	paranoid_plant	80
197	MonitorLizards	77
197	IamCL4SSY	77
197	00000000-0000-0000-0009-01ff0c3e5e4f	77
200	KingMatthew506	75
201	Airem_Core	74
201	Dusk_95	74
203	hm947	73
204	Apollo_993	72
204	BPTY4618	72
204	AuroraValkyrie	72
204	The_Fulgurator	72
204	LeeMcGee30	72
209	ROY4LE	71
209	SPUDonSTEROIDS	71
211	TJawesome09	70
212	6king6colt6	69
212	00000000-0000-0000-0009-01f073f37a91	69
214	burbankbuilder28	68
214	ZA07	68
214	FallenCorps	68
217	SyntheticSurgeon	67
217	fr0stss	67
217	eviltunix	67
220	Travasaur	66
220	Zedducius	66
220	Dyosy	66
220	epiksk8erduck	66
220	AuroraSkies	66
225	Thaumatarge	65
225	Winston_Ingram	65
227	Ssor69	64
227	Khelvoryk	64
227	MrExplorer	64
227	Doom_melon	64
227	Sheellky	64
227	HyperCave	64
227	BunkeredTree	64
227	Jiminbub	64
227	Typadopoulos	64
227	UCP_TheKingK	64
227	krutas2000	64
227	redbull52	64
227	jambo1234567	64
227	Jimb0nat0r	64
227	_Dri_	64
242	G1ldor	63
242	DanTheBuilderino	63
242	OG_Songsee	63
242	WYFYoyo	63
246	Merv__	62
246	bloodbiter	62
246	prizm_	62
249	JMK208	61
249	domagawha	61
249	ogoa	61
252	Z3braYTIL	60
252	ImDisconnected_	60
252	Zythose	60
255	T045RTY	59
255	ooga47	59
257	xorompole	58
258	tsohomie	56
258	GLLogan2	56
260	TheShyPig	55
260	SexcMf	55
262	Skippeh	54
263	AJplaysMC_	53
263	Rebytre	53
263	F_Uhre	53
266	fanofbands101	52
266	Cocoamallows	52
268	Kakolbus	51
268	ougstur	51
268	layabout100	51
268	Juh1s	51
272	ARandomHedge	50
272	bruh072	50
274	CrateOfBoxes	49
275	ThiccExotic	48
275	TheFlfthHorseman	48
275	o0z	48
275	boog4loo	48
275	Onennon	48
275	lcvezra	48
281	Killercatty78	47
281	Enderxz3	47
283	orxngejuice	46
284	Esme_1	45
284	KartivGal	45
286	mariominejedi	44
287	TheHarryMeister	43
287	_TCARREIRA_	43
289	Harotio	42
289	SmashingPump	42
289	fade_emerge78823	42
289	fluddd	42
289	2bolx_	42
294	djancak	41
295	Eraza	40
295	John6970	40
295	MaGro2010	40
295	BumbleBeever	40
295	TheDumbHuman	40
295	UrbanPlanningEx	40
