rank	username	minecraft:picked_up/minecraft:diamond_pickaxe
1	EcksD	651
2	FreakGenius	406
3	Werbe	270
4	Di_infiri	262
5	eitanzaki	223
6	Hyp3rion_	202
7	kekhon	170
8	groofles	169
9	TheShyPig	137
10	Akoot_	136
11	gcaisawesome	130
12	mimbo1211	107
13	lordpipe	99
14	Spacewardharpy7	95
15	xxPipperDipperxx	87
16	thescout7	82
17	ImpavidArcher	80
18	KingMatthew506	73
19	Groundler	66
20	joethahobo	65
21	Blaiku	64
22	TechnoNinja64	63
23	T045RTY	59
23	ConnorDanky_	59
25	mwrty	57
26	Kowcio_	56
27	SoosAmongus	55
27	Blu3beast	55
29	Yamdalorian	53
30	Corbsman	51
30	PlasticOtari	51
32	xzvu	50
33	HellsSponge	49
33	hermmm_	49
35	masskedman	48
36	Smashic	47
36	noam464	47
38	Iamthejo	45
39	pintsizedrogue	44
40	Groovy_MoonBird	42
41	MyNameIsJobo	41
41	annebolyn	41
43	oscminus	40
44	Mahoose	39
44	Lord_Jord	39
44	SammiWolfGirl	39
47	rarrq	37
47	Inbefour	37
49	Merv__	36
50	6king6colt6	35
50	12Magner05	35
50	El_Jalapeno	35
53	himak1	34
53	Hiryu27	34
53	Soplight	34
53	skitzxo	34
57	gaziter10	32
58	royal_2	31
58	ROY4LE	31
58	Ezekson	31
61	Blackberry1310	30
61	Jackattack53	30
61	AlexxO_o	30
64	Maenara	29
65	ShedJr_	28
65	WET_WET_WET	28
65	monky_irl	28
68	Saucepeh	27
68	cedric72	27
68	Kura2218	27
68	YungMaki	27
68	djancak	27
73	__tomato	26
74	MattieHD	25
74	WyngGoy	25
74	PortlyPete69	25
74	Zoeyfortnite	25
78	77Holly7	24
78	Sral7	24
80	Comma__	23
80	GravitySaint	23
80	Njensen7	23
83	Bandito_Roamer	22
83	ApophisNova	22
83	MyNamaSheff	22
83	h2p_emrld	22
87	Frozil20	21
87	I_Am_Mushkin	21
87	TheSecondLord	21
87	_Dean_123	21
87	yheece	21
87	thewindmillman	21
87	Deathkob	21
87	jcool7	21
87	OfficerAnvil	21
96	KarlKaek	20
96	Whiterooster001	20
96	XboxPanda	20
96	Cyntrical	20
96	Warlord324	20
101	luseis	19
101	stavgod	19
101	jnp_gaming	19
104	titanlax	18
104	SellyZ	18
104	Bumpy419	18
104	RebytreGT	18
104	PaperCanvas	18
104	NameGenerat0r	18
104	censorsheep	18
104	Xclax101	18
104	cog	18
104	BumbleBeever	18
104	_3Stump_	18
104	Legendosh	18
116	NatalieTW	17
