rank	username	minecraft:picked_up/minecraft:gray_stained_glass_pane
1	PlasticOtari	497
2	Arceus1975	411
3	EMC_	305
4	eitanzaki	275
5	joethahobo	216
6	El_Jalapeno	213
7	obzii	198
8	Merv__	154
9	beeperbeeper5	148
10	Chromary	139
11	Blaiku	132
12	Werbe	127
13	CLG_Kata	101
14	Mahoose	95
14	ApophisNova	95
16	TheSecondLord	94
17	noam464	93
18	Eraxa	77
19	AdmiralSmoke	73
20	kekhon	70
21	Ezekson	49
22	Groundler	44
23	MyNamaSheff	36
24	Manaateee	27
25	Di_infiri	24
26	ImpavidArcher	23
27	500am	20
27	Soplight	20
29	Blackberry1310	19
30	lcvezra	16
31	pixelviolin	15
32	Spacewardharpy7	13
33	ConnorDanky_	12
34	JETrotter	11
34	Skylord_Luke	11
36	_Huge_Male_	10
36	SammiWolfGirl	10
36	KingMatthew506	10
39	Rebytre	8
39	cedric72	8
39	Akoot_	8
39	XxCookiequeenxX	8
39	HellsSponge	8
44	pintsizedrogue	7
45	Snowflowe	6
45	jcool7	6
47	Mattesco	5
47	SkinnyBois	5
49	r123moore	4
49	TheShyPig	4
49	Fuad_R	4
52	Groovy_MoonBird	3
52	Frozil20	3
52	luseis	3
52	Hermanni__	3
56	ECstardust	2
56	livingdaydreams	2
56	Krowuss	2
56	ScootOfBoot	2
56	FreakGenius	2
56	Nycteus_	2
56	cog	2
56	TheTommyGun63	2
56	_Mythic____	2
56	Enderxz3	2
66	PazinGaming	1
66	MoistMicrowave	1
66	Historical_Sand	1
66	bloodbiter	1
66	Jackattack53	1
66	ooga47	1
66	NomadicRobin_	1
66	StinkyDiplomat	1
66	Steelynan	1
