rank	username	minecraft:picked_up/minecraft:cooked_salmon
1	kekhon	501
2	Blackberry1310	375
3	Akoot_	369
4	jnp_gaming	351
5	rarrq	292
6	MyNameIsJobo	264
7	ssniffles	256
8	__tomato	215
9	RatatJuice	162
9	shadowthemonkey	162
11	_TCARREIRA_	161
12	Rumpletaezer	150
13	JayToe	148
14	Soplight	143
15	NomadicRobin_	141
16	LordSpeed37	135
17	Donutt	129
18	Kyrum2169	117
19	Bumpy419	113
20	Jovaphobic	108
21	luseis	105
22	AdmiralSmoke	104
23	Groovy_MoonBird	103
24	Steelynan	91
25	Bandito_Roamer	90
26	legal_tax_evader	86
27	SuperPooch06	84
28	RobotMinion101	81
29	Mahoose	79
30	DarlaMeow	75
31	censorsheep	72
32	Saltymart	71
33	FreakGenius	70
33	TechnoNinja64	70
35	TheShyPig	68
36	_AAZAR	64
37	Blaiku	63
38	Mewar	62
39	ImNotYuqii	58
40	wTXop	57
41	NotP0tato	53
42	_Huge_Male_	52
42	YungMaki	52
44	MitexFTW	49
45	KarlKaek	48
46	oscminus	47
46	claivin	47
48	Frozil20	46
48	CliffEmAll	46
48	mwrty	46
48	Hyp3rion_	46
52	Blu3beast	44
53	ayamefag	43
54	beeperbeeper5	42
55	SteveCraftBlocks	41
56	ooga47	39
57	Snowflowe	37
57	theofiel	37
59	jcool7	36
60	Eraxa	34
60	skrongus	34
62	ewsophie	32
62	TheTrueClipse	32
62	OfficerAnvil	32
65	pintsizedrogue	31
66	GirlFrick3r	30
66	djancak	30
68	eitanzaki	29
69	Tiberonus	28
69	ApophisNova	28
69	audiocracked	28
69	Tyrannosplart	28
69	MyNamaSheff	28
74	Felenov	27
74	Leithz6	27
76	Di_infiri	26
76	Inconvenionce	26
78	PhantomsGhost_	24
78	Natty	24
78	Spenduh	24
81	jimintyy	23
82	Apollo_993	22
82	dragonwarrior206	22
82	The_Fulgurator	22
82	EveryonesUncle	22
82	Airem_Core	22
87	tramizu	21
87	lcvezra	21
87	Ezekson	21
90	ratglock	20
90	F_Uhre	20
90	SaintJosie	20
93	Paleshield	19
93	GingerNeutron	19
93	thewindmillman	19
93	ProbsNotNova	19
93	Legendosh	19
98	Kawaii_Haxor_L	18
99	Reamdin	17
99	24dk	17
99	Barlycorn	17
99	xzvu	17
99	PortlyPete69	17
99	h2p_emrld	17
105	Myrosia	16
105	RustyKedel	16
105	Kura2218	16
105	pixelviolin	16
109	Merv__	15
109	Ozixar	15
109	2Stout	15
109	ConnorDanky_	15
109	Enderxz3	15
114	heckface	14
114	xxPipperDipperxx	14
114	stuy9	14
114	BumbleBeever	14
114	SquidZooka2	14
114	non089	14
120	_Nuf	13
120	Kowcio_	13
120	mountaingirl311	13
123	joethahobo	12
123	TheDiamondCG	12
123	redikul	12
123	Kubelz	12
123	Deathkob	12
123	StinkyDiplomat	12
123	anbbang	12
123	Jimb0nat0r	12
123	WYFYoyo	12
132	RebelAndroid	11
132	Blamphe	11
134	Dali1465	10
134	RyuNeko932000	10
134	marumochis	10
134	sp00ky_ghost977	10
134	JungeSchnauzer	10
134	SilentKarma	10
140	youhjjhhhjj	9
140	Lez_	9
140	Jackattack53	9
140	Manaateee	9
140	MineMaster0012	9
140	LeeMcGee30	9
140	Skippeh	9
147	oGerard	8
147	jacxhadow	8
147	thescout7	8
147	burbankbuilder28	8
147	Kynigito	8
147	Kim_Jong_eel	8
147	ILoveCarrot	8
147	HellsSponge	8
155	ssleepless	7
155	corvidpartyfor6	7
155	himak1	7
155	ogoa	7
155	Racengan	7
155	MasterOwen1	7
161	TheBiggestFeller	6
161	Cowison	6
161	diamondgolem35	6
161	Butternutsquatch	6
161	elmer1234	6
161	TheSecondLord	6
161	ARandomHedge	6
161	dotterel2	6
161	XxCookiequeenxX	6
161	bluefragmentt	6
161	xX_Stalin69_Xx	6
161	Powowowow	6
161	Northernrabbit	6
161	diggydog67	6
161	00000000-0000-0000-0009-01ff0c3e5e4f	6
176	heysushii	5
176	Killercatty78	5
176	_Minnty_	5
176	Chromary	5
176	selectrix	5
176	NormanFetus	5
176	TheSeismicDuck	5
176	THEKINGLyric10	5
176	somegirl12_	5
176	UCP_TheKingK	5
176	NATE_the_HALO	5
187	NatalieTW	4
