rank	username	minecraft:picked_up/minecraft:sugar_cane
1	noam464	258344
2	Blaiku	162809
3	eitanzaki	150956
4	HellsSponge	121773
5	fffMike	45982
6	Hyp3rion_	33498
7	Bumpy419	26018
8	joethahobo	24295
9	Werbe	20601
10	Snowflowe	18297
11	Di_infiri	17980
12	NoChumpChange	17889
13	mwrty	17659
14	TheShyPig	16650
15	Freak_Genius	14279
16	Njensen7	14118
17	Frxnkz	13206
18	diggydog67	12165
19	EveryonesUncle	12002
20	Rich_Kat	11871
21	Smoke____	11643
22	EcksD	11359
23	fred870d	11152
24	thewindmillman	10677
25	El_Jalapeno	9770
26	soundad	9623
27	vandmanden	9568
28	Prodiginus	9091
29	TheDankPlatypus	8466
30	Blackberry1310	8293
31	PhantomsGhost_	7707
32	Ryker	7460
33	Dogcorn69420	7362
34	kekhon	7356
35	thgrocks	7151
36	tuckerdoodle	7131
37	youhjjhhhjj	6973
38	TechnoNinja64	6913
39	Spacewardharpy7	6564
40	pintsizedrogue	6528
41	KingFaenor	6375
42	JayToe	6166
43	500am	6143
44	beeperbeeper5	6091
45	Katsuragi0243218	5929
46	Hisiste	5444
47	Lord_Jord	5428
48	masskedman	5384
49	Kim_Jong_eel	5278
50	ToastedGamingYT	5203
51	fluddd	5013
52	Kateesaur	4966
53	Soplight	4926
54	WET_WET_WET	4734
55	sufjanlover	4686
56	Legendosh	4623
57	ThePoliteG	4542
58	EMC_	4450
59	jnp_gaming	4410
60	CoffeeNoir	4392
61	Spenduh	4364
62	Hermanni__	4292
63	Awyrlas	4152
64	Zoeyfortnite	4121
65	RoskobiOne	4088
66	Rumpletaezer	4037
67	Xclax101	3952
68	Akoot_	3892
69	_Nuf	3731
70	TheSecondLord	3661
71	SaucyDark	3623
72	thescout7	3606
73	MustaLoordi	3591
74	ROY4LE	3534
75	Vizzoid	3303
76	q_wq	3292
77	_Boipl_	3286
78	wobn	3229
79	SlayerCrypto	3163
80	PigDab	3086
81	lordpipe	3004
82	Hyugo	2887
83	CharlieButt	2827
84	ProfessorBee	2794
85	Touched_Bread	2774
86	Frozil12	2773
87	DanTheBuilderino	2763
88	_Karmaa	2703
89	Merv__	2684
90	Jackattack53	2655
91	Winklepicker279	2652
92	Ezekson	2651
93	m_be9	2643
94	PlzNoBM	2627
95	Truckoss	2596
96	JEWISHBadenBeele	2585
97	bloodbiter	2571
98	The11thDoctor	2556
99	stahouo	2538
100	lillips	2527
101	eviltunix	2522
102	set67	2505
103	SuperPooch06	2503
104	chipklip	2501
105	Fullut	2469
106	Sral7	2400
107	Jovaphobic	2343
108	Mahoose	2324
109	jacxhadow	2321
110	KarlKaek	2319
111	VentiHilton	2315
112	Sky_light_KING	2300
113	6king6colt6	2261
114	Comma__	2259
115	SammiWolfGirl	2247
116	Steelynan	2229
117	MeetTheWollo	2225
118	Smashic	2205
119	PegLegPete93	2181
120	Rebytre	2171
121	Tolhart	2144
122	Enderslayerxz3	2136
123	ImDisconnected_	2088
124	Groovy_MoonBird	2076
125	claivin	2070
126	Lowjinx	2068
127	__tomato	2064
128	Eraxa	2036
129	Nicserso	2024
130	Inbefour	1991
131	djancak	1941
132	MightyWertu	1900
133	Kakolbus	1893
134	xxPipperDipperxx	1877
135	Blu3beast	1876
136	EcksDofficial	1866
137	PeteO1995	1854
138	M_Patata	1818
138	MasterNueve	1818
138	PortlyPete69	1818
141	I_Am_Mushkin	1756
142	RebelAndroid	1751
143	Arceus1975	1748
144	RadarHz	1746
145	SvenskaHugo	1645
146	Bolete	1633
147	loveseeker	1614
148	MAns_44	1613
149	Powowowow	1612
150	FlashMigma	1609
151	burbankbuilder28	1604
152	Bandito_Roamer	1589
153	FishisTTV	1568
154	ExtraDumb	1543
155	Jimi7hits	1538
156	lcvezra	1537
157	NameGenerat0r	1517
158	himak1	1495
159	1442	1492
160	KGTV	1485
161	Barlycorn	1484
162	UrbanPlanner1978	1479
163	The_slideV3	1453
164	301851	1437
165	Harotio	1431
166	Racengan	1430
167	Negriuke	1424
168	trexgb	1416
169	Chromary	1396
170	OfficerAnvil	1372
171	YungMaki	1365
172	PlasticOtari	1359
173	CollinMH06	1338
174	_Virify_	1323
175	RobotMinion101	1320
176	crying_wolf_13	1312
177	livingdaydreams	1305
178	CliffEmAll	1296
179	Skippeh	1292
180	Zaridey	1286
181	fanofbands101	1275
182	RodSerlingCringe	1263
183	Fuhrer_Teemo	1262
184	Optiprimus	1239
185	Dedalus36	1236
186	Wolverine4302	1231
187	Wooptey	1228
188	tsitrawhy	1225
189	Soap_Bender	1224
190	Onennon	1206
191	Euclidoris	1168
192	MonitorLizards	1147
193	Airem_Core	1134
194	Skylord_Luke	1131
195	mobunni	1129
196	TheTrueClipse	1126
196	Steven1282598	1126
198	bloomkieren	1125
199	UncreativeArtist	1115
199	Quotary	1115
201	Ailmast	1107
202	starbits140	1106
203	jcool7	1087
204	titanlax	1068
205	Zythose	1063
206	SLASHZEERA	1062
207	emrekn	1060
208	Darkgon	1059
209	gaziter10	1045
210	ayamefag	1024
211	ShedJr_	1023
212	Vorlice	1021
213	Hiryu27	1005
214	Bobby808	996
214	DeGodz4life	996
