rank	username	minecraft:picked_up/minecraft:smoker
1	MightyWertu	111
2	HellsSponge	104
3	Werbe	74
4	pintsizedrogue	68
5	KarlKaek	64
6	PlasticOtari	60
7	kekhon	57
8	500am	55
9	Akoot_	45
10	Lez_	44
10	Fullut	44
12	Comma__	41
13	noam464	37
14	FreakGenius	33
15	Luigipunch989	30
16	luseis	28
17	ROY4LE	26
18	eviltunix	25
18	MyNameIsJobo	25
18	Burge_r	25
21	Manaateee	23
22	AuroraValkyrie	22
22	TheSecondLord	22
22	thewindmillman	22
25	Blackberry1310	21
26	prizm_	20
26	Blaiku	20
28	yheece	16
28	Shogunite	16
30	youhjjhhhjj	15
30	Jiminbub	15
32	Ssor69	14
32	Vizzoid	14
32	pappaberg	14
32	NameGenerat0r	14
36	joethahobo	13
36	SnowyAvi	13
36	IamCL4SSY	13
36	Kubeusz2010	13
40	H72l9w	12
40	Di_infiri	12
40	Lutres_	12
40	Kowcio_	12
40	LilcoinXX	12
40	Soplight	12
46	Onennon	11
46	SvenskaHugo	11
46	FadedSpade82	11
46	DkansK	11
50	Mr_Byzantine	10
50	SaucyDark	10
50	Huwulling	10
50	bloodbiter	10
50	jewbacaman	10
50	EfficientC52	10
50	brofrickcheaters	10
57	Merv__	9
57	Megarboh	9
57	Snowflowe	9
57	ItsAki_	9
57	Xclax101	9
57	Spacewardharpy7	9
57	_Meow_Mix	9
57	Airem_Core	9
57	Ze_BaronKrigler	9
57	Eraxa	9
57	MineMaster0012	9
57	obzii	9
57	Hermanni__	9
57	Ezekson	9
71	H0UNDFRMH3LL	8
71	Bandito_Roamer	8
71	Cowison	8
71	jessewegottacook	8
71	Historical_Sand	8
71	rarrq	8
71	Paintz	8
71	Hyp3rion_	8
71	ApophisNova	8
71	Jimi7hits	8
71	wobn	8
71	fluddd	8
71	layabout100	8
71	tsitrawhy	8
71	MyNamaSheff	8
71	Legendosh	8
71	jnp_gaming	8
88	Jovaphobic	7
88	fanofbands101	7
88	Mahoose	7
88	ITDV	7
88	Crowman1	7
88	m_be9	7
88	EveryonesUncle	7
88	Steelynan	7
88	TheOuterCore	7
97	Louiis123	6
97	Napoleonpancake	6
97	Euclidoris	6
97	Prodiginus	6
97	titanlax	6
97	Malorn_Aetherius	6
97	Jakobo1337	6
97	Guillemet	6
97	UncreativeArtist	6
97	TheShyPig	6
97	Drewen24	6
97	Tyrannosplart	6
97	Groundler	6
97	xolstoi	6
97	AdmiralSmoke	6
112	PhantomsGhost_	5
112	Gemstuff	5
112	TooManyDuck	5
112	fr0stss	5
112	ChampPog_	5
112	gilesmcriles	5
112	breadbowlgamer	5
112	hanaryheatwave	5
112	The_Cruncy	5
112	Project_MKBRD	5
112	MonitorLizards	5
112	Lord_Zacler	5
112	Meatlaugh	5
112	YungWali	5
112	_Karmaa	5
112	MAns_44	5
112	NATE_the_HALO	5
112	fffMike	5
112	KingMatthew506	5
112	EngagedGrub41	5
112	Enderxz3	5
133	Groovy_MoonBird	4
133	elicobnoah	4
133	diamondgolem35	4
133	Raltemoxitonica	4
133	Zlatovlas	4
133	TheFlfthHorseman	4
133	Cryptacity	4
133	Gingayy	4
133	himak1	4
133	xxPipperDipperxx	4
133	NoxxxxiS	4
133	SpicyMeatballs	4
133	Touched_Bread	4
133	TheDankPlatypus	4
133	trixterrx	4
133	whoaluv	4
133	Arceus1975	4
133	seramalen	4
