rank	username	minecraft:picked_up/minecraft:dried_kelp
1	Hyp3rion_	95982
2	thewindmillman	77828
3	Spacewardharpy7	11307
4	SlayerCrypto	4805
5	bigstankyy	4719
6	non089	1881
7	calamariclam_I	1553
8	EcksD	1544
9	Ezekson	1248
10	KingMatthew506	983
11	Manaateee	909
12	H72l9w	832
13	Blaiku	608
14	TheSecondLord	598
15	MoistMicrowave	574
16	himak1	527
17	Skippeh	396
18	thescout7	381
19	Legendosh	379
20	Blackberry1310	352
21	kekhon	321
22	Mahoose	298
23	AdmiralSmoke	252
24	ooga47	206
25	SomeWanderer	200
26	_Karmaa	193
27	Groovy_MoonBird	175
27	MightyWertu	175
29	TheShyPig	170
30	rarrq	162
31	wiqor	128
32	BPTY4618	126
33	TechnoNinja64	125
34	LetsDoItLive	120
35	Powowowow	118
36	Jackattack53	112
37	Forcolp	110
38	Dogcorn69420	97
39	ShedJr_	91
40	picardred	89
41	xzvu	88
42	valiSW	87
43	ConnorDanky_	79
44	Jimi7hits	76
45	Fuhrer_Teemo	74
46	Snowflowe	70
47	oscminus	69
47	claivin	69
49	Frozil20	65
49	El_Jalapeno	65
49	Steelynan	65
52	Houstonion	64
52	Xalithia	64
52	Moetis	64
52	Drawgirl	64
52	Kferno	64
57	PhantomsGhost_	62
57	skrongus	62
59	Nicky_H225	61
60	EngagedGrub41	60
61	Kamflame10	55
61	Cambo5000	55
63	angelinaur	53
63	adeptius	53
65	Comma__	52
66	TheSeismicDuck	49
67	JETrotter	46
68	Charmyboi	43
69	Isaac70096	42
70	BumbleBeever	36
70	lcvezra	36
72	Warlord324	34
73	MadBroMad	32
73	sufjanlover	32
73	FreakGenius	32
76	pintsizedrogue	31
76	Euclidoris	31
76	Optiprimus	31
79	jnp_gaming	29
80	ImpavidArcher	28
80	Hamsanders	28
80	eviltunix	28
80	Alfman007	28
84	Di_infiri	27
84	Zythose	27
86	eitanzaki	26
86	Quaintster	26
88	Lez_	25
89	FelixPSY375	24
90	MonitorLizards	23
90	robotemo	23
92	CalebDHawk	22
93	jcool7	20
93	Nicserso	20
95	gren_ben	18
96	Mitchasnipe	16
96	Leithz6	16
96	Eraxa	16
96	_TCARREIRA_	16
100	beeperbeeper5	15
100	Lord_Jord	15
100	07shiny	15
103	RadarHz	13
104	Fullut	12
104	E775	12
104	Kubeusz2010	12
107	djancak	11
108	DemTechAlpha	10
108	fluddd	10
110	Dragonfest	9
111	joethahobo	8
111	popcanter	8
111	EveryonesUncle	8
111	lordpipe	8
115	SoosAmongus	7
115	MattieHD	7
115	Mattesco	7
115	AlexxO_o	7
115	OLookItsAnxiety	7
115	NoChumpChange	7
115	Xclax101	7
122	Ssor69	6
122	Betaz	6
122	Auseawesome	6
122	ProfessorBee	6
122	SteveCraftBlocks	6
122	SuperPooch06	6
122	RobotMinion101	6
122	The_Cruncy	6
122	wezzzi	6
122	Juh1s	6
132	sandmire	5
132	Meatlaugh	5
132	DarlaMeow	5
132	MineMaster0012	5
136	KarlKaek	4
136	Arceus1975	4
136	Corbsman	4
136	Ghemmah	4
136	YungMaki	4
136	Iamthejo	4
136	AstroLightz_	4
143	rats_life	3
143	youhjjhhhjj	3
143	_Dean_123	3
143	ROY4LE	3
143	censorsheep	3
143	ComplexSquirrel	3
143	Kowcio_	3
143	PlasticOtari	3
151	ECstardust	2
151	500am	2
151	Skylord_Luke	2
151	wobn	2
151	MS_Pryxx	2
151	_Ruzeeq_	2
151	_Mythic____	2
151	Hermanni__	2
159	Jovaphobic	1
159	heysushii	1
159	Elprone266	1
159	PazinGaming	1
159	Hpdinosaur	1
159	Alteriity	1
159	InfernalMound	1
159	lunathelemon	1
159	noam464	1
159	Matek_	1
159	ehunt54	1
159	shadowthemonkey	1
159	TakeThis2UrGrave	1
159	Werbe	1
159	LibertyMutual	1
159	Fuad_R	1
159	splatterhawk	1
159	Ma_name_alex	1
159	MADDMASTA	1
159	Soplight	1
159	SSytex_X	1
