rank	username	minecraft:picked_up/minecraft:lime_dye
1	thewindmillman	507099
2	Spacewardharpy7	3520
3	noam464	1878
4	oxfordschool	971
5	Onennon	384
6	Werbe	363
7	eitanzaki	169
8	jnp_gaming	155
9	EcksD	126
10	Blaiku	110
11	SuperPooch06	70
12	gcaisawesome	64
12	Chromary	64
12	NameGenerat0r	64
15	stellarjay	63
16	Sky_light_KING	62
17	titanlax	57
17	SammiWolfGirl	57
19	Legendosh	40
20	_Virify_	39
21	Kokeech	33
22	El_Jalapeno	25
23	MyNameIsJobo	24
23	Jackattack53	24
23	sxc_	24
26	KG1999	22
27	EMC_	20
28	Akoot_	17
29	ooga47	16
30	mwrty	15
30	Kakolbus	15
32	Inbefour	13
33	GravitySaint	10
34	Hyp3rion_	8
34	claivin	8
36	T045RTY	7
36	monky_irl	7
36	stavgod	7
39	kekhon	6
39	NomadicRobin_	6
41	CliffEmAll	4
41	HellsSponge	4
41	Freak_Genius	4
41	Quotary	4
45	pintsizedrogue	3
45	Wooptey	3
45	djancak	3
45	jcool7	3
45	Enderslayerxz3	3
50	Mahoose	2
50	oreee	2
50	Bumpy419	2
50	Maenara	2
50	420BreadLizard	2
50	DarlaMeow	2
50	Blu3beast	2
50	Kowcio_	2
50	Smoke____	2
59	ssleepless	1
59	Ryker	1
59	beeperbeeper5	1
59	Euclidoris	1
59	SDMNAEK	1
59	Fullut	1
59	Xalithia	1
59	Marbz_	1
59	gabriels543	1
59	Snowflowe	1
59	Zythose	1
59	MangoTheFish	1
59	The11thDoctor	1
59	Kyrum2169	1
59	stahouo	1
59	Eczbek	1
59	laron58	1
59	RoboTramp7865	1
59	TechnoNinja64	1
