rank	username	minecraft:picked_up/minecraft:stripped_bamboo_block
1	Mattesco	1290
2	milltesco	240
3	Cache3	227
4	Enderxz3	135
5	Yamdalorian	101
6	Buuck_	84
7	Mr_Byzantine	78
8	Niklas20114552	22
9	Hoid_the_Roamer	17
10	Bambuino	12
10	Jimb0nat0r	12
12	Hahaa_0	10
13	pixelviolin	8
14	Merv__	7
14	Mr_Sun15	7
16	_witch_craft_	6
17	craaaash	5
17	Manaateee	5
19	MattieHD	4
20	robonya_	3
21	nev_s	2
21	TheSecondLord	2
21	Hyp3rion_	2
24	j5ylim	1
24	Napoleonpancake	1
24	NutellaPenguinz	1
24	cuddlyMonster	1
24	StarCookiees_	1
24	Kowcio_	1
