rank	username	minecraft:picked_up/minecraft:nether_wart
1	thewindmillman	79316
2	TechnoNinja64	25048
3	Snowflowe	24819
4	MilleGrug	24328
5	lordpipe	24099
6	Legendosh	24005
7	YungMaki	16712
8	TheShyPig	14252
9	Freak_Genius	12948
10	ApophisNova	11417
10	MyNamaSheff	11417
12	noam464	9106
13	himak1	8239
14	kekhon	7959
15	Hyp3rion_	6391
16	EMC_	6108
17	ooga47	5094
18	eiC_	4967
19	Smoke____	4674
20	pintsizedrogue	4418
21	Xclax101	3682
22	eitanzaki	3618
23	bloodbiter	3603
24	m_be9	3496
25	Lord_Jord	3305
26	Vorlice	3141
27	PlasticOtari	3125
28	beeperbeeper5	3097
29	ProfessorBee	3018
30	El_Jalapeno	2931
31	Arceus1975	2791
32	Soplight	2319
33	HellsSponge	2283
34	Kakolbus	2246
35	Ezekson	2120
36	oxfordschool	2086
37	DarlaMeow	2044
38	Jiminie	2012
39	ZeroKraken	1854
40	fluddd	1840
41	rarrq	1839
42	RoskobiOne	1785
43	EcksD	1780
44	lizardfightclub	1714
45	Blu3beast	1550
46	6king6colt6	1536
47	claivin	1520
48	fallingemma	1411
49	Hoid_the_Roamer	1389
50	Eraxa	1345
51	Di_infiri	1334
52	TheSecondLord	1277
53	mwrty	1274
54	SammiWolfGirl	1273
55	Marbz_	1239
56	PigDab	1224
57	Bandito_Roamer	1221
58	Rumpletaezer	1167
59	Xalithia	1152
60	Merv__	1129
61	Inbefour	1056
62	Darkgon	1036
63	Lowjinx	967
64	Blackberry1310	942
65	TheOnlyRake	938
66	KomputerDude	873
67	OfficerAnvil	871
68	Dogcorn69420	815
69	Sral7	793
70	Blaiku	791
71	ROY4LE	775
72	Hisiste	765
73	Maenara	743
74	EveryonesUncle	704
75	_Nuf	685
76	brofrickcheaters	674
77	Akoot_	672
78	joethahobo	667
78	Winston_Ingram	667
80	Eczbek	659
81	eviltunix	630
82	Awyrlas	629
83	RobotMinion101	598
84	Jovaphobic	582
85	BuildTheGondola	577
86	Nicserso	576
87	Luigipunch989	572
88	Inchef	569
89	wezzzi	560
90	Hiryu27	554
91	Njensen7	545
92	_AAZAR	533
93	EcksDofficial	524
94	JayToe	522
95	Jackattack53	492
96	set67	491
97	Racengan	490
98	xxPipperDipperxx	489
99	Fullut	477
99	DScatgirls	477
101	crying_wolf_13	471
102	Steelynan	467
103	ToastedGamingYT	465
103	ori0le	465
105	Chazinat0r	459
106	stavgod	439
107	PhantomsGhost_	433
108	Cryptacity	418
109	UCP_TheKingK	415
110	Ssor69	404
111	AlphaWolfPlaysMC	395
112	IEatBooty	393
113	WET_WET_WET	385
114	RebelAndroid	372
115	FirsTimeGamingTV	370
116	djancak	359
117	2blox	352
118	Lutres_Torane	351
119	dudcreeper	344
120	sxc_	342
121	MSK__	338
122	Fildyr	323
123	Smashic	318
124	CaptainDeadBread	314
124	FishisTTV	314
126	Paintz	313
127	Auseawesome	312
128	Kynigito	311
129	master9067	307
130	CoffeeNoir	305
131	SuperPooch06	303
132	Houstonion	301
132	StinkyDiplomat	301
134	egglapras	300
135	ItsAki_	299
135	monky_irl	299
137	H72l9w	294
138	awesomeoneme	293
138	The_slideV3	293
140	Ardennes	292
141	Queen_Jalapeno	289
142	mawileite	286
143	DeGodz4life	282
144	Ailmast	279
145	Zythose	276
146	Myszoaz	273
147	chipklip	272
148	Euclidoris	271
149	Paint	263
149	kinas45y5	263
151	Mahoose	261
152	SoftSix	256
153	loveseeker	248
154	ratglock	247
155	surfinggiraffejp	234
156	Quotary	233
157	Zetsey	219
158	Groovy_MoonBird	213
159	33sudo	206
160	Fuhrer_Teemo	204
161	TooManyDuck	202
162	youhjjhhhjj	199
163	CliffEmAll	198
164	SingedBread	192
165	MattieHD	191
166	wiqor	188
166	RadarHz	188
168	Sheldor097	186
169	UncreativeArtist	179
169	_TCARREIRA_	179
171	LetsDoItLive	173
172	diamondgolem35	172
172	fkGrim	172
174	MAns_44	171
175	gabriels543	169
175	SSytex_X	169
177	RodSerlingCringe	167
178	UncleDanDan	166
179	Barlycorn	164
180	Sky_light_KING	163
181	MyNameIsDakar	157
182	anbbang	155
183	500am	152
184	__tomato	151
185	Ender_Souls	149
186	Leyna3	147
187	thescout7	146
188	milkedit	145
189	Batoser	140
190	301851	138
190	Skippeh	138
192	Donutt	134
193	Prismyst	133
193	ehunt54	133
195	pixelviolin	132
196	AuroraSkies	128
196	KatieBelle04	128
198	Kubelz	127
198	masskedman	127
200	ShedJr_	125
201	IWorkAtIkea	124
202	JingleLizi	123
202	Ryker	123
202	zorin123	123
202	Quaintster	123
206	livingdaydreams	120
207	sp00ky_ghost977	119
208	popcanter	118
208	mobunni	118
210	Quincannon	117
211	Spacewardharpy7	116
212	Unitas_isa	115
212	DirtyDalle	115
212	1442	115
215	MissCeleste7	113
216	ivorico	112
217	Tolhart	109
217	drumine	109
217	Kijiki	109
220	DarkFisto	108
221	GoofyBread	105
221	Enderslayerxz3	105
223	Cerbric	104
224	Moofyman	102
224	Kowcio_	102
226	Syropatathe	101
226	NotMeowMix	101
228	ABUSNA1996	100
229	Stynxy	99
229	KnightmareD	99
231	Digcove	97
231	Tmb1	97
233	Kouridragon	96
233	Jiminbub	96
235	GravitySaint	94
236	Cowison	93
237	h2p_emrld	91
238	MrExplorer	90
238	Segotep999	90
240	Sleek_Storm_721	89
241	audiocracked	88
242	AnnieBathory	87
243	Guillemet	86
243	Apicomplexa	86
245	stijnbro	85
246	HolyVenom	84
247	MyNameIsJobo	83
248	Professor_x8	81
249	SvenskaHugo	80
250	120s	79
250	Yahrto	79
252	4774	78
253	fred870d	77
253	Hermanni__	77
255	Lord_Lollo	76
256	M_Patata	75
256	cog	75
258	KarlKaek	74
258	_Dean_123	74
258	Groundler	74
258	TheALV	74
262	censorsheep	73
263	jnp_gaming	72
264	MasterNueve	70
265	AvaRosey	69
266	tobinwilliams	68
267	Kubeusz2010	67
267	laron58	67
269	tartanboy	66
270	SlowMoNinja1994	65
270	SquashyHydra	65
270	5712	65
273	12Magner05	64
273	beeleg	64
273	SeverianTheLame	64
273	LibertyMutual	64
273	BreadBacon	64
278	Huwulling	63
278	Onennon	63
280	selectrix	62
280	Dusk_95	62
282	LeeMcGee30	61
283	Alteriity	60
283	shyshyannne	60
285	Historical_Sand	59
286	dabloons	57
286	Covalents	57
286	AJplaysMC_	57
286	_8man	57
290	tramizu	56
290	Nyxiom_	56
290	Warlord324	56
290	Kyrum2169	56
