rank	username	minecraft:picked_up/minecraft:coal
1	thewindmillman	899641
2	Spacewardharpy7	316474
3	pintsizedrogue	95614
4	TheShyPig	56724
5	gcaisawesome	44408
6	joethahobo	39730
7	HellsSponge	38841
8	EcksD	37945
9	noam464	37077
10	Smoke____	34674
11	livingdaydreams	33313
12	m_be9	23666
13	PigDab	22545
14	yulgur1	22381
15	lordpipe	22344
16	kekhon	20961
17	Zythose	20482
18	Natofthese	20400
19	MyNameIsJobo	19700
20	Enderslayerxz3	19533
21	Blaiku	19463
22	Werbe	18776
23	AssEatrAndLicker	18435
24	EMC_	18391
25	Snowflowe	18386
26	Akoot_	18184
27	Di_infiri	17507
28	Mewar	17200
29	EveryonesUncle	16573
30	masskedman	16516
31	vandmanden	15902
32	Kakolbus	15893
33	Frozil12	15344
34	T045RTY	15237
35	TechnoNinja64	15206
36	Hyp3rion_	14689
37	Ecplosive	14417
38	Bandito_Roamer	14245
39	censorsheep	14147
40	Legendosh	13997
41	Bumpy419	13991
42	sebastiensaborio	13929
43	mwrty	13440
44	Corbsman	13313
45	Miko_Fullbuster	13269
46	El_Jalapeno	13132
47	PlasticOtari	13118
48	rarrq	13052
49	Windo_licker	13032
50	AuroraValkyrie	13026
51	Blackberry1310	12977
52	oxfordschool	12972
53	YungMaki	12940
54	TheThomas69	12672
55	Freak_Genius	12450
56	beeperbeeper5	11765
57	Inbefour	11485
58	PhantomsGhost_	11443
59	ApophisNova	11401
59	MyNamaSheff	11401
61	BobDeBouwer1337	11385
62	Malorn_Aetherius	11121
63	sp00ky_ghost977	11059
64	ROY4LE	11052
65	eviltunix	10921
66	obzii	10884
67	jnp_gaming	10792
68	Sral7	10786
69	Ezekson	10740
70	500am	10682
71	cedric72	10631
72	Xclax101	10263
73	Rumpletaezer	9991
74	FallenCorps	9918
75	Cowison	9861
76	Njensen7	9683
77	UncreativeArtist	9636
78	Dedalus36	9558
79	Kubelz	9365
80	12Magner05	9360
81	SSytex_X	9126
82	Cocoamallows	9022
83	GlitchyPlate810	8962
84	SaucyDark	8882
85	awesomeoneme	8860
86	Groovy_MoonBird	8668
87	_3Stump_	8658
88	ProfessorBee	8620
89	bigstankyy	8424
90	TheBiggestFeller	8256
91	Zaridey	8138
92	Onennon	8086
93	Merv__	7834
94	thescout7	7750
95	_Nuf	7748
96	Mahoose	7704
97	RebelAndroid	7538
98	Toriankel	7402
99	Jiminie	7292
100	Airem_Core	7246
101	SkateboardR6	7164
102	SuperPooch06	7140
103	Fullut	7100
104	Jovaphobic	7092
105	fffMike	7039
106	MightyWertu	6946
107	Skylord_Luke	6918
108	amkold	6904
109	Lutres_Torane	6768
110	Franco093	6617
111	RedcatVII	6530
112	G1ldor	6483
113	RodSerlingCringe	6433
114	Kowcio_	6421
115	Lord_Jord	6281
116	Inchef	6277
117	NameGenerat0r	6253
118	Arceus1975	6169
119	silverpopcorn	6162
120	Vetral1	6129
121	q_wq	6099
122	Groundler	6090
123	WyngGoy	5965
124	Awyrlas	5915
125	Comma__	5865
126	h2p_emrld	5837
127	SammiWolfGirl	5801
128	Razzgriz	5726
129	Flores991	5707
130	Kim_Jong_eel	5692
131	eiC_	5630
132	eitanzaki	5590
133	Russiancat1	5578
134	__Fanda__	5489
135	gabriels543	5461
136	set67	5454
137	wezzzi	5396
138	The11thDoctor	5370
139	Megarboh	5353
140	NoChumpChange	5347
141	MeetTheWollo	5232
142	Soap_Bender	5186
143	fred870d	5160
