rank	username	minecraft:picked_up/minecraft:music_disc_mall
1	12Magner05	366
2	StarCookiees_	131
3	HellsSponge	84
4	pintsizedrogue	41
5	miramyu	33
6	Prismyst	29
6	Inchef	29
8	Mahoose	26
9	TechnoNinja64	23
10	PhantomsGhost_	22
11	abdomera	21
12	Gregward_Smith	20
12	Cruncy_	20
14	kekhon	19
14	oscminus	19
14	Soplight	19
17	eitanzaki	18
17	AlphaWolfPlaysMC	18
17	fluddd	18
17	YungMaki	18
21	Guillemet	17
21	Tyrannosplart	17
23	ImpavidArcher	16
23	claivin	16
25	beeperbeeper5	14
25	xxPipperDipperxx	14
25	crashomon	14
28	Merv__	12
28	Mattesco	12
28	Njensen7	12
28	PlasticOtari	12
32	RobotMinion101	11
32	Zoeyfortnite	11
34	Mr_Byzantine	10
34	bloodbiter	10
34	SteveCraftBlocks	10
34	Skylord_Luke	10
34	Deodorante	10
34	Spenduh	10
34	Steelynan	10
41	Awyrlas	9
41	Di_infiri	9
41	AspenLightVT	9
41	Kowcio_	9
41	TheBananaKat	9
46	TheSecondLord	8
46	_Dean_123	8
46	Norrhede	8
49	Fullut	7
49	excelsionprime	7
49	Werbe	7
49	Akoot_	7
53	Arceus1975	6
53	Maenara	6
53	Eraxa	6
53	SammiWolfGirl	6
53	non089	6
58	Julmish	5
58	joethahobo	5
58	ProfessorBee	5
58	mwrty	5
58	Hyp3rion_	5
58	TheShyPig	5
58	FreakGenius	5
65	Apollo_993	4
65	ShedJr_	4
65	Archsam	4
65	heckface	4
65	Blackberry1310	4
65	surfinggiraffejp	4
65	BlueZabu	4
65	Chromary	4
65	RebytreGT	4
65	ooga47	4
65	emreknugrlu	4
65	MAns_44	4
65	CalebDHawk	4
65	fffMike	4
65	Legendosh	4
65	annebolyn	4
65	Yamdalorian	4
82	Ryan_GEMS	3
82	NieToksikpl	3
82	500am	3
82	ROY4LE	3
82	noam464	3
82	Mobstr	3
82	thewindmillman	3
82	pappaberg	3
82	Krowuss	3
82	NomadicRobin_	3
82	ese_wn_po	3
82	NameGenerat0r	3
82	Spacewardharpy7	3
82	p4pillio	3
82	bloomkieren	3
82	ediballbearings	3
98	chipklip	2
98	PazinGaming	2
98	LJW517	2
98	Healthing	2
98	hm947	2
98	Hpdinosaur	2
98	T045RTY	2
98	Natty	2
98	Huwulling	2
98	MOSS000	2
98	Lez_	2
98	skroobiez	2
98	Secret_Canary	2
98	cyrusisntgay	2
98	Smashic	2
98	eviltunix	2
98	r123moore	2
98	CollinMH06	2
98	yheece	2
98	fragrantmonke444	2
98	SuperPooch06	2
98	Rumpletaezer	2
98	Bumpy419	2
98	TheWildMateo	2
98	The11thDoctor	2
98	thgrocks	2
98	fw3xy74	2
98	audiocracked	2
98	DTwenty	2
98	StinkyDiplomat	2
98	Blu3beast	2
98	Blaiku	2
98	SingedBread	2
98	lunkuku	2
98	lordpipe	2
98	Druid95	2
98	Jjackoe	2
98	FiguraDei	2
98	layabout100	2
98	33sudo	2
98	Kura2218	2
98	pixelviolin	2
98	Daedalus342	2
98	Pumpkin_P_Patch	2
98	TheKingK_	2
98	xzvu	2
98	EcksD	2
98	Powowowow	2
98	FishisTTV	2
98	h2p_emrld	2
148	Groovy_MoonBird	1
148	cletemo	1
148	CLG_Kata	1
148	Cowison	1
148	SaphLaseer	1
148	TildaAndrea	1
148	Niklas20114552	1
148	powercas_gamer	1
148	Rasaq	1
148	Pofen	1
148	rarrq	1
148	Euclidoris	1
148	Prodiginus	1
148	Cryptacity	1
148	_Nat666	1
148	m_be9	1
148	zorin123	1
148	corvidpartyfor6	1
148	redikul	1
148	Kkanot	1
148	set67	1
148	switchNat	1
148	thescout7	1
148	ketaminmann	1
148	_Magdo_	1
148	Roenfire	1
148	Resner	1
148	Touched_Bread	1
148	Kubelz	1
148	Winklepicker279	1
148	__Fanda__	1
148	Hoxy	1
148	hanaryheatwave	1
148	WET_WET_WET	1
148	drompje	1
148	Oliver_Frost	1
148	ApophisNova	1
148	MinerDec	1
148	epiksk8erduck	1
148	D0RMMAMU	1
148	Hyperphoenix42	1
148	MousePlays	1
148	KliBeast21	1
148	IamCL4SSY	1
148	parodypatient	1
148	True_Clipse	1
148	yulgur1	1
148	godipose	1
148	Dakar_	1
148	DarlaMeow	1
148	WhyTho_1	1
148	GravitySaint	1
148	Groundler	1
148	Racengan	1
148	DolphinLaugh	1
148	SkateboardR6	1
148	Hisiste	1
148	ceAndyX	1
148	sp00ky_ghost977	1
148	SvenskaHugo	1
148	pixelings_	1
148	MrShojo	1
148	Kijiki	1
148	Segotep999	1
148	djancak	1
148	tsitrawhy	1
148	stellarjay	1
148	_TCARREIRA_	1
148	Luigipunch989	1
148	LeeMcGee30	1
148	_3Stump_	1
148	hermmm_	1
148	elliebelle107	1
148	Vellu21	1
148	ConnorDanky_	1
148	deenobeeno	1
148	MyNamaSheff	1
148	Enderxz3	1
148	Jimb0nat0r	1
