rank	username	minecraft:picked_up/minecraft:warped_fungus
1	joethahobo	84722
2	Hyp3rion_	73225
3	noam464	56825
4	Jackattack53	25507
5	thewindmillman	20921
6	Blaiku	14143
7	eitanzaki	9678
8	HolyVenom	3183
9	Spacewardharpy7	1175
10	12Magner05	1151
11	HellsSponge	771
12	Jimb0nat0r	767
13	AdmiralSmoke	577
14	500am	362
15	FishisTTV	337
16	Mahoose	324
17	rarrq	282
18	Historical_Sand	278
19	beeperbeeper5	274
20	Snowflowe	266
21	Di_infiri	259
22	pintsizedrogue	252
23	PigDab	216
24	hanaryheatwave	188
25	Enderxz3	168
26	KarlKaek	129
27	Alteriity	127
28	Manaateee	122
29	Fullut	117
30	Mr_Byzantine	106
31	Xalithia	103
32	Huwulling	95
33	Ezekson	89
34	Hpdinosaur	83
35	Steelynan	81
36	TheEnderMan548	80
37	Humpcat	77
38	TheDankPlatypus	75
39	teslawolf38	70
39	PlasticOtari	70
41	Optiprimus	69
42	excelsionprime	68
42	TheShyPig	68
44	Lord_Jord	67
45	RoskobiOne	66
45	T045RTY	66
47	EveryonesUncle	65
48	r123moore	61
48	Kakolbus	61
50	Marbz_	60
50	_Mythic____	60
52	Kubelz	59
52	SpacesickPrism	59
54	lordpipe	58
55	CliffEmAll	55
55	YungMaki	55
57	Lutres_	53
58	shadowthemonkey	50
59	diamondgolem35	47
60	lizardfightclub	42
61	Blackberry1310	40
61	Kferno	40
63	Ryker	39
64	Skylord_Luke	38
64	Kowcio_	38
66	luseis	36
67	kekhon	33
67	Hermanni__	33
69	TheSecondLord	29
70	CarltheCuck	28
71	Arceus1975	25
71	monky_irl	25
71	djancak	25
74	Awyrlas	24
75	SammiWolfGirl	22
75	00000000-0000-0000-0009-01ff0c3e5e4f	22
77	RebelAndroid	21
77	PortlyPete69	21
79	Zythose	20
79	ConnorDanky_	20
81	CoffeeNoir	19
81	Soplight	19
83	livingdaydreams	18
83	jacxhadow	18
83	gcaisawesome	18
83	diggydog67	18
87	M_Patata	17
87	MasterNueve	17
89	NomadicRobin_	16
89	FreakGenius	16
91	ShedJr_	15
91	Swexti	15
91	DanTheBuilderino	15
91	Decaying_Lotus	15
91	UCP_TheKingK	15
96	Cowison	14
96	DarlaMeow	14
96	Luigipunch989	14
99	BobDeBouwer1337	13
99	catandmoose	13
99	AstreaTSS	13
99	Kubeusz2010	13
103	Winklepicker279	12
104	EMC_	11
104	orxngejuice	11
104	Purplera	11
104	Eraxa	11
108	Secret_Canary	10
108	mwrty	10
108	Akoot_	10
108	mihimihimihi	10
108	Druid95	10
108	SvenskaHugo	10
108	MineMaster0012	10
115	k_ce	9
115	pumpfonzo	9
115	ooga47	9
115	Iamthejo	9
115	Quotary	9
120	Lez_	8
120	Moofyman	8
120	Dakar_	8
120	Shogunite	8
120	pixelviolin	8
125	j5ylim	7
125	RatatJuice	7
125	brofrickcheaters	7
125	anbbang	7
125	EcksD	7
130	Merv__	6
130	DinoDoctor_	6
130	Miroryk	6
130	Tiberonus	6
130	Werbe	6
130	Eon_57	6
130	MissCeleste7	6
137	BlancoFlaco	5
137	tuckerdoodle	5
137	trixterrx	5
137	oscminus	5
137	Deathkob	5
137	claivin	5
137	IdeallyGrey	5
137	CalebDHawk	5
145	Prismyst	4
145	Master_Kol	4
145	ROY4LE	4
145	whoaluv	4
145	501g	4
145	kalzor	4
145	sp00ky_ghost977	4
145	TechnoNinja64	4
153	PazinGaming	3
153	Enigma0251	3
153	PegLegPete93	3
153	breadbowlgamer	3
153	Chromary	3
153	corpsecity	3
153	Krowuss	3
153	Hoid_the_Roamer	3
153	NameGenerat0r	3
153	Vegvisir	3
153	LazySupport00	3
153	07shiny	3
153	NATE_the_HALO	3
153	TheALV	3
153	ZeroKraken	3
168	_Virify_	2
168	CLG_Kata	2
168	Apollo_993	2
168	AuroraValkyrie	2
168	ITDV	2
168	titanlax	2
168	Crowman1	2
168	_Dean_123	2
168	crying_wolf_13	2
168	benediktine1	2
168	burbankbuilder28	2
168	thebaddruid	2
168	AlexxO_o	2
168	KeruNatsema	2
168	PuFY	2
168	AuroraSkies	2
168	gustarlep	2
168	lillips	2
168	DemTechAlpha	2
168	MAns_44	2
168	GravitySaint	2
168	Toriankel	2
168	Ze_BaronKrigler	2
168	Segotep999	2
168	Sheldor097	2
168	fffMike	2
168	MilleGrug	2
168	athereall	2
168	mobunni	2
168	Nicserso	2
168	jnp_gaming	2
168	xolstoi	2
168	trexgb	2
201	PhantomsGhost_	1
201	Ev0luti0nz	1
201	soundad	1
201	ECstardust	1
201	Wolf_Mauler_73	1
201	Jindong	1
201	gren_ben	1
201	__lizi	1
201	_Razaria	1
201	Wooptey	1
201	tramizu	1
201	TowenPL	1
201	UncreativeArtist	1
201	_Magdo_	1
201	theonlymagikarp	1
201	XboxPanda	1
201	SuperPooch06	1
201	_Boipl_	1
201	Afinnity	1
201	KartivGal	1
201	Mattesco	1
201	Huic_ostiarius	1
201	YahooScreen9000	1
201	MastaZink	1
201	masskedman	1
201	censorsheep	1
201	MightyWertu	1
201	wwwwinnebagoooo	1
201	Skippeh	1
201	cichy096	1
201	2blox_	1
