rank	username	minecraft:killed/minecraft:spider
1	Blackberry1310	2247
2	Ryker	1753
3	corvidpartyfor6	1417
4	thewindmillman	1261
5	SingedBread	1253
6	Spacewardharpy7	1203
7	Di_infiri	1179
8	TechnoNinja64	1105
9	beeperbeeper5	963
10	rarrq	921
11	joethahobo	905
12	Ezekson	877
13	CrateOfBoxes	870
14	YungMaki	864
15	remmisrat	819
16	pintsizedrogue	803
17	Frozil20	768
18	EveryonesUncle	755
19	gcaisawesome	687
20	Njensen7	660
21	Segotep999	648
22	Kowcio_	625
23	AdmiralSmoke	615
24	HellsSponge	597
25	Fullut	593
26	noam464	584
27	PigDab	582
28	500am	581
29	EMC_	564
30	Akoot_	545
31	Blaiku	536
32	Steelynan	533
33	TheShyPig	531
34	kekhon	528
35	Hyp3rion_	517
36	RebelAndroid	492
37	TheSecondLord	488
38	Tyrannosplart	444
39	12Magner05	437
40	thescout7	411
41	PlasticOtari	410
42	Spenduh	407
43	Enderxz3	388
44	Mewar	379
45	Cowison	378
46	EcksD	375
47	LordSpeed37	366
48	Mahoose	345
49	sp00ky_ghost977	335
50	lordpipe	325
51	himak1	324
52	Eraxa	317
53	set67	315
54	Nicserso	313
55	oscminus	312
55	claivin	312
57	Blu3beast	306
58	FreakGenius	305
59	luseis	295
60	ROY4LE	294
61	Skippeh	290
62	Merv__	286
63	Mattesco	283
64	Rumpletaezer	276
65	eitanzaki	268
66	F_Uhre	266
67	PhantomsGhost_	260
67	M_Patata	260
69	m_be9	254
69	Kakolbus	254
71	MasterNueve	245
72	Manaateee	244
72	MAns_44	244
72	non089	244
72	fffMike	244
76	obzii	241
77	Snowflowe	240
78	NomadicRobin_	237
79	MoistMicrowave	234
80	mihimihimihi	227
81	MilleGrug	222
82	ConnorDanky_	221
83	NatalieTW	216
84	Smashic	206
84	Rebytre	206
86	Huwulling	202
86	Jackattack53	202
88	Xclax101	201
89	Alteriity	198
89	Skylord_Luke	198
91	SkateboardR6	194
91	Jimb0nat0r	194
93	Winklepicker279	183
93	vandmanden	183
95	zToasty69z	179
96	q_wq	174
96	SaintJosie	174
96	diggydog67	174
99	Warlord324	169
100	xzvu	168
101	Soplight	166
102	Arceus1975	164
102	The11thDoctor	164
104	Lord_Jord	162
105	k_ce	161
106	youhjjhhhjj	159
106	Euclidoris	159
106	hanaryheatwave	159
109	LeonelSalamanca	158
110	H72l9w	156
110	TheSeismicDuck	156
112	_i_ERROR_i_	155
113	pixelviolin	153
114	Maenara	150
115	diamondgolem35	146
115	Luigipunch989	146
117	BlancoFlaco	145
118	excelsionprime	144
118	xxPipperDipperxx	144
118	SuperPooch06	144
121	El_Jalapeno	143
122	Barlycorn	140
122	Hisiste	140
124	Creativebuilder2	139
124	T045RTY	139
124	Chromary	139
124	Zoeyfortnite	139
128	Dakar_	138
128	censorsheep	138
128	PortlyPete69	138
131	Nicky_H225	137
131	weabis	137
133	CoffeeNoir	136
133	Racengan	136
133	jnp_gaming	136
136	Awyrlas	134
136	Inchef	134
136	_TCARREIRA_	134
136	MirielThePastor	134
140	Bumpy419	133
140	masskedman	133
140	SSytex_X	133
143	Onennon	132
144	ImpavidArcher	131
145	SyntheticSurgeon	130
146	KarlKaek	129
147	Lez_	128
147	h2p_emrld	128
149	TheDankPlatypus	127
149	Legendosh	127
151	Cocoamallows	126
152	Jorrdi	125
152	Deathkob	125
152	00000000-0000-0000-0009-01ff0c3e5e4f	125
155	Jovaphobic	122
156	ExtraDumb	121
157	burbankbuilder28	119
157	Sral7	119
159	cedric72	118
159	Druid95	118
161	jacxhadow	117
162	CollinMH06	116
162	Werbe	116
164	teslawolf38	115
165	Kim_Jong_eel	114
166	Bandito_Roamer	113
166	_Virify_	113
168	eviltunix	111
168	XboxPanda	111
170	yheece	110
170	Quaintster	110
170	UCP_TheKingK	110
173	Groovy_MoonBird	109
173	Hpdinosaur	109
173	Secret_Canary	109
173	fade_emerge78823	109
173	IamCL4SSY	109
173	Wowful	109
173	KingMatthew506	109
180	Comma__	108
180	MyNameIsJobo	108
180	ougstur	108
180	fw3xy74	108
180	SvenskaHugo	108
185	Historical_Sand	107
185	lillips	107
187	Nach0Bear	106
188	Crowman1	105
189	ApophisNova	104
189	MyNamaSheff	104
191	whoaluv	103
191	EngagedGrub41	103
191	xolstoi	103
194	Jonafrog99	102
194	ItsDeltaMC	102
196	Covalents	99
196	SammiWolfGirl	99
198	StinkyDiplomat	98
199	Killercatty78	97
199	ProfessorBee	97
199	Iamthejo	97
199	FelixPSY375	97
203	JayToe	96
204	SlayerCrypto	95
205	tuckerdoodle	94
205	livingdaydreams	94
205	_Karmaa	94
208	AlexxO_o	92
208	FishyBoy3811	92
208	Meatlaugh	92
211	Zythose	91
211	MineMaster0012	91
213	bloodbiter	90
213	r123moore	90
213	thebaddruid	90
216	Apollo_993	89
216	SmashingPump	89
216	lcvezra	89
216	Hermanni__	89
220	_stets	88
220	ShedJr_	88
220	Fuad_R	88
220	Nycteus_	88
224	bigstankyy	87
224	Dreamdbr14	87
226	NameGenerat0r	86
226	djancak	86
228	slkiey	85
228	fluddd	85
230	_Dean_123	84
230	LeauVox4921	84
232	FirsTimeGamingTV	83
232	Rocco_Lane	83
232	thgrocks	83
235	mariominejedi	81
236	ooga47	80
236	TheTrueClipse	80
236	CattSoup	80
239	Deodorante	79
240	TheWildMateo	77
240	Shogunite	77
242	CLG_Kata	76
242	NieToksikpl	76
242	DanTheBuilderino	76
242	Kura2218	76
242	skrongus	76
247	WyngGoy	75
247	CalebDHawk	75
247	Sheldor097	75
247	UrbanPlanningEx	75
251	AlphaWolfPlaysMC	74
251	_Mythic____	74
253	Kamflame10	73
253	Inbefour	73
253	MightyWertu	73
256	TooManyDuck	72
257	Touched_Bread	71
257	The_Cruncy	71
257	coobert42	71
260	6king6colt6	70
260	I_Am_Mushkin	70
260	MrKrabOnCoke	70
263	ImDisconnected_	69
263	epiksk8erduck	69
263	Leyna3	69
263	Dogcorn69420	69
263	calamariclam_I	69
268	mwrty	68
268	MelodyGaysharks	68
270	wezzzi	67
270	alderban107	67
270	RadarHz	67
273	ECstardust	66
273	stellarjay	66
275	QuiCreans	65
275	Quincannon	65
275	Decaying_Lotus	65
278	H0UNDFRMH3LL	64
278	Guillemet	64
278	NoChumpChange	64
278	Kateesaur	64
282	MunkaKris	63
282	selectrix	63
282	wwwwinnebagoooo	63
282	Ze_BaronKrigler	63
286	MattieHD	62
286	Kouridragon	62
286	Fuhrer_Teemo	62
286	SUN_DREAM	62
286	mawileite	62
286	2blox_	62
292	Zaridey	61
293	heckface	60
293	jushykins	60
293	Krowuss	60
293	ayamefag	60
297	Kubelz	59
297	audiocracked	59
297	Powowowow	59
300	Mr_Byzantine	58
