rank	username	minecraft:killed/minecraft:wolf
1	lillips	70
2	claivin	30
3	PigDab	28
4	Blaiku	25
5	noam464	23
6	Di_infiri	22
7	HellsSponge	18
8	Akoot_	17
9	kekhon	15
10	eitanzaki	13
10	Jackattack53	13
10	Spenduh	13
13	beeperbeeper5	12
13	Blu3beast	12
15	HesDemonPants	11
16	_Boipl_	10
17	DTwenty	8
17	ediballbearings	8
19	Z3braYTIL	7
19	fluddd	7
21	Uzbeki_John	6
21	Maenara	6
21	Freak_Genius	6
21	Frozil12	6
21	EcksD	6
21	FelixPSY375	6
21	camando92	6
28	ImpavidArcher	5
28	ratglock	5
28	TheSecondLord	5
28	_Dean_123	5
28	_Bruhtastic_	5
28	egglapras	5
28	Racengan	5
35	PhantomsGhost_	4
35	Merv__	4
35	IEatBooty	4
35	Reamdin	4
35	thescout7	4
35	Xalithia	4
35	TheDankPlatypus	4
35	Zaridey	4
35	ImDisconnected_	4
35	Zythose	4
35	TheShyPig	4
35	DScatgirls	4
35	El_Jalapeno	4
35	Nagasaki_Riku	4
35	KG1999	4
35	PlzNoBM	4
35	Sheldor097	4
35	sebastiensaborio	4
35	jcool7	4
35	Njensen7	4
35	KingMatthew506	4
35	PA_Tech_Gaming	4
57	Jovaphobic	3
57	Groovy_MoonBird	3
57	Bandito_Roamer	3
57	milkedit	3
57	Natofthese	3
57	Shazzyling	3
57	rarrq	3
57	bloodbiter	3
57	Austine6698	3
57	Fullut	3
57	M_Patata	3
57	AJplaysMC_	3
57	thewindmillman	3
57	Voxin2K	3
57	EveryonesUncle	3
57	fkGrim	3
57	Quaintster	3
57	MustaLoordi	3
57	MasterNueve	3
57	Kowcio_	3
57	__tomato	3
57	VentiHilton	3
57	Legendosh	3
57	Earlesstrain4	3
57	5712	3
82	pZygh0st	2
82	bigstankyy	2
82	BlancoFlaco	2
82	hm947	2
82	Bad_At_Names_Guy	2
82	Jackster03	2
82	PhantomBionic	2
82	joethahobo	2
82	H72l9w	2
82	cerdeira	2
82	Blackberry1310	2
82	FemboyFwuit	2
82	CyrusIsTired	2
82	mwrty	2
82	hcb238	2
82	ReverendSmith	2
82	loveseeker	2
82	xambsam	2
82	Hyp3rion_	2
82	Snowflowe	2
82	domagawha	2
82	Donutt	2
82	Hiryu27	2
82	Skylord_Luke	2
82	Onennon	2
82	Shiirazuku	2
82	Matyyy15	2
82	aec9	2
82	_naturell	2
82	SpookyDraggin	2
82	NYJ	2
82	LexMakesHistory	2
82	KermitTheKripple	2
82	Coolbou0427	2
82	Quincannon	2
82	DJ_Serukala	2
82	LetsDoItLive	2
82	Eraxa	2
82	IdeallyGrey	2
82	YungMaki	2
82	Goldiethebear03	2
82	SSytex_X	2
82	lcvezra	2
82	Poppy235	2
82	obzii	2
82	fffMike	2
82	laron58	2
82	Hylo482y	2
82	cichy096	2
82	AltnumberF4	2
82	2blox	2
82	kinas45y5	2
82	Zoeyfortnite	2
82	Yogscast_Manden	2
82	EcksDofficial	2
82	Smoke____	2
82	h2p_emrld	2
139	xKodor	1
139	Flamd	1
139	pintsizedrogue	1
139	HBA00_	1
139	Mr_Byzantine	1
139	Froste131	1
139	JohnnyFyes	1
139	dudcreeper	1
139	fanofbands101	1
139	strongman951753	1
139	soundad	1
139	Drlzyy	1
139	AuroraValkyrie	1
139	AshleeCW	1
139	6king6colt6	1
139	KarlKaek	1
139	MikeIsSalty	1
139	RebelAndroid	1
139	Jahara	1
139	ZaneABrain	1
139	lotarp	1
139	Myszoaz	1
139	Azassu	1
139	thedatsun13	1
139	Swexti	1
139	SquadMonster	1
139	TheFlfthHorseman	1
139	FirsTimeGamingTV	1
139	LoboTheLobster	1
139	dopplexd	1
139	Frxnkz	1
139	boysnort	1
139	F4TY0SHl	1
139	Comma__	1
139	jacxhadow	1
139	Chickenchaser2	1
139	Albertalo	1
139	m_be9	1
139	MattieHD	1
139	Dragonfest	1
139	zorin123	1
139	Scattman_	1
139	sandmire	1
139	groggregg42	1
139	Nach0Bear	1
139	Inchef	1
139	intropass	1
139	theonlymagikarp	1
139	r123moore	1
139	NotKaden_	1
139	IceYoung	1
139	Kubelz	1
139	NotoriousNina	1
139	IronyMan69	1
139	__Fanda__	1
139	SuperPooch06	1
139	reiwai	1
139	Chromary	1
139	Queen_Jalapeno	1
139	burbankbuilder28	1
139	DaviusMaximoose	1
139	AnnieBathory	1
139	Studyhallsaver	1
139	jillian12345	1
139	shockdocta	1
139	k1ngGilgamesh	1
139	CruncyIsTaken	1
139	fred870d	1
139	epiksk8erduck	1
139	FungalCat	1
139	Capss	1
139	jewbacaman	1
139	Kryktal	1
139	HolyVenom	1
139	KliBeast21	1
139	RodSerlingCringe	1
139	tyraxxx	1
