rank	username	minecraft:killed/minecraft:cave_spider
1	Bumpy419	3228
2	sp00ky_ghost977	2388
3	TheDankPlatypus	2252
4	Malorn_Aetherius	1971
5	luseis	1319
6	CharlieButt	1268
7	PlasticOtari	1125
8	07shiny	1052
9	Deathkob	924
10	Snowflowe	887
11	tsitrawhy	833
12	Quincannon	820
13	Hisiste	791
14	Lumien_	727
15	M_Patata	703
16	Shiirazu	570
17	mariominejedi	561
18	DemTechAlpha	560
19	orxngejuice	469
20	Bazongoman	456
21	q_wq	454
22	Hyp3rion_	446
23	Fullut	422
24	ItzYaBoiPicard	345
25	CoffeeNoir	336
26	eitanzaki	330
27	pintsizedrogue	301
28	joethahobo	285
29	Alteriity	251
30	Flores991	243
31	gary_	228
32	fade_emerge78823	197
33	ooga47	183
34	_3Stump_	175
35	Powowowow	168
36	kekhon	166
37	beeperbeeper5	155
38	MineMaster0012	154
39	500am	147
40	HellsSponge	141
41	The11thDoctor	135
42	Warlord324	128
43	bloodbiter	127
44	TheShyPig	126
45	legal_tax_evader	119
46	YungMaki	111
47	Krowuss	106
48	_Bguette_	101
49	dongli	95
50	thewindmillman	85
50	Enderxz3	85
52	Drewen24	80
53	Spacewardharpy7	73
54	LitoDelvito	70
55	DarlaMeow	62
55	Legendosh	62
57	Steelynan	60
58	QueenShuvi	59
59	SUN_DREAM	58
60	AdmiralSmoke	57
61	Frozil20	56
62	lordpipe	55
63	Tyrannosplart	54
64	HAruSAme14	52
65	Mahoose	49
66	fluddd	48
66	EcksD	48
68	djancak	45
69	bloomkieren	44
70	Tolhart	43
70	Hiryu27	43
72	Groovy_MoonBird	41
72	301851	41
72	Rumpletaezer	41
75	Barlycorn	40
75	00000000-0000-0000-0009-01ff0c3e5e4f	40
77	Di_infiri	39
77	Akoot_	39
77	Xclax101	39
77	ConnorDanky_	39
81	FreakGenius	38
81	SpacesickPrism	38
83	ApophisNova	37
83	MyNamaSheff	37
83	Nicserso	37
86	BobDeBouwer1337	36
87	Leyna3	35
87	JohnPrice	35
89	Windo_licker	34
89	Manaateee	34
89	censorsheep	34
92	CLUBN2	32
93	Blackberry1310	31
93	wezzzi	31
95	Kubelz	30
96	mwrty	29
97	Kakolbus	28
97	Fast_Turtle	28
97	xzvu	28
100	Kowcio_	27
100	mawileite	27
100	Ezekson	27
100	RadarHz	27
104	ROY4LE	26
104	kars0n	26
104	cedric72	26
104	starbits140	26
108	youhjjhhhjj	25
108	gcaisawesome	25
110	Bandito_Roamer	24
110	Leeeegend	24
112	Winklepicker279	23
112	RedcatVII	23
112	Airem_Core	23
112	monky_irl	23
116	EMC_	22
116	GLLogan2	22
116	NameGenerat0r	22
116	MilleGrug	22
120	Iagoku	21
120	PhantomBionic	21
120	Kouridragon	21
120	MelodyGaysharks	21
124	SmashingPump	20
124	jedi_george	20
124	LilLizardWizard	20
124	_TCARREIRA_	20
124	non089	20
129	thescout7	19
129	LeonelSalamanca	19
129	Nycteus_	19
129	pixelviolin	19
133	mennorovers	18
133	Guillemet	18
133	Werbe	18
133	Maenara	18
133	TheBananaKat	18
138	Lukeee33	17
138	hanaryheatwave	17
138	Rebytre	17
138	yulgur1	17
138	ThatMan_Dave	17
138	MasterNueve	17
138	smogfrog	17
145	Reamdin	16
145	zorin123	16
145	PegLegPete93	16
145	oscminus	16
145	F_Uhre	16
145	Deodorante	16
145	claivin	16
145	MAns_44	16
145	wwwwinnebagoooo	16
145	alderban107	16
155	dudcreeper	15
155	m_be9	15
155	_Nuf	15
155	Corbsman	15
155	SaintJosie	15
155	TheTrueClipse	15
155	Lord_Jord	15
155	MS_Pryxx	15
155	IAmTheWalrus910	15
155	amkold	15
165	MunkaKris	14
165	NatalieTW	14
165	Allchemy	14
165	T045RTY	14
165	ivorico	14
165	rarrq	14
165	Kamflame10	14
165	thebaddruid	14
165	AlexxO_o	14
165	Kennyissleepy	14
165	NYJ	14
176	Saltymart	13
176	FirsTimeGamingTV	13
176	intropass	13
176	burbankbuilder28	13
176	natajimi	13
176	Quaintster	13
176	Razzgriz	13
176	Segotep999	13
184	Ryan_GEMS	12
184	SaucyDark	12
184	ITDV	12
184	prizm_	12
184	drompje	12
184	lizardfightclub	12
184	valkam13	12
184	Meatlaugh	12
184	El_Jalapeno	12
184	MightyWertu	12
184	Racengan	12
184	SkateboardR6	12
184	MovingFish7	12
184	Shadow4381	12
184	SammiWolfGirl	12
184	calamariclam_I	12
200	PhantomsGhost_	11
200	UltimuShadow	11
200	lotarp	11
200	noam464	11
200	Zaridey	11
200	whoaluv	11
200	CrateOfBoxes	11
200	_Karmaa	11
200	SingedBread	11
200	Quotary	11
200	WYFYoyo	11
211	k_ce	10
211	Harotio	10
211	benediktine1	10
211	DermeinUser	10
211	toj__	10
211	PigDab	10
211	balin55	10
211	Fuad_R	10
211	Soplight	10
211	UrbanPlanningEx	10
221	_Virify_	9
221	Merv__	9
221	Huwulling	9
221	CaracolCxnt	9
221	Valoth	9
221	Cryptacity	9
221	TheSecondLord	9
221	ProfessorBee	9
221	Megarboh	9
221	mcFarty	9
221	platinumzero	9
221	Ecplosive	9
221	PeteO1995	9
221	WarMachina	9
221	masskedman	9
221	Groundler	9
221	Luigipunch989	9
221	Skippeh	9
239	Tobinator_007	8
239	CLG_Kata	8
239	Cowison	8
239	ECstardust	8
239	I_Am_Mushkin	8
239	diamondgolem35	8
239	Ryker	8
239	MangoTango82	8
239	Myszoaz	8
239	IWorkAtIkea	8
239	urbeans	8
239	Euclidoris	8
239	MattieHD	8
239	LeauVox4921	8
239	Noah_Bez	8
239	FennYuzuna	8
239	SuperPooch06	8
239	Onennon	8
239	ILoveCarrot	8
239	DarkS0L	8
239	Toiton	8
239	GoofyBread	8
239	ElectricDragon81	8
239	ayamefag	8
239	Spenduh	8
239	TheOnlyRake	8
239	_KuruKuru	8
239	MirielThePastor	8
267	maxdacatv2	7
267	Krimys	7
267	fanofbands101	7
267	AuroraValkyrie	7
267	KingFaenor	7
267	6king6colt6	7
267	xXTheWolfmanXx	7
267	gren_ben	7
267	RebelAndroid	7
267	livingdaydreams	7
267	SpaceGrenadier	7
267	MrKrabOnCoke	7
267	G1ldor	7
267	UncreativeArtist	7
267	JitteryJared2	7
267	AnnieBathory	7
267	Mattesco	7
267	ougstur	7
267	brycepants	7
267	KeruNatsema	7
267	Elastiq	7
267	Thomez_	7
267	EveryonesUncle	7
267	master9067	7
267	sufjanlover	7
267	Darkgon	7
267	1442	7
267	EfficientC52	7
267	Fildyr	7
267	SvenskaHugo	7
267	lcvezra	7
267	Heisenbberrg	7
267	_i_ERROR_i_	7
267	CoryJJ	7
