rank	username	minecraft:killed/minecraft:bat
1	eitanzaki	462
2	noam464	303
3	_Mythic____	197
4	YungMaki	111
5	The11thDoctor	86
6	HellsSponge	84
7	PlzNoBM	78
8	Blaiku	75
9	EcksD	74
10	soundad	70
11	Di_infiri	56
12	gcaisawesome	54
13	kekhon	50
14	vandmanden	44
15	_Virify_	43
15	Dogcorn69420	43
17	m_be9	41
18	joethahobo	34
19	Awyrlas	33
19	oscminus	33
21	Jackattack53	29
21	claivin	29
21	Ezekson	29
24	Cowison	28
24	Frozil20	28
24	thewindmillman	28
24	SSytex_X	28
28	taengoos	27
29	Fullut	26
29	Blu3beast	26
31	Zythose	25
32	Kubelz	23
33	RebelAndroid	22
33	Mahoose	22
33	M_Patata	22
33	MasterNueve	22
37	xDraggin	21
37	Typadopoulos	21
39	rarrq	20
39	F_Uhre	20
39	Shogunite	20
39	Eraxa	20
43	Snowflowe	19
43	Barlycorn	19
43	Skippeh	19
43	Enderxz3	19
43	Sral7	19
48	Groovy_MoonBird	18
48	livingdaydreams	18
48	Mewar	18
48	Kowcio_	18
48	elliebelle107	18
53	Hyp3rion_	17
53	Hisiste	17
55	MyNameIsJobo	16
55	Rumpletaezer	16
55	TheShyPig	16
55	TheSeismicDuck	16
55	Tyrannosplart	16
60	QueenShuvi	15
60	Groundler	15
60	Spacewardharpy7	15
60	Steelynan	15
60	TheSandwhich_	15
65	500am	14
65	Bumpy419	14
67	123louis456	13
67	T045RTY	13
67	Chromary	13
70	ECstardust	12
70	beeperbeeper5	12
70	Blackberry1310	12
70	Eraza	12
70	LilyNova	12
70	Dreamdbr14	12
76	Jovaphobic	11
76	PhantomsGhost_	11
76	SuperPooch06	11
76	whoaluv	11
76	Krowuss	11
76	Werbe	11
76	Onennon	11
76	Toiton	11
76	Xclax101	11
76	fluddd	11
76	Vorlice	11
76	Kura2218	11
76	xzvu	11
76	h2p_emrld	11
90	pintsizedrogue	10
90	BobDeBouwer1337	10
90	_Nuf	10
90	thescout7	10
90	Arceus1975	10
90	Deathkob	10
90	MightyWertu	10
90	BlankityMcBlank	10
90	Soplight	10
99	NatalieTW	9
99	KarlKaek	9
99	SaucyDark	9
99	Hpdinosaur	9
99	Batman922	9
99	jushykins	9
99	12Magner05	9
99	ProfessorBee	9
99	domagawha	9
99	Rasmanden	9
99	Fuhrer_Teemo	9
99	WyngGoy	9
99	Segotep999	9
99	Bawbman	9
99	__tomato	9
99	non089	9
115	dudcreeper	8
115	Merv__	8
115	lotarp	8
115	SellyZ	8
115	TheDankPlatypus	8
115	FishyBoy3811	8
115	EdGalbraith	8
115	DTwenty	8
115	Racengan	8
115	Warlord324	8
115	SkateboardR6	8
115	Airem_Core	8
115	sp00ky_ghost977	8
115	Luigipunch989	8
115	Nicserso	8
115	PlasticOtari	8
115	Zoeyfortnite	8
132	fanofbands101	7
132	AuroraValkyrie	7
132	MattieHD	7
132	_Dean_123	7
132	Paintz	7
132	yheece	7
132	Hiryu27	7
132	Skylord_Luke	7
132	wezzzi	7
132	Jordan_R	7
142	SmashingPump	6
142	Reamdin	6
142	Jackster03	6
142	G1ldor	6
142	Ecplosive	6
142	Windo_licker	6
142	Druid95	6
142	pixelviolin	6
142	truonggojo777	6
142	Spenduh	6
142	ConnorDanky_	6
142	diggydog67	6
154	abdomera	5
154	Alteriity	5
154	Historical_Sand	5
154	FirsTimeGamingTV	5
154	royal_2	5
154	Vizzoid	5
154	TheSecondLord	5
154	Nicky_H225	5
154	poopybh	5
154	lorpus	5
154	ROY4LE	5
154	faulder	5
154	PigDab	5
154	kubinek69	5
154	dankxing	5
154	lordpipe	5
154	MakeHistory157	5
154	ElectricDragon81	5
154	ayamefag	5
154	SammiWolfGirl	5
154	TechnoNinja64	5
154	skitzxo	5
154	Yamdalorian	5
154	Deliriohm	5
178	k_ce	4
178	Bandito_Roamer	4
178	myaccountwasgone	4
178	ExtraDumb	4
178	Sabby65	4
178	SpaceGrenadier	4
178	301851	4
178	Comma__	4
178	firesgal3116	4
178	fade_emerge78823	4
178	2Stout	4
178	eiC_	4
178	ZeroAbyssTTV	4
178	Kakolbus	4
178	mariominejedi	4
178	J4k__	4
178	Skyle169	4
178	Syropatathe	4
178	JESS_THE_RERE	4
178	Quincannon	4
178	Quaintster	4
178	FreakGenius	4
178	monky_irl	4
