rank	username	minecraft:killed/minecraft:vex
1	EcksD	45621
2	Spacewardharpy7	1911
3	noam464	1506
4	thewindmillman	794
5	Werbe	495
6	pintsizedrogue	330
7	Lez_	326
8	Hyp3rion_	263
9	Soplight	192
10	Fuad_R	145
11	Sral7	138
12	Maenara	121
13	beeperbeeper5	109
14	Snowflowe	96
15	RebelAndroid	91
16	Merv__	86
17	eitanzaki	69
18	Historical_Sand	61
19	Lord_Jord	59
20	sp00ky_ghost977	48
21	Vizzoid	35
22	Da_Boss_Rani	34
23	hanaryheatwave	33
24	_Nat666	31
25	Jackattack53	29
26	joethahobo	28
27	Legendosh	26
28	Smashic	24
29	Apollo_993	20
29	Rebytre	20
29	Eraxa	20
32	mwrty	19
33	_Virify_	18
34	Skippeh	17
35	emrekn	15
35	Arceus1975	15
37	TheSecondLord	14
37	Onennon	14
37	fw3xy74	14
37	SkateboardR6	14
37	mihimihimihi	14
42	Alteriity	13
42	Euclidoris	13
42	MAns_44	13
42	Xclax101	13
42	MightyWertu	13
42	SvenskaHugo	13
48	Frozil20	12
48	rarrq	12
48	Akoot_	12
48	Segotep999	12
48	Jimb0nat0r	12
53	nattybears	11
53	kekhon	11
53	TheOuterCore	11
53	Enderxz3	11
53	TechnoNinja64	11
53	AdmiralSmoke	11
59	stevewithclout	10
59	Inbefour	10
59	Blu3beast	10
59	Blaiku	10
59	_i_ERROR_i_	10
64	FirsTimeGamingTV	9
64	luseis	9
64	xzvu	9
64	alderban107	9
68	dimondking777	8
68	SmashingPump	8
68	Fullut	8
68	Di_infiri	8
68	AlexxO_o	8
73	I_Am_Mushkin	7
73	TheShyPig	7
75	k_ce	6
75	Blackberry1310	6
75	MinttyFressh	6
75	MovingFish7	6
75	TheEnderMan548	6
75	ediballbearings	6
81	Bandito_Roamer	5
81	EMC_	5
81	diamondgolem35	5
81	12Magner05	5
81	Zaridey	5
81	ImDisconnected_	5
81	TheBananaKat	5
88	gren_ben	4
88	thescout7	4
88	fluddd	4
88	BreadBacon	4
88	Powowowow	4
93	AuroraValkyrie	3
93	ECstardust	3
93	shineh10	3
93	CaracolCxnt	3
93	BobDeBouwer1337	3
93	Mewar	3
93	eviltunix	3
93	eiC_	3
93	M_Patata	3
93	Ecplosive	3
93	Marbz_	3
93	oscminus	3
93	F_Uhre	3
93	Kim_Jong_eel	3
93	Tyrannosplart	3
93	AstreaTSS	3
93	claivin	3
93	MasterNueve	3
93	stavgod	3
93	bloomkieren	3
93	Kyrum2169	3
93	FelixPSY375	3
115	PhantomsGhost_	2
115	Hyugo	2
115	ImpavidArcher	2
115	MrKrabOnCoke	2
115	Frxnkz	2
115	m_be9	2
115	MattieHD	2
115	WET_WET_WET	2
115	pappaberg	2
115	Bumpy419	2
115	ApophisNova	2
115	lillips	2
115	Dakar_	2
115	Racengan	2
115	YungMaki	2
115	MyNamaSheff	2
115	h2p_emrld	2
132	TrNrGhost	1
132	SaucyDark	1
132	T045RTY	1
132	youhjjhhhjj	1
132	KomputerDude	1
132	Mahoose	1
132	Comma__	1
132	redikul	1
132	excelsionprime	1
132	shadowthemonkey	1
132	Chromary	1
132	corpsecity	1
132	jewbacaman	1
132	AuroraSkies	1
132	NomadicRobin_	1
132	Manaateee	1
132	_Karmaa	1
132	Avocadogerms	1
132	Hisiste	1
132	ayamefag	1
132	pixelviolin	1
132	_TCARREIRA_	1
132	skrongus	1
