rank	username	minecraft:killed/minecraft:ravager
1	beeperbeeper5	55
2	noam464	37
3	TechnoNinja64	24
4	Historical_Sand	22
5	RebelAndroid	19
6	YungMaki	18
7	sp00ky_ghost977	17
8	Vizzoid	13
8	thewindmillman	13
8	Sral7	13
11	rarrq	11
11	kekhon	11
13	Lord_Jord	10
13	Tyrannosplart	10
13	claivin	10
16	MattieHD	9
16	Onennon	9
16	fw3xywashere	9
16	Skippeh	9
20	Jackattack53	8
20	Bumpy419	8
20	Blu3beast	8
23	joethahobo	7
23	Inbefour	7
23	mihimihimihi	7
23	Legendosh	7
27	gren_ben	6
27	TheSecondLord	6
27	Fullut	6
27	mwrty	6
27	Hyp3rion_	6
27	Werbe	6
27	F_Uhre	6
27	Maenara	6
27	Akoot_	6
27	HellsSponge	6
27	Eraxa	6
27	Powowowow	6
39	ImDisconnected_	5
39	TheShyPig	5
39	Spacewardharpy7	5
39	RealGroot	5
39	TheOuterCore	5
39	Enderxz3	5
45	_Virify_	4
45	PhantomsGhost_	4
45	AuroraValkyrie	4
45	nattybears	4
45	Alteriity	4
45	Comma__	4
45	eiC_	4
45	M_Patata	4
45	Arceus1975	4
45	Kim_Jong_eel	4
45	SkateboardR6	4
45	Hisiste	4
45	MasterNueve	4
45	Soplight	4
45	xzvu	4
45	Ezekson	4
45	BreadBacon	4
45	Smoke____	4
63	pintsizedrogue	3
63	Bandito_Roamer	3
63	Frozil20	3
63	bigstankyy	3
63	Mahoose	3
63	thescout7	3
63	Zaridey	3
63	Di_infiri	3
63	Hiryu27	3
63	_Karmaa	3
63	Blaiku	3
63	MovingFish7	3
63	Kyrum2169	3
63	ediballbearings	3
63	Luigipunch989	3
63	GlitchyPlate810	3
63	h2p_emrld	3
80	Merv__	2
80	eitanzaki	2
80	youhjjhhhjj	2
80	KomputerDude	2
80	Frxnkz	2
80	ThePoliteG	2
80	12Magner05	2
80	slkiey	2
80	redikul	2
80	Mewar	2
80	Ecplosive	2
80	Chromary	2
80	corpsecity	2
80	pappaberg	2
80	ApophisNova	2
80	ougstur	2
80	AuroraSkies	2
80	audiocracked	2
80	handsome_strong	2
80	Meatlaugh	2
80	MightyWertu	2
80	Typadopoulos	2
80	ayamefag	2
80	bloomkieren	2
80	_TCARREIRA_	2
80	ConnorDanky_	2
80	EcksD	2
80	MyNamaSheff	2
80	vandmanden	2
80	JayToe	2
110	dabloons	1
110	diamondgolem35	1
110	SaucyDark	1
110	ITDV	1
110	MrKrabOnCoke	1
110	FirsTimeGamingTV	1
110	BobDeBouwer1337	1
110	m_be9	1
110	Smashic	1
110	emrekn	1
110	ROY4LE	1
110	hcb238	1
110	prizm_	1
110	WET_WET_WET	1
110	Fast_Turtle	1
110	Rebytre	1
110	AlexxO_o	1
110	J4ko8_	1
110	jewbacaman	1
110	yulgur1	1
110	luseis	1
110	RoofTyler	1
110	MyNameIsDakar	1
110	stavgod	1
110	TheEnderMan548	1
110	stellarjay	1
110	nonarso	1
110	Winston_Ingram	1
110	_AAZAR	1
