rank	username	minecraft:killed/minecraft:shulker
1	stahouo	2925
2	PigDab	2476
3	YungMaki	2147
4	masskedman	2090
5	PhantomsGhost_	2025
6	NameGenerat0r	1790
7	jnp_gaming	1570
8	TheSecondLord	1301
9	Historical_Sand	1276
10	noam464	1172
11	Sral7	1088
12	Fullut	971
13	mwrty	845
14	MightyWertu	763
15	Comma__	733
16	Di_infiri	714
17	Frozil12	698
18	Blaiku	675
19	yulgur1	656
20	6king6colt6	651
21	Racengan	639
22	Covalents	627
23	Hisiste	626
24	Dogcorn69420	548
25	Awyrlas	449
26	Spacewardharpy7	441
27	500am	436
28	Hyp3rion_	389
29	HellsSponge	380
30	thewindmillman	371
31	Maenara	367
32	Kowcio_	360
33	Mewar	351
34	SingedBread	321
35	Inchef	316
36	gcaisawesome	314
36	_TCARREIRA_	314
38	Bumpy419	310
39	claivin	307
40	eitanzaki	300
41	tartanboy	293
42	lcvezra	290
43	thescout7	283
44	surfinggiraffejp	281
45	vandmanden	274
46	Groundler	266
47	Onennon	264
48	Lepthymo	257
48	lizardfightclub	257
50	audiocracked	251
51	Jackattack53	250
52	gabriels543	247
53	ROY4LE	245
54	Werbe	233
55	lillips	230
56	beeperbeeper5	218
57	Skippeh	193
58	Inbefour	191
59	Freak_Genius	187
60	Iagoku	183
61	DTwenty	182
62	Winston_Ingram	174
63	501g	172
64	Enderslayerxz3	169
65	CollinMH06	167
66	kinas45y5	160
67	Blu3beast	159
68	ProbablyNick	156
69	Eraxa	151
70	eiC_	141
71	Ezekson	138
72	Xclax101	136
73	FishyBoy3811	133
73	wezzzi	133
75	AuroraValkyrie	132
76	Deodorante	127
77	MangoTheFish	126
77	Eczbek	126
79	Rasmanden	123
80	Zaridey	118
81	Ailmast	116
82	Rich_Kat	112
83	OG_Songsee	109
84	Smoke____	108
85	EcksD	105
86	Bandito_Roamer	103
86	__tomato	103
88	Donutt	102
89	T045RTY	98
90	fluddd	96
90	UrbanPlanner1978	96
92	Snowflowe	95
92	fred870d	95
92	Nagasaki_Riku	95
95	Noah_Bez	94
96	SellyZ	92
96	MustaLoordi	92
96	laron58	92
99	EveryonesUncle	91
100	MilleGrug	89
101	SkateboardR6	85
102	Ecplosive	83
103	TheSeismicDuck	82
103	FishisTTV	82
105	mariominejedi	78
105	Zythose	78
107	theonlymagikarp	77
108	Nycteus_	73
109	LilyNova	72
109	Shogunite	72
109	Hermanni__	72
112	MinttyFressh	71
113	shyshyannne	70
113	Segotep999	70
115	TheDumbHuman	67
115	TheEnderman548	67
117	ssleepless	66
118	nataliecool	63
119	awesomeoneme	61
119	MyNameIsJobo	61
121	ClemenPine	59
121	Gab4101	59
123	2blox	57
124	__TheNorseMan__	56
125	JayToe	55
126	Myszoaz	54
127	ApophisNova	52
127	MyNamaSheff	52
129	SvenskaHugo	51
130	TooManyDuck	50
130	himak1	50
132	fw3xywashere	49
132	chipklip	49
134	Euclidoris	47
134	set67	47
134	XboxPanda	47
134	Rumpletaezer	47
138	MissCeleste7	46
138	PlasticOtari	46
140	Houstonion	44
141	m_be9	43
142	jushykins	42
142	Razzgriz	42
144	ExtraDumb	40
145	AuroraSkies	39
146	MovingFish7	37
146	Fizznut909	37
148	Groovy_MoonBird	36
148	KG1999	36
148	CalebDHawk	36
151	xPixelRainx	34
151	Warlord324	34
151	Steelynan	34
154	1442	33
155	Scathra	32
155	pappaberg	32
157	Nicserso	31
158	MattieHD	30
158	ProbsNotNova	30
160	Swexti	29
161	CyrusIsTired	28
161	voiding_	28
161	Jij0	28
164	_naturell	26
165	domagawha	25
166	bigstankyy	24
166	_Razar	24
166	_Karmaa	24
166	stavgod	24
170	Rebytre	23
170	Quaintster	23
172	Barlycorn	20
173	Kakolbus	19
174	Dedalus36	18
175	pintsizedrogue	17
175	lordpipe	17
177	BodaciousCake	16
177	Avermu	16
177	Ender_Souls	16
177	Quotary	16
181	crying_wolf_13	15
181	striker90333	15
183	SvenskaAlvar	14
184	CoffeeNoir	13
184	censorsheep	13
184	stellarjay	13
184	AltnumberF4	13
188	ayamefag	12
188	Miko_Fullbuster	12
190	egglapras	11
190	fkGrim	11
190	MakeHistory157	11
190	ElectricDragon81	11
190	Strangemonkey71	11
190	PortlyPete69	11
196	Batman922	10
197	AlexxO_o	9
197	Dusk_95	9
197	geekbird	9
197	HesDemonPants	9
201	12Magner05	8
201	MrQuanQuan	8
203	Quincannon	7
203	MAns_44	7
203	GravitySaint	7
203	33sudo	7
207	SailiXX	6
207	Alteriity	6
207	Mahoose	6
207	rarrq	6
207	loveseeker	6
207	epiksk8erduck	6
207	ItsJWolff	6
207	Cocoamallows	6
207	Aryamanee	6
216	Gary_	5
216	redikul	5
216	seramalen	5
216	TheTrueClipse	5
220	FirsTimeGamingTV	4
220	RobotMinion101	4
220	WyngGoy	4
220	TechnoNinja64	4
224	soundad	3
224	JuuustYeet	3
224	TheShyPig	3
224	_k2x	3
224	SammiWolfGirl	3
224	Physics_Breaker	3
230	Incinere	2
230	zorin123	2
230	r123moore	2
230	WET_WET_WET	2
230	Shiirazuku	2
230	DarkS0L	2
230	BumbleBeever	2
230	Powowowow	2
238	teslawolf38	1
238	ImpavidArcher	1
238	SaucyDark	1
238	Seyaboy	1
238	kekhon	1
238	Lor1113	1
238	fade_emerge78823	1
238	TheDankPlatypus	1
238	Arceus1975	1
238	CruncyIsTaken	1
238	ToastedGamingYT	1
238	Akoot_	1
238	Karbl	1
238	Yahir091	1
238	Kijiki	1
238	felincaus	1
