rank	username	minecraft:killed/minecraft:horse
1	KingMatthew506	133
2	Arceus1975	82
3	masskedman	75
4	m_be9	61
5	Di_infiri	51
6	500am	48
7	wezzzi	35
8	Soplight	31
9	joethahobo	30
10	Njensen7	28
11	Hiryu27	27
12	Menthas	24
13	Blu3beast	23
13	oxfordschool	23
15	Frozil12	22
16	Akoot_	21
16	HellsSponge	21
16	claivin	21
16	Freak_Genius	21
16	fffMike	21
21	TheShyPig	20
21	DeGodz4life	20
23	Noah_Bez	19
24	Kubelz	18
24	WarMachina	18
24	Blaiku	18
27	beeperbeeper5	17
27	TheWildMateo	17
27	vandmanden	17
30	Seyaboy	16
30	h2p_emrld	16
32	dudcreeper	15
32	gabriels543	15
32	EfficientC52	15
35	gaziter10	14
35	coobert42	14
35	00000000-0000-0000-0009-01ff0c3e5e4f	14
38	EMC_	12
38	WhosJPG	12
38	KeruNatsema	12
38	chipklip	12
38	MyNameIsDakar	12
43	Drlzyy	11
43	KarlKaek	11
43	hcb238	11
43	jcool7	11
47	SharpDev	10
47	fluddd	10
47	Cocoamallows	10
50	PhantomsGhost_	9
50	Blackberry1310	9
50	12Magner05	9
50	AJbeast01	9
50	jnp_gaming	9
55	Bandito_Roamer	8
55	Ardennes	8
55	wiqor	8
55	noam464	8
55	Skylord_Luke	8
55	Steelynan	8
55	UrbanPlanner1978	8
62	Jovaphobic	7
62	abramgray	7
62	rarrq	7
62	TheSecondLord	7
62	o0z	7
62	Megarboh	7
62	AuroraSkies	7
62	DTwenty	7
62	Miko_Fullbuster	7
62	PlasticOtari	7
62	kinas45y5	7
62	Smoke____	7
74	Groovy_MoonBird	6
74	Harobrime	6
74	thescout7	6
74	DScatgirls	6
74	TheSeismicDuck	6
74	GoofyBread	6
74	Spacewardharpy7	6
74	YungMaki	6
74	Segotep999	6
74	djancak	6
74	Spenduh	6
74	GlitchyPlate810	6
74	EcksD	6
74	Enderslayerxz3	6
88	pintsizedrogue	5
88	SlowMoNinja1994	5
88	Killercatty78	5
88	eitanzaki	5
88	Prismyst	5
88	EvenMina	5
88	Fullut	5
88	Inchef	5
88	SeverianTheLame	5
88	Kakolbus	5
88	SuperPooch06	5
88	thewindmillman	5
88	pappaberg	5
88	bee_gorl	5
88	fred870d	5
88	LeGold	5
88	Myhym	5
88	Kim_Jong_eel	5
88	fw3xywashere	5
88	Wowful	5
88	GlitchMixed	5
88	SkateboardR6	5
88	Vorlice	5
88	deerm	5
112	chimpmunker	4
112	BlancoFlaco	4
112	lotarp	4
112	Vizzoid	4
112	corvidpartyfor6	4
112	UncreativeArtist	4
112	Scathra	4
112	Nach0Bear	4
112	beeleg	4
112	Motsaro	4
112	ImDisconnected_	4
112	Hyp3rion_	4
112	groofles	4
112	Meatlaugh	4
112	BigCronkin	4
112	Vraem	4
112	MovingFish7	4
112	Mistruth	4
112	VentiHilton	4
112	anbbang	4
132	Gary_	3
132	Merv__	3
132	shineh10	3
132	Sleek_Storm_721	3
132	Huwulling	3
132	kekhon	3
132	CyrusIsTired	3
132	Kamflame10	3
132	set67	3
132	egglapras	3
132	intropass	3
132	DrBalloon	3
132	Touched_Bread	3
132	ReverendSmith	3
132	SlayerCrypto	3
132	Ahketen	3
132	xambsam	3
132	DAD_1996	3
132	ApophisNova	3
132	p4lp	3
132	MinerDec	3
132	xo_Marren_xo	3
132	BlGChris	3
132	MinuteMira	3
132	lillips	3
132	Darkgon	3
132	Fuad_R	3
132	CurvedCubes	3
132	ElKaySVK	3
132	Nagasaki_Riku	3
132	ayamefag	3
132	IdeallyGrey	3
132	ReyTheLegend	3
132	SprinklerMan	3
132	Erased_Identity	3
132	Dr0xzy	3
132	MyNamaSheff	3
132	Nicserso	3
132	imaginek1d	3
132	2blox	3
132	remmisrat	3
173	RosaDoesMC	2
173	seanitoo	2
173	ImpavidArcher	2
173	RebelAndroid	2
173	SyntheticSurgeon	2
173	Batman922	2
173	Alteriity	2
173	Prodiginus	2
173	dopplexd	2
173	Auseawesome	2
173	boog4loo	2
173	Bolete	2
173	AJplaysMC_	2
173	Snowflowe	2
173	jillian12345	2
173	The11thDoctor	2
173	cedric72	2
173	YahooScreen9000	2
173	Drewen24	2
173	Deathkob	2
173	Lutres_Torane	2
173	El_Jalapeno	2
173	carpet4_69	2
173	RedcatVII	2
173	Aftrbrnr	2
173	Warlord324	2
173	sleep444	2
173	Xovalt_	2
173	Sank34	2
173	brofrickcheaters	2
173	Juh1s	2
173	microcrisp	2
173	luckykill123	2
173	Luigipunch989	2
173	Poppy235	2
173	obzii	2
173	Sheldor097	2
173	Kferno	2
173	Kubeusz2010	2
173	Ezekson	2
173	SpaceTurtleOX	2
173	AstroLightz_	2
173	PA_Tech_Gaming	2
173	camando92	2
217	biiirr	1
217	nataliecool	1
217	teslawolf38	1
217	SirUnderpants	1
217	error10101	1
217	ssleepless	1
217	itburb	1
217	baxteerr	1
217	imthatpikachu	1
217	CoffeeNoir	1
217	awesomeoneme	1
217	Simon_Lowell	1
217	Jackster03	1
217	ShedJr_	1
217	tramizu	1
217	Genuss	1
217	Stynxy	1
217	prelutrinae	1
217	Under1	1
217	NasdaqCrash	1
217	jushykins	1
217	TheThomas69	1
217	_Dean_123	1
217	G1ldor	1
217	Scattman_	1
217	TheBaconKing44	1
217	Billeison	1
217	ROY4LE	1
217	__TheNorseMan__	1
217	Paintz	1
217	Yuvl	1
217	mimbo1211	1
217	Marbz_	1
217	loveseeker	1
217	XLIFluid	1
217	Jackattack53	1
217	Chromary	1
217	F_22_	1
217	PumpkinPie1600	1
217	_8man	1
217	CowOfTheNile	1
217	Werbe	1
217	RobotMinion101	1
217	ooga47	1
217	Roosje69	1
217	Onennon	1
217	KartivGal	1
217	HAPPYfaceO1	1
217	unren	1
217	PigDab	1
217	xKhoshekh	1
217	Jonte0599	1
217	jewbacaman	1
217	TeenMomTom	1
217	Kryktal	1
217	magmaniacmc	1
217	RodSerlingCringe	1
217	Maenara	1
217	Sky_light_KING	1
217	ILoveCarrot	1
217	SpookyDraggin	1
217	kravisni	1
217	Jiminbub	1
217	fkGrim	1
217	sparkles_dudly	1
217	shrimp_flips	1
217	Dooinfe	1
217	geekbird	1
217	xRookiie	1
217	OG_Songsee	1
217	AdiCatGaming	1
217	carbo_bro	1
217	TheEnderman548	1
217	kyouma777	1
217	Decaying_Lotus	1
217	pixelviolin	1
217	Kijiki	1
217	BioKing99	1
217	SSytex_X	1
217	non089	1
217	DennyKai	1
217	how_are_you	1
217	K_a__a_n	1
217	jakobjepp	1
