rank	username	minecraft:killed/minecraft:zombified_piglin
1	Hyp3rion_	4038474
2	Blaiku	2333941
3	thewindmillman	1746688
4	Spacewardharpy7	682900
5	PigDab	611203
6	noam464	609982
7	Marbz_	211391
8	eitanzaki	188315
9	Frozil12	132232
10	Spenduh	67648
11	EcksD	58014
12	Kakolbus	39858
13	joethahobo	38251
14	Lord_Jord	26057
15	NomadicRobin_	23529
16	ImpavidArcher	19478
17	KG1999	18174
18	Di_infiri	16002
19	_Virify_	15377
20	lillips	14493
21	gcaisawesome	14048
22	Legendosh	10041
23	Jackattack53	9276
24	Smoke____	7537
25	thescout7	4007
26	Hisiste	3859
27	M_Patata	2774
27	MasterNueve	2774
29	yulgur1	1908
30	MinttyFressh	1688
31	r123moore	1494
32	himak1	1257
33	bloodbiter	802
34	hm947	782
35	fade_emerge78823	651
36	DanTheBuilderino	642
37	HellsSponge	448
38	fred870d	412
39	Freak_Genius	363
40	Merv__	338
41	Arceus1975	332
42	DanielMmm	326
43	Leyna3	316
44	XboxPanda	264
45	Skippeh	262
46	claivin	228
47	RebelAndroid	223
48	2blox	205
49	Segotep999	202
50	wezzzi	194
51	kekhon	191
52	Fullut	183
53	Groovy_MoonBird	176
53	beeperbeeper5	176
55	titanlax	161
56	chipklip	154
57	jnp_gaming	141
58	LetsDoItLive	138
59	TooManyDuck	137
59	Powowowow	137
61	Zoeyfortnite	133
61	h2p_emrld	133
63	Soplight	132
64	set67	131
64	SuperStreetCat	131
66	pintsizedrogue	128
67	wwwwinnebagoooo	127
67	Nicserso	127
69	mihimihimihi	123
70	mwrty	118
71	__tomato	112
72	Akoot_	103
73	rarrq	96
74	AltnumberF4	95
75	Ezekson	93
76	Dedalus36	84
77	H72l9w	78
77	YungMaki	78
79	stahouo	75
79	smogfrog	75
81	djancak	73
82	Maenara	71
83	_Nuf	68
83	AnnieBathory	68
85	SaucyDark	67
85	Nach0Bear	67
87	Historical_Sand	62
87	Physics_Breaker	62
89	Agent108	61
89	diggydog67	61
91	_Dean_123	60
91	ROY4LE	60
93	Mahoose	58
94	Lutres_Torane	55
95	Eraxa	54
95	Kyrum2169	54
97	MightyWertu	51
98	m_be9	49
98	Kubelz	49
100	Njensen7	48
101	TheSecondLord	46
102	Rumpletaezer	45
103	Alteriity	44
103	Blu3beast	44
105	Euclidoris	43
105	Lor1113	43
107	Menthas	42
107	NotMeowMix	42
109	_Karmaa	41
110	lotarp	40
110	Groundler	40
112	PhantomsGhost_	39
112	Cryptacity	39
112	WET_WET_WET	39
115	Enderslayerxz3	38
116	SuperPooch06	37
116	ATurtle4936	37
118	SkateboardR6	36
119	MattieHD	35
120	T045RTY	34
120	MilleGrug	34
122	Awyrlas	32
122	Winklepicker279	32
124	Blackberry1310	30
125	burbankbuilder28	29
125	Mattesco	29
125	fluddd	29
128	PortlyPete69	28
129	Smashic	27
129	cichy096	27
129	PlasticOtari	27
132	Snowflowe	26
132	Rebytre	26
132	TechnoNinja64	26
135	MoistEggo	25
135	500am	25
137	Jiminie	24
137	censorsheep	24
137	pixelviolin	24
140	RedcatVII	23
141	Sleek_Storm_721	22
141	Xalithia	22
141	fw3xywashere	22
144	KarlKaek	21
144	LexMakesHistory	21
146	Skylord_Luke	20
146	Nycteus_	20
146	SingedBread	20
146	monky_irl	20
146	brofrickcheaters	20
146	fffMike	20
146	oxfordschool	20
146	trexgb	20
154	Jovaphobic	19
154	ShedJr_	19
154	Racengan	19
154	WyngGoy	19
154	Sral7	19
159	I_Am_Mushkin	18
159	ToastedGamingYT	18
159	Wowful	18
162	EMC_	17
162	Franco093	17
162	Inbefour	17
165	ciemacigans	16
165	Chromary	16
165	Zythose	16
165	CruncyIsTaken	16
165	Sheldor097	16
165	FishisTTV	16
171	Travasaur	15
171	Hiryu27	15
171	lcvezra	15
171	alderban107	15
175	bigstankyy	14
175	Killercatty78	14
175	HolyVenom	14
178	Touched_Bread	13
178	RodSerlingCringe	13
178	masskedman	13
178	TheALV	13
182	AuroraValkyrie	12
182	Da_Boss_Rani	12
182	NieToksikpl	12
182	jushykins	12
182	12Magner05	12
182	Inchef	12
182	gabriels543	12
182	Werbe	12
182	Luigipunch989	12
182	GlitchyPlate810	12
182	Nargotah	12
182	kinas45y5	12
194	Swexti	11
194	Bumpy419	11
194	EveryonesUncle	11
194	the_russell1611	11
198	BlancoFlaco	10
198	Incinere	10
198	CoffeeNoir	10
198	MSK__	10
198	Nagasaki_Riku	10
198	Kijiki	10
198	BreadBacon	10
205	NinjaKnifeKill	9
205	ayqq	9
205	El_Jalapeno	9
205	the__Reaper4999	9
209	SyntheticSurgeon	8
209	ItsDeltaMC	8
209	Kowcio_	8
209	Slapface522	8
213	Drlzyy	7
213	q_wq	7
213	Hpdinosaur	7
213	Afinnity	7
213	FishyBoy3811	7
213	MyNameIsDakar	7
213	Fuad_R	7
213	DeGodz4life	7
213	Dusk_95	7
213	TheEnderman548	7
213	obzii	7
213	jcool7	7
213	ZeroKraken	7
213	Eczbek	7
213	EcksDofficial	7
213	CrazyPotater	7
229	ExtraDumb	6
229	ccwildfire1	6
229	CliffEmAll	6
229	Ardennes	6
229	UncreativeArtist	6
229	CrateOfBoxes	6
229	Shiirazuku	6
229	TheShyPig	6
229	KliBeast21	6
229	Lord_Zacler	6
229	fkGrim	6
229	DemTechAlpha	6
229	Hermanni__	6
229	Miko_Fullbuster	6
229	RadarHz	6
244	Cowison	5
244	6king6colt6	5
244	Lez_	5
244	tramizu	5
244	heckface	5
244	CyrusIsTired	5
244	Kamflame10	5
244	egglapras	5
244	xxPipperDipperxx	5
244	mimbo1211	5
244	MangoTheFish	5
244	Quincannon	5
244	Zetsey	5
244	Kubeusz2010	5
244	FelixPSY375	5
244	Jordan_R	5
244	00000000-0000-0000-0009-01fbab7ea71d	5
261	Tommhh	4
261	tuckerdoodle	4
261	xPixelRainx	4
261	TheThomas69	4
261	crying_wolf_13	4
261	Moofyman	4
261	binman420	4
261	DTwenty	4
261	NoChumpChange	4
261	Deathkob	4
261	NameGenerat0r	4
261	Toriankel	4
261	Ze_BaronKrigler	4
261	AssFullaCum	4
261	ediballbearings	4
261	CalebDHawk	4
261	Winston_Ingram	4
261	tartanboy	4
261	Wolverine4302	4
261	MeetTheWollo	4
261	YoshikageBites	4
282	TheBiggestFeller	3
282	peachfuzz1267	3
282	RoskobiOne	3
282	Paint	3
282	diamondgolem35	3
282	error10101	3
282	MrKrabOnCoke	3
282	TheFlfthHorseman	3
282	Auseawesome	3
282	ProfessorBee	3
282	Sloths_Ender	3
282	noodlepack	3
282	DermeinUser	3
282	CollinMH06	3
282	Silvo614	3
282	420BreadLizard	3
282	NYJ	3
282	DarlaMeow	3
282	StinkyDiplomat	3
