rank	username	minecraft:killed/minecraft:pillager
1	thewindmillman	296795
2	EcksD	210431
3	Fuad_R	46700
4	noam464	46668
5	Spacewardharpy7	20633
6	Da_Boss_Rani	9973
7	Smoke____	6444
8	beeperbeeper5	5862
9	EMC_	4549
10	Sral7	1515
11	pintsizedrogue	1496
12	Soplight	1358
13	Lord_Jord	1257
14	FelixPSY375	1248
15	HellsSponge	1086
16	Historical_Sand	1058
17	Hyp3rion_	846
18	Werbe	842
19	Merv__	833
20	dimondking777	776
21	eitanzaki	746
22	Alteriity	684
23	12Magner05	553
24	Onennon	537
25	Legendosh	493
26	YungMaki	489
27	TechnoNinja64	389
28	audiocracked	385
29	RebelAndroid	355
30	sp00ky_ghost977	322
31	FirsTimeGamingTV	308
32	NatalieTW	288
33	Skippeh	286
34	Di_infiri	265
35	rarrq	224
36	claivin	207
37	Tyrannosplart	201
38	Vizzoid	197
39	TheShyPig	175
40	RealGroot	163
41	Snowflowe	157
42	emrekn	149
43	Jackattack53	141
44	I_Am_Mushkin	140
45	Blaiku	136
46	fw3xywashere	135
47	Eraxa	131
48	Maenara	123
49	kekhon	122
50	Blu3beast	116
51	Enderxz3	107
52	Fullut	106
53	Bumpy419	105
54	gren_ben	104
55	WyngGoy	100
56	mwrty	98
57	Arceus1975	91
58	ougstur	90
59	Mahoose	86
60	T045RTY	84
61	Akoot_	81
62	PhantomsGhost_	79
63	ooga47	78
63	AuroraSkies	78
65	thescout7	76
66	TheSecondLord	71
67	_TCARREIRA_	70
68	MattieHD	69
69	_Karmaa	65
70	_Virify_	63
71	M_Patata	61
71	MasterNueve	61
73	m_be9	60
73	BreadBacon	60
75	GlitchyPlate810	59
76	RoskobiOne	57
76	J4ko8_	57
76	vandmanden	57
79	KarlKaek	55
79	F_Uhre	55
81	Kim_Jong_eel	53
82	Lutres_Torane	52
82	TheOuterCore	52
84	Bandito_Roamer	50
84	Hpdinosaur	50
86	joethahobo	49
86	Blackberry1310	49
88	MovingFish7	48
88	Juh1s	48
88	JayToe	48
91	xzvu	47
91	Powowowow	47
93	ThePoliteG	46
93	ImDisconnected_	46
95	ediballbearings	43
96	Rumpletaezer	41
96	Steelynan	41
98	Hiryu27	40
98	Quaintster	40
98	MightyWertu	40
101	Ecplosive	39
101	Ezekson	39
103	AuroraValkyrie	38
103	Frozil20	38
105	bloodbiter	37
106	SaucyDark	36
106	Meatlaugh	36
108	Valoth	35
108	Kyrum2169	35
110	set67	34
110	Zaridey	34
110	Hisiste	34
110	diggydog67	34
114	youhjjhhhjj	33
114	Dusk_95	33
114	Luigipunch989	33
114	h2p_emrld	33
118	stellarjay	32
119	pappaberg	31
120	SkateboardR6	30
121	ivorico	29
121	Covalents	29
121	mihimihimihi	29
124	ROY4LE	28
124	Typadopoulos	28
126	G1ldor	27
126	MustaLoordi	27
126	UrbanPlanningEx	27
129	eiC_	26
129	fluddd	26
129	Barlycorn	26
132	hm947	25
132	AlexxO_o	25
132	Inbefour	25
132	ConnorDanky_	25
136	6king6colt6	24
136	Natty	24
136	stevewithclout	24
136	Frxnkz	24
136	SaintJosie	24
136	SvenskaHugo	24
136	Winston_Ingram	24
143	yulgur1	23
143	lordpipe	23
