rank	username	minecraft:killed/minecraft:endermite
1	jcool7	63
2	gcaisawesome	59
3	Hyp3rion_	43
4	Hisiste	41
5	Merv__	37
6	xzvu	36
7	oscminus	34
7	claivin	34
9	Blu3beast	32
10	TechnoNinja64	31
11	rarrq	27
11	Jackattack53	27
13	kekhon	26
14	MightyWertu	25
14	Eraxa	25
16	Frozil20	24
16	Blackberry1310	24
18	Wowful	22
19	RebelAndroid	17
19	Mahoose	17
19	diggydog67	17
22	Historical_Sand	16
22	beeperbeeper5	16
22	Tyrannosplart	16
25	TheSecondLord	15
25	Segotep999	15
25	Legendosh	15
28	pintsizedrogue	14
28	Fullut	14
28	MovingFish7	14
31	noam464	13
31	ItsMrRamen	13
31	Skippeh	13
34	El_Jalapeno	12
34	pixelviolin	12
36	SuperPooch06	11
36	AdmiralSmoke	11
38	Rebytre	10
38	Akoot_	10
38	Blaiku	10
38	Groundler	10
42	Groovy_MoonBird	9
42	SmashingPump	9
42	eitanzaki	9
42	Comma__	9
42	Krowuss	9
42	fw3xy74	9
42	shrimp_flips	9
49	jimintyy	8
49	T045RTY	8
49	H72l9w	8
49	Di_infiri	8
49	pappaberg	8
49	Deathkob	8
49	fluddd	8
49	SkateboardR6	8
49	Soplight	8
49	PortlyPete69	8
49	CalebDHawk	8
49	Kubeusz2010	8
49	PlasticOtari	8
62	fanofbands101	7
62	teslawolf38	7
62	SyntheticSurgeon	7
62	fr_ser	7
62	yheece	7
62	sp00ky_ghost977	7
62	ConnorDanky_	7
62	jnp_gaming	7
70	ItsColin11	6
70	ImpavidArcher	6
70	Killercatty78	6
70	joethahobo	6
70	jushykins	6
70	mwrty	6
70	M_Patata	6
70	Snowflowe	6
70	AlexxO_o	6
70	Maenara	6
70	wezzzi	6
70	Spacewardharpy7	6
70	MasterNueve	6
70	WyngGoy	6
70	Spenduh	6
70	SammiWolfGirl	6
70	Ezekson	6
70	EcksD	6
88	CloroxBleach385	5
88	Hpdinosaur	5
88	Alteriity	5
88	Myszoaz	5
88	heckface	5
88	set67	5
88	Inchef	5
88	CollinMH06	5
88	Rumpletaezer	5
88	Arceus1975	5
88	thewindmillman	5
88	ApophisNova	5
88	TheShyPig	5
88	ReSynced	5
88	EveryonesUncle	5
88	lillips	5
88	Nycteus_	5
88	Barlycorn	5
88	lordpipe	5
88	stavgod	5
88	Steelynan	5
88	MyNamaSheff	5
88	Enderxz3	5
88	Powowowow	5
88	Sral7	5
88	skrongus	5
114	seanitoo	4
114	_Virify_	4
114	ProbablyNick	4
114	KarlKaek	4
114	Da_Boss_Rani	4
114	Frxnkz	4
114	Auseawesome	4
114	BlueZabu	4
114	Winklepicker279	4
114	BRRRN179	4
114	ougstur	4
114	Leyna3	4
114	LeonelSalamanca	4
114	masskedman	4
114	layabout100	4
114	33sudo	4
114	__tomato	4
114	SpacesickPrism	4
114	laron58	4
114	Jimb0nat0r	4
114	_Dri_	4
114	h2p_emrld	4
136	Apollo_993	3
136	PazinGaming	3
136	AuroraValkyrie	3
136	ECstardust	3
136	diamondgolem35	3
136	bigstankyy	3
136	hm947	3
136	_Razaria	3
136	Incinere	3
136	AlazelTheReal	3
136	MOSS000	3
136	Euclidoris	3
136	titanlax	3
136	Jakobo1337	3
136	m_be9	3
136	ProfessorBee	3
136	_Dean_123	3
136	500am	3
136	lorpus	3
136	emrekn	3
136	eiC_	3
136	XboxPanda	3
136	Rocketlaunchers	3
136	Chromary	3
136	Onennon	3
136	Kynigito	3
136	Gmoney390	3
136	IamCL4SSY	3
136	DTwenty	3
136	luseis	3
136	Deodorante	3
136	NYJ	3
136	CuzIm2Kev	3
136	Meatlaugh	3
136	JESS_THE_RERE	3
136	_Karmaa	3
136	Quaintster	3
136	FreakGenius	3
136	Racengan	3
136	SUN_DREAM	3
136	radioactv_jelly	3
136	Cocoamallows	3
136	Kura2218	3
136	_Mythic____	3
136	YungMaki	3
136	BlankityMcBlank	3
136	SSytex_X	3
136	_i_ERROR_i_	3
