rank	username	minecraft:killed/minecraft:sheep
1	HellsSponge	538
2	corvidpartyfor6	505
3	joethahobo	502
4	Blackberry1310	495
5	k_ce	468
6	Mahoose	398
6	Moofyman	398
8	EMC_	370
9	NatalieTW	368
10	djancak	357
11	SaucyDark	316
12	Frozil20	311
13	burbankbuilder28	294
14	Di_infiri	278
15	kekhon	274
16	VentiHilton	260
17	monky_irl	257
18	YungMaki	245
19	Snowflowe	243
20	TheShyPig	230
21	The11thDoctor	228
22	EveryonesUncle	214
23	pintsizedrogue	207
23	QuiCreans	207
25	oscminus	204
26	claivin	194
27	Kowcio_	175
28	Kakolbus	169
28	00000000-0000-0000-0009-01ff0c3e5e4f	169
30	KingMatthew506	163
31	KarlKaek	156
32	500am	154
33	SuperPooch06	149
34	Blu3beast	143
35	Enderxz3	140
36	beeperbeeper5	137
37	RebelAndroid	135
38	starbits140	130
39	BlancoFlaco	126
39	El_Jalapeno	126
41	Yamdalorian	125
42	Secret_Canary	120
43	StarCookiees_	118
44	Hyp3rion_	114
45	abdomera	113
46	noam464	112
46	Segotep999	112
48	legal_tax_evader	110
49	mwrty	108
50	yulgur1	107
51	PeteO1995	104
51	Tyrannosplart	104
53	UrbanPlanningEx	103
54	gren_ben	102
54	AnnieBathory	102
56	Groovy_MoonBird	99
56	6king6colt6	99
58	BumbleBeever	96
59	Akoot_	95
60	Werbe	93
60	Legendosh	93
62	Xclax101	92
63	thescout7	91
63	Skylord_Luke	91
65	m_be9	90
65	_Cloverbelle_	90
67	eitanzaki	89
67	sufjanlover	89
67	Blaiku	89
70	PhantomsGhost_	87
71	trixterrx	86
71	Spacewardharpy7	86
73	Spenduh	84
74	T045RTY	83
75	goldyx	81
75	Vetral1	81
77	shineh10	79
77	Cruncy_	79
79	CLG_Kata	77
79	FreakGenius	77
79	Njensen7	77
82	ayamefag	74
83	Pofen	73
83	ee_echo_oo	73
85	ProfessorBee	71
85	ConnorDanky_	71
87	_Karmaa	70
88	CharlieButt	69
89	Inchef	68
89	Jackattack53	68
91	SpartanNamor	67
91	EcksD	67
91	Kateesaur	67
94	Luigipunch989	66
95	yheece	65
96	brofrickcheaters	64
96	Wolverine4302	64
98	lordpipe	63
99	excelsionprime	62
100	set67	60
100	SpicyMeatballs	60
102	RedcatVII	58
102	jnp_gaming	58
104	TheSecondLord	57
104	intropass	57
104	kkatsuragi	57
104	IAmTheWalrus910	57
104	sp00ky_ghost977	57
104	alanbleachdemon	57
110	hanaryheatwave	56
110	EdGalbraith	56
110	Jiminbub	56
113	spellmre	55
114	dopplexd	54
114	Maenara	54
114	fluddd	54
114	taengoos	54
118	Tersea_	53
118	Comma__	53
118	pappaberg	53
121	Pelbo	52
121	Nach0Bear	52
123	KlausVonStiglitz	51
123	Rainaldus	51
125	I_Am_Mushkin	50
125	Killercatty78	50
125	301851	50
125	IdeallyGrey	50
129	Bandito_Roamer	49
129	bigstankyy	49
129	Rumpletaezer	49
129	3_Solar_3	49
129	Synthoum	49
134	tartanboy	48
134	ALoafOfBreadn	48
134	annebolyn	48
134	trexgb	48
138	hcb238	47
138	Skippeh	47
140	PaperCanvas	46
140	EngagedGrub41	46
142	MoistMicrowave	45
142	Winklepicker279	45
144	Giannism	44
144	SkateboardR6	44
144	Nicserso	44
144	h2p_emrld	44
148	lcn	43
148	ImpavidArcher	43
148	Minimize501	43
148	rarrq	43
148	Cache3	43
148	Erased_Identity	43
154	Ninzyyy	42
154	mimbo1211	42
154	BigCronkin	42
157	UltimuShadow	41
157	MattieHD	41
157	SeverianOfUrth	41
157	fffMike	41
161	Mowelan	40
161	TooManyDuck	40
161	Myrlewen	40
161	Arceus1975	40
161	St4nLe7	40
166	Huwulling	39
166	xxPipperDipperxx	39
166	Dakar_	39
166	Bloo2406	39
170	Merv__	38
170	CoffeeNoir	38
170	Touched_Bread	38
173	iElijahi	37
173	wezzzi	37
173	Hahaa_0	37
173	ebanana	37
173	TheSandwhich_	37
178	i2f8x4h8ro	36
178	Blazebit	36
178	Windo_licker	36
178	420BreadLizard	36
178	MinuteMira	36
183	Groyperbuscus	35
183	emrekn	35
183	CollinMH06	35
183	SingedBread	35
183	Ze_BaronKrigler	35
188	Froste131	34
188	_Dean_123	34
188	Scathra	34
188	Kryktal	34
188	luseis	34
188	Quaintster	34
188	Toriankel	34
195	lunaticusx	33
195	KermitTheKripple	33
197	Myszoaz	32
197	FirsTimeGamingTV	32
197	Prodiginus	32
197	Fullut	32
197	fragrantmonke444	32
197	NomadicRobin_	32
197	masskedman	32
197	MAns_44	32
197	Kura2218	32
197	Kubeusz2010	32
197	Ezekson	32
208	tuckerdoodle	31
208	Batman922	31
208	Alteriity	31
208	TheFlfthHorseman	31
208	GingerNeutron	31
208	eiC_	31
208	Lord_Jord	31
208	smogfrog	31
208	Zoeyfortnite	31
217	ECstardust	30
217	Vizzoid	30
217	Enigma0251	30
217	TheRoboSock	30
221	Lepthymo	29
221	Historical_Sand	29
221	2extreeme	29
221	Bumpy419	29
221	Inconvenionce	29
221	PabloGonza02	29
221	Decaying_Lotus	29
221	CoryJJ	29
229	xExpresso	28
229	MuffinManzz	28
229	seanitoo	28
229	Xalithia	28
229	Kubelz	28
229	Invisie	28
229	Eraxa	28
236	SugarMyNuggets	27
236	Apollo_993	27
236	Incinere	27
236	SailiXX	27
236	fade_emerge78823	27
236	TheDankPlatypus	27
236	thewindmillman	27
236	censorsheep	27
236	Typadopoulos	27
245	hm947	26
245	MrKrabOnCoke	26
245	ccormacs	26
245	F_Uhre	26
245	Kynigito	26
245	Russiancat1	26
245	babyjimmyneutron	26
245	obzii	26
245	camando92	26
254	Reamdin	25
254	_Nat666	25
254	Tjhodskins19	25
254	Glowhetic	25
254	Kouridragon	25
254	Inbefour	25
254	MightyWertu	25
254	ProfessorDiaper	25
254	ElKaySVK	25
263	soundad	24
263	SlowMoNinja1994	24
263	Jokerman369	24
263	DAD_1996	24
263	Avocadogerms	24
263	Shin69	24
263	Trioxide	24
263	skitzxo	24
271	livingdaydreams	23
271	Julmish	23
271	MinttyFressh	23
271	RobotMinion101	23
271	fkGrim	23
271	Fildyr	23
271	Eczbek	23
278	BPTY4618	22
278	KingFaenor	22
278	Tommhh	22
278	_Razaria	22
278	Natty	22
278	Dipjol	22
278	Z22n	22
278	akap47	22
278	TheThomas69	22
278	shadowthemonkey	22
278	zToasty69z	22
278	Lutres_	22
278	Warlord324	22
278	Hisiste	22
278	33sudo	22
278	Vamperouge	22
278	PortlyPete69	22
278	FormulaNewt3627	22
296	maxdacatv2	21
296	gaziter10	21
296	ratglock	21
296	bloodbiter	21
296	MrExplorer	21
