rank	username	minecraft:killed/minecraft:mooshroom
1	lordpipe	2163
2	YungMaki	658
3	ediballbearings	591
4	Sral7	326
5	diggydog67	262
6	Di_infiri	186
7	noam464	155
8	Marbz_	141
9	MightyWertu	138
10	mariominejedi	131
11	MinttyFressh	100
12	Blaiku	92
13	mwrty	83
13	oscminus	83
13	claivin	83
16	LeeMcGee30	77
17	pintsizedrogue	70
18	_Nuf	65
19	GravitySaint	61
20	kubinek69	59
21	eitanzaki	56
22	Hyp3rion_	54
23	HellsSponge	47
24	KingFaenor	37
24	ImpavidArcher	37
26	joethahobo	32
26	Steelynan	32
28	EMC_	28
29	Historical_Sand	25
30	thewindmillman	23
31	Spacewardharpy7	22
32	Lepthymo	21
33	titanlax	20
33	Notta	20
35	gcaisawesome	19
36	anbbang	18
37	ProbsNotNova	14
38	k_ce	13
38	sxc_	13
40	Jamstroxian	11
41	Sleek_Storm_721	10
42	SUN_DREAM	9
43	VentiHilton	8
44	Jackattack53	7
44	PigDab	7
44	jnp_gaming	7
47	HyperCave	6
47	Drewen24	6
47	HesDemonPants	6
50	Druid95	5
50	IdeallyGrey	5
50	ConnorDanky_	5
50	Wolverine4302	5
54	m_be9	4
54	xxPipperDipperxx	4
54	WET_WET_WET	4
57	ECstardust	3
57	Werbe	3
57	AuroraSkies	3
60	Jovaphobic	2
60	Kuragari_	2
60	beeperbeeper5	2
60	TheSecondLord	2
60	DeeDeeThonk	2
60	TheShyPig	2
60	OverallConcept	2
60	Spenduh	2
68	xXTheWolfmanXx	1
68	SirUnderpants	1
68	T045RTY	1
68	tramizu	1
68	AlejandroPH1	1
68	Tiberonus	1
68	_Dean_123	1
68	Inchef	1
68	hanaryheatwave	1
68	_Boipl_	1
68	HeraclesOGU	1
68	Tyrannosplart	1
68	Manaateee	1
68	aruzs	1
68	Segotep999	1
68	xzvu	1
68	Njensen7	1
68	Legendosh	1
68	skrongus	1
