rank	username	minecraft:killed/minecraft:ender_dragon
1	RealGroot	11
2	Jackattack53	8
3	Inchef	5
3	xzvu	5
5	joethahobo	4
5	noam464	4
5	HellsSponge	4
5	33sudo	4
9	eitanzaki	3
9	Mahoose	3
9	beeperbeeper5	3
9	TheSecondLord	3
9	mwrty	3
9	Tyrannosplart	3
9	NameGenerat0r	3
9	SingedBread	3
9	Cocoamallows	3
9	jnp_gaming	3
9	TechnoNinja64	3
9	h2p_emrld	3
21	Historical_Sand	2
21	xxPipperDipperxx	2
21	Hyp3rion_	2
21	Rasmanden	2
21	Wowful	2
21	MightyWertu	2
21	Spacewardharpy7	2
21	Eczbek	2
21	Ezekson	2
21	EcksD	2
21	Smoke____	2
32	pintsizedrogue	1
32	dabloons	1
32	AuroraValkyrie	1
32	teslawolf38	1
32	Frozil20	1
32	Sleek_Storm_721	1
32	ImpavidArcher	1
32	SaucyDark	1
32	TooManyDuck	1
32	T045RTY	1
32	ThiccExotic	1
32	FirsTimeGamingTV	1
32	Vizzoid	1
32	Blackberry1310	1
32	Comma__	1
32	bloodbiter	1
32	MattieHD	1
32	Fullut	1
32	ROY4LE	1
32	gcaisawesome	1
32	NotKaden_	1
32	Zaridey	1
32	Di_infiri	1
32	thewindmillman	1
32	Snowflowe	1
32	MangoTheFish	1
32	Donutt	1
32	Bumpy419	1
32	Rebytre	1
32	ApophisNova	1
32	Werbe	1
32	xDraggin	1
32	NomadicRobin_	1
32	audiocracked	1
32	masskedman	1
32	1442	1
32	claivin	1
32	Blu3beast	1
32	Xclax101	1
32	fluddd	1
32	Blaiku	1
32	SkateboardR6	1
32	Dusk_95	1
32	stavgod	1
32	Eraxa	1
32	Jij0	1
32	YungMaki	1
32	AssFullaCum	1
32	UCP_TheKingK	1
32	__tomato	1
32	alderban107	1
32	BreadBacon	1
32	MyNamaSheff	1
32	Enderxz3	1
32	HesDemonPants	1
32	MirielThePastor	1
32	PlasticOtari	1
