rank	username	minecraft:killed_by/minecraft:rabbit
1	lordpipe	117
2	joethahobo	25
3	Mahoose	7
4	TechnoNinja64	5
5	Werbe	4
5	AssEatrAndLicker	4
5	MakeHistory157	4
5	YungMaki	4
9	PhantomsGhost_	2
9	rarrq	2
9	Inchef	2
9	Zen_Rain	2
9	Akoot_	2
9	DarlaMeow	2
15	Groovy_MoonBird	1
15	Dedalus36	1
15	eitanzaki	1
15	beeperbeeper5	1
15	kekhon	1
15	AdvertisingMerc	1
15	SteveCraftBlocks	1
15	SuperPooch06	1
15	Arceus1975	1
15	Zythose	1
15	claivin	1
15	DanTheBuilderino	1
15	Eraxa	1
15	Ezekson	1
15	EcksD	1
15	Enderslayerxz3	1
15	jnp_gaming	1
