rank	username	minecraft:killed_by/minecraft:pufferfish
1	Ezekson	133
2	joethahobo	11
2	h2p_emrld	11
4	Werbe	10
5	Blackberry1310	9
5	CarltheCuck	9
5	Akoot_	9
8	Zoeyfortnite	7
9	ShedJr_	4
9	Historical_Sand	4
9	beeperbeeper5	4
9	bloodbiter	4
9	Nicky_H225	4
9	kekhon	4
9	SuperPooch06	4
16	rarrq	3
16	pumpfonzo	3
16	Jackattack53	3
16	chipklip	3
16	Blu3beast	3
16	EcksDofficial	3
22	Mahoose	2
22	tsohomie	2
22	noam464	2
22	The11thDoctor	2
22	Onennon	2
22	SpookyDraggin	2
22	DarlaMeow	2
22	lordpipe	2
22	Skippeh	2
22	Nicserso	2
22	kinas45y5	2
33	Bandito_Roamer	1
33	Mr_Byzantine	1
33	xyct	1
33	ImpavidArcher	1
33	eitanzaki	1
33	Blobcat29	1
33	eclipseboi	1
33	egglapras	1
33	Inchef	1
33	xxPipperDipperxx	1
33	Kakolbus	1
33	CollinMH06	1
33	MyNameIsJobo	1
33	Di_infiri	1
33	Chromary	1
33	Hyp3rion_	1
33	_Boipl_	1
33	Voxin2K	1
33	RobotMinion101	1
33	Kynigito	1
33	SvenskaAlvar	1
33	TheShyPig	1
33	Maenara	1
33	NomadicRobin_	1
33	Jiminie	1
33	jambvds	1
33	Soap_Bender	1
33	HellsSponge	1
33	_Karmaa	1
33	Templar_David	1
33	Groundler	1
33	YungMaki	1
33	stahouo	1
33	SammiWolfGirl	1
33	_TCARREIRA_	1
33	CalebDHawk	1
33	alderban107	1
33	oxfordschool	1
33	Coach_Barkley	1
33	Sral7	1
33	Smoke____	1
