rank	username	minecraft:killed_by/minecraft:witch
1	Freak_Genius	9
2	EcksD	4
3	VanJosh	3
3	El_Jalapeno	3
3	Smoke____	3
6	Elprone266	2
6	KarlKaek	2
6	eitanzaki	2
6	youhjjhhhjj	2
6	joethahobo	2
6	Blackberry1310	2
6	kekhon	2
6	xxPipperDipperxx	2
6	MyNameIsJobo	2
6	Jackattack53	2
6	Werbe	2
6	NomadicRobin_	2
6	HellsSponge	2
6	lordpipe	2
6	stahouo	2
6	SammiWolfGirl	2
6	MilleGrug	2
6	Apicomplexa	2
6	Zoeyfortnite	2
6	EcksDofficial	2
26	Alexanderjac	1
26	angwla	1
26	pintsizedrogue	1
26	Menthas	1
26	RoskobiOne	1
26	Mowelan	1
26	AuroraValkyrie	1
26	AshleeCW	1
26	EMC_	1
26	Dedalus36	1
26	SaucyDark	1
26	Franco093	1
26	Caystelly	1
26	T045RTY	1
26	Natty	1
26	lotarp	1
26	SidorAlex	1
26	Mahoose	1
26	ShedJr_	1
26	beeperbeeper5	1
26	starBURST312	1
26	picardred	1
26	InfernalMound	1
26	firesgal3116	1
26	bloodbiter	1
26	12Magner05	1
26	ProfessorBee	1
26	SteveCraftBlocks	1
26	Kamflame10	1
26	thescout7	1
26	Inchef	1
26	Paintz	1
26	ItzYaBoiPicard	1
26	noam464	1
26	Kubelz	1
26	benediktine1	1
26	MEMES4_LIFE	1
26	ColdPath	1
26	M_Patata	1
26	Windo_licker	1
26	Di_infiri	1
26	SuperPooch06	1
26	WET_WET_WET	1
26	Zythose	1
26	lOlmantschi	1
26	fred870d	1
26	BRRRN179	1
26	PigDab	1
26	cedric72	1
26	Xeno175	1
26	Maenara	1
26	Toasty_Tom	1
26	SpouHn	1
26	ChocolatePepsi	1
26	Babushka0430	1
26	chipklip	1
26	Quincannon	1
26	claivin	1
26	DanTheBuilderino	1
26	Xclax101	1
26	cog	1
26	Racengan	1
26	Barlycorn	1
26	Airem_Core	1
26	Dusk_95	1
26	MasterNueve	1
26	Nagasaki_Riku	1
26	Optiprimus	1
26	Kowcio_	1
26	MineMaster0012	1
26	Spenduh	1
26	lcvezra	1
26	_TCARREIRA_	1
26	Deguns123	1
26	Kamiento	1
26	DennyKai	1
26	Hermanni__	1
26	Ezekson	1
26	cichy096	1
26	Nicserso	1
26	FelixPSY375	1
26	momis24	1
26	jnp_gaming	1
26	Powowowow	1
26	TechnoNinja64	1
26	The_SlideV5	1
