rank	username	minecraft:killed_by/minecraft:vindicator
1	beeperbeeper5	27
2	Enderslayerxz3	24
3	Segotep999	23
4	Werbe	21
5	noam464	17
6	12Magner05	16
7	error10101	13
8	Vizzoid	12
9	Onennon	11
10	eitanzaki	10
10	AuroraSkies	10
12	Maenara	9
12	Smoke____	9
14	kekhon	8
15	Begformurrcy	7
15	YungMaki	7
17	Fast_Turtle	6
17	Hiryu27	6
17	Lord_Jord	6
17	MAns_44	6
17	TechnoNinja64	6
22	KomputerDude	5
22	Hyp3rion_	5
22	fw3xywashere	5
22	chipklip	5
26	hm947	4
26	Motsaro	4
26	emrekn	4
26	Jackattack53	4
26	claivin	4
26	Sral7	4
32	AuroraValkyrie	3
32	joethahobo	3
32	Historical_Sand	3
32	Blackberry1310	3
32	Di_infiri	3
32	Snowflowe	3
32	Lord_Zacler	3
32	HellsSponge	3
32	Powowowow	3
41	_Virify_	2
41	ItsColin11	2
41	Tolhart	2
41	T045RTY	2
41	FirsTimeGamingTV	2
41	TheSecondLord	2
41	MinttyFressh	2
41	slkiey	2
41	thescout7	2
41	xxPipperDipperxx	2
41	Covalents	2
41	CaptainSteve345	2
41	thewindmillman	2
41	jewbacaman	2
41	TheShyPig	2
41	Akoot_	2
41	Blu3beast	2
41	Spacewardharpy7	2
41	ayamefag	2
41	Eraxa	2
41	IdeallyGrey	2
41	Luigipunch989	2
41	gaming4Naming	2
41	Ezekson	2
65	PhantomsGhost_	1
65	nitropilot	1
65	EMC_	1
65	KarlKaek	1
65	bigstankyy	1
65	ImpavidArcher	1
65	SaucyDark	1
65	jimintyy	1
65	Mercadies	1
65	Comma__	1
65	m_be9	1
65	ProfessorBee	1
65	M_Patata	1
65	Ecplosive	1
65	loveseeker	1
65	DAD_1996	1
65	Rebytre	1
65	wilgot_	1
65	fred870d	1
65	TTNG	1
65	RodSerlingCringe	1
65	Meepcraft	1
65	lillips	1
65	proxivitoid	1
65	Leeeegend	1
65	El_Jalapeno	1
65	fluddd	1
65	MightyWertu	1
65	Blaiku	1
65	MasterNueve	1
65	WyngGoy	1
65	Optiprimus	1
65	pixelviolin	1
65	EtherealEspresso	1
65	stahouo	1
65	SammiWolfGirl	1
65	DennyKai	1
65	KingMatthew506	1
65	HuangMeiHua	1
65	oxfordschool	1
65	FelixPSY375	1
65	Legendosh	1
65	SylvarumBee	1
65	h2p_emrld	1
