rank	username	minecraft:killed_by/minecraft:creeper
1	Hyp3rion_	174
2	Werbe	154
3	FreakGenius	116
4	joethahobo	110
4	Enderxz3	110
6	eitanzaki	104
7	AdmiralSmoke	102
8	lordpipe	97
9	HellsSponge	95
10	EcksD	92
11	Mahoose	88
12	gcaisawesome	84
13	PigDab	77
14	Lez_	75
14	Di_infiri	75
16	Segotep999	71
17	YungMaki	70
18	Hermanni__	67
19	cedric72	66
20	PlasticOtari	63
21	Mattesco	62
22	Kowcio_	61
23	noam464	60
23	Jackattack53	60
23	Ezekson	60
26	EMC_	59
26	Akoot_	59
28	ECstardust	58
28	Spacewardharpy7	58
30	bloodbiter	56
31	xxPipperDipperxx	55
32	kekhon	52
33	beeperbeeper5	50
33	aldplaysmc	50
35	luseis	46
36	BlancoFlaco	45
37	jnp_gaming	43
38	Fullut	42
39	Blackberry1310	41
39	Tyrannosplart	41
41	_Boipl_	39
42	Groovy_MoonBird	37
42	ShedJr_	37
44	NatalieTW	36
44	El_Jalapeno	36
46	MyNameIsJobo	35
46	Zoeyfortnite	35
48	TheSecondLord	34
48	SuperPooch06	34
50	ExtraDumb	33
51	Steelynan	32
51	ConnorDanky_	32
53	Zythose	31
54	Inchef	30
55	T045RTY	29
55	Kubelz	29
57	Apollo_993	28
58	SteveCraftBlocks	27
58	oscminus	27
60	q_wq	26
60	ProfessorBee	26
60	Smashic	26
60	Warlord324	26
64	SammiWolfGirl	24
64	TechnoNinja64	24
66	Mr_Byzantine	23
66	PazinGaming	23
66	Rebytre	23
66	monky_irl	23
66	Ze_BaronKrigler	23
66	MilleGrug	23
66	Nicserso	23
73	Huwulling	22
73	pixelviolin	22
73	fffMike	22
73	Jimb0nat0r	22
77	ItsHydroMC	21
77	Blu3beast	21
79	SyntheticSurgeon	20
79	12Magner05	20
79	himak1	20
79	hanaryheatwave	20
79	Maenara	20
79	xzvu	20
79	xolstoi	20
86	Archsam	19
86	StarCookiees_	19
86	skrongus	19
89	Historical_Sand	18
89	Swexti	18
89	jushykins	18
89	MS_Pryxx	18
89	mihimihimihi	18
89	CalebDHawk	18
89	h2p_emrld	18
96	I_Am_Mushkin	17
96	MrExplorer	17
96	intropass	17
96	thewindmillman	17
96	PaperCanvas	17
96	NomadicRobin_	17
96	Manaateee	17
96	Racengan	17
96	Kura2218	17
96	MineMaster0012	17
106	6king6colt6	16
106	youhjjhhhjj	16
106	Saucepeh	16
106	Windo_licker	16
106	ewpunk	16
106	Mistruth	16
106	ItsDeltaMC	16
106	djancak	16
106	Spenduh	16
106	non089	16
106	cichy096	16
117	Ryan_GEMS	15
117	hm947	15
117	CoffeeNoir	15
117	excelsionprime	15
117	SvenskaSara	15
117	AlexxO_o	15
117	lizardfightclub	15
117	Avocadogerms	15
117	SkateboardR6	15
117	PortlyPete69	15
127	jessewegottacook	14
127	rarrq	14
127	Awyrlas	14
127	Arceus1975	14
127	Corbsman	14
132	_Virify_	13
132	Frozil20	13
132	Nicky_H225	13
132	500am	13
132	Winklepicker279	13
132	burbankbuilder28	13
132	MirielThePastor	13
139	PeteO1995	12
139	yheece	12
139	zToasty69z	12
139	Deathkob	12
139	_Ruzeeq_	12
139	Dreamdbr14	12
145	KarlKaek	11
145	Whiterooster001	11
145	set67	11
145	Jonafrog99	11
145	claivin	11
145	StinkyDiplomat	11
145	QueenShuvi	11
145	_i_ERROR_i_	11
145	CrazyPotater	11
154	RoskobiOne	10
154	tuckerdoodle	10
154	YairZaki	10
154	crying_wolf_13	10
154	MustardDrinker	10
154	F_Uhre	10
154	jambvds	10
154	NameGenerat0r	10
154	MAns_44	10
154	BlankityMcBlank	10
154	Iamthejo	10
165	k_ce	9
165	Gemstuff	9
165	bigstankyy	9
165	ImpavidArcher	9
165	Killercatty78	9
165	Hpdinosaur	9
165	Ssor69	9
165	benediktine1	9
165	trixterrx	9
165	fr_ser	9
165	Onennon	9
165	Kokeech	9
165	LeonelSalamanca	9
165	DarlaMeow	9
165	halfbakedlasagna	9
165	WyngGoy	9
165	Celeste_121	9
165	Logain42	9
165	TheBananaKat	9
165	Sral7	9
165	00000000-0000-0000-0009-01ff0c3e5e4f	9
186	H0UNDFRMH3LL	8
186	CLG_Kata	8
186	fanofbands101	8
186	soundad	8
186	diamondgolem35	8
186	livingdaydreams	8
186	lotarp	8
186	NieToksikpl	8
186	jacxhadow	8
186	m_be9	8
186	TheThomas69	8
186	Secret_Canary	8
186	thescout7	8
186	TheDankPlatypus	8
186	shadowthemonkey	8
186	whoaluv	8
186	FishyBoy3811	8
186	Elastiq	8
186	420BreadLizard	8
186	masskedman	8
186	DanTheBuilderino	8
186	Quaintster	8
186	SingedBread	8
186	_Mythic____	8
186	NATE_the_HALO	8
186	obzii	8
186	RadarHz	8
213	shineh10	7
213	Sleek_Storm_721	7
213	SaucyDark	7
213	Batman922	7
213	ROY4LE	7
213	r123moore	7
213	longappendage	7
213	Chromary	7
213	UMosDiesIrae	7
213	brycepants	7
213	Lord_Zacler	7
213	Syropatathe	7
213	MinuteMira	7
213	lillips	7
213	Dakar_	7
213	AstreaTSS	7
213	BigCronkin	7
213	fluddd	7
213	RedcatVII	7
