rank	username	minecraft:killed_by/minecraft:zombie
1	FreakGenius	296
2	Mahoose	231
3	Werbe	200
4	Smoke____	171
5	eitanzaki	170
6	xxPipperDipperxx	169
7	joethahobo	142
8	HellsSponge	141
9	EcksD	135
10	Hermanni__	124
11	PigDab	122
12	lordpipe	119
13	Akoot_	106
14	ShedJr_	96
15	noam464	94
16	bloodbiter	91
16	jnp_gaming	91
18	aldplaysmc	89
19	SammiWolfGirl	88
20	cedric72	87
21	Blackberry1310	81
22	Di_infiri	77
22	RealGroot	77
24	Ezekson	76
25	beeperbeeper5	74
26	T045RTY	73
26	_Boipl_	73
28	MyNameIsJobo	70
29	SuperPooch06	64
30	EMC_	61
31	Warlord324	60
31	Zoeyfortnite	60
33	kekhon	58
34	gcaisawesome	54
35	NatalieTW	53
35	luseis	53
37	TechnoNinja64	51
38	Smashic	50
38	Jackattack53	50
38	El_Jalapeno	50
41	Inchef	49
42	BlancoFlaco	48
42	Lez_	48
42	thescout7	48
42	fffMike	48
46	CalebDHawk	47
47	Spacewardharpy7	46
48	q_wq	45
48	Tyrannosplart	45
50	NomadicRobin_	44
50	Racengan	44
52	ConnorDanky_	43
52	PlasticOtari	43
54	SyntheticSurgeon	42
55	Mr_Byzantine	38
56	Zythose	37
56	Kowcio_	37
58	ExtraDumb	35
58	Historical_Sand	35
58	monky_irl	35
58	PortlyPete69	35
62	MilleGrug	34
62	Quotary	34
64	Fullut	32
64	xolstoi	32
64	h2p_emrld	32
67	fr_ser	31
68	00000000-0000-0000-0009-01ff0c3e5e4f	30
69	Templar_David	29
69	gusstationwerker	29
71	I_Am_Mushkin	28
71	himak1	28
71	Sheldor097	28
74	Sleek_Storm_721	27
74	jushykins	27
74	ProfessorBee	27
74	Corbsman	27
74	YungMaki	27
79	Huwulling	26
80	12Magner05	25
80	Hyp3rion_	25
80	masskedman	25
80	ewpunk	25
80	MineMaster0012	25
85	Groovy_MoonBird	24
85	Mattesco	24
85	Kura2218	24
85	stavgod	24
85	cichy096	24
90	purpolepickle	23
90	non089	23
90	anbbang	23
93	pintsizedrogue	22
93	Nicserso	22
95	rarrq	21
95	Nicky_H225	21
97	RoskobiOne	20
97	KarlKaek	20
97	Upstro10	20
97	SkateboardR6	20
101	Esme_1	19
101	Swexti	19
101	intropass	19
101	Kubelz	19
101	SvenskaSara	19
101	zToasty69z	19
101	SaintJosie	19
108	TheThomas69	18
108	Skylord_Luke	18
108	Kubeusz2010	18
108	bladeefan2009	18
112	soundad	17
112	Whiterooster001	17
112	DarlaMeow	17
112	KingMatthew506	17
112	00000000-0000-0000-0009-01f073f37a91	17
117	Awyrlas	16
117	Pineapplesugr	16
117	Winklepicker279	16
117	whoaluv	16
117	Rebytre	16
117	Ze_BaronKrigler	16
117	xzvu	16
117	RoboTramp7865	16
117	MirielThePastor	16
126	hm947	15
126	youhjjhhhjj	15
126	SteveCraftBlocks	15
126	Masssonnn	15
126	FishyBoy3811	15
126	_Bguette_	15
126	MyNameIsDakar	15
126	Steelynan	15
126	HesDemonPants	15
135	H0UNDFRMH3LL	14
135	ZigzagLily43042	14
135	Kamflame10	14
135	IdeallyGrey	14
135	Jimb0nat0r	14
135	Teebone15	14
141	teslawolf38	13
141	ImpavidArcher	13
141	jessewegottacook	13
141	theonlymagikarp	13
141	DanTheBuilderino	13
141	MS_Pryxx	13
141	lolpoottoot	13
141	Optiprimus	13
141	CrazyPotater	13
150	TheBiggestFeller	12
150	Natty	12
150	KliBeast21	12
150	Deathkob	12
150	RoofTyler	12
150	StinkyDiplomat	12
150	Mythic1130	12
150	djancak	12
150	__tomato	12
150	2bolx_	12
160	fanofbands101	11
160	Wooptey	11
160	livingdaydreams	11
160	YairZaki	11
160	jacxhadow	11
160	MinttyFressh	11
160	eclipseboi	11
160	PeteO1995	11
160	mariominejedi	11
160	seramalen	11
160	Gmoney390	11
160	EveryonesUncle	11
160	mihimihimihi	11
160	Kiki_Majiki	11
160	00000000-0000-0000-0009-01f16526f034	11
175	rachcl	10
175	RatatJuice	10
175	Cartoonmaniac	10
175	Alphanzt99	10
175	NieToksikpl	10
175	Auseawesome	10
175	crying_wolf_13	10
175	CollinMH06	10
175	CarltheCuck	10
175	burbankbuilder28	10
175	Moofyman	10
175	AlexxO_o	10
175	lizardfightclub	10
175	TheTrueClipse	10
175	Blaiku	10
175	Mistruth	10
175	Nekomin0	10
175	Dreamdbr14	10
175	Iamthejo	10
175	Sral7	10
195	bigstankyy	9
195	Furiuosbeast0404	9
195	RebelAndroid	9
195	BoraMC	9
195	dopplexd	9
195	TheSecondLord	9
195	MrExplorer	9
195	thebest_daniela	9
195	Chromary	9
195	thebaddruid	9
195	MustardDrinker	9
195	CaptainAvenger7	9
195	Jimi7hits	9
195	TJawesome09	9
195	Lord_Zacler	9
195	Gryglu583	9
195	Syropatathe	9
195	The_Quack_Dealer	9
195	NameGenerat0r	9
195	Shogunite	9
195	Blu3beast	9
195	ComplexSquirrel	9
195	ItsDeltaMC	9
195	BlankityMcBlank	9
195	GlitchyPlate810	9
195	CattSoup	9
221	seanitoo	8
221	Hpdinosaur	8
221	CoffeeNoir	8
221	IWorkAtIkea	8
221	cheerytomato	8
221	set67	8
221	ROY4LE	8
221	benediktine1	8
221	XboxPanda	8
221	Queen_Jalapeno	8
221	sufjanlover	8
221	Fuad_R	8
221	Nycteus_	8
221	halfbakedlasagna	8
221	wwwwinnebagoooo	8
221	Ossem	8
221	obzii	8
221	Kferno	8
221	RadarHz	8
221	Enderxz3	8
241	_Virify_	7
241	Merv__	7
241	ccormacs	7
241	titanlax	7
241	TheDiamondCG	7
241	Cambo5000	7
241	Covalents	7
241	funnyblitz123	7
241	fallingemma	7
241	F_Uhre	7
241	Elastiq	7
